rank	username	minecraft:picked_up/minecraft:lever
1	noam464	3287
2	HellsSponge	2994
3	Di_infiri	2007
4	eitanzaki	1324
5	Spacewardharpy7	1051
6	Hyp3rion_	1029
7	thewindmillman	808
8	beeperbeeper5	774
9	T045RTY	765
10	Zythose	709
11	joethahobo	655
12	Jackattack53	600
13	Blaiku	592
14	PigDab	519
15	Awyrlas	464
16	thescout7	386
17	PortlyPete69	333
18	Smoke____	326
19	Historical_Sand	319
20	lillips	317
21	Arceus1975	295
22	MyNameIsJobo	279
23	EMC_	274
24	ImpavidArcher	268
25	gcaisawesome	248
26	FreakGenius	232
27	Soplight	227
28	Mahoose	207
28	Werbe	207
30	EcksD	200
31	pintsizedrogue	195
32	mihimihimihi	186
33	fkGrim	185
34	Fullut	183
35	Legendosh	180
36	claivin	179
37	PlasticOtari	166
38	censorsheep	162
39	r123moore	160
40	Ezekson	156
41	bigstankyy	154
42	non089	152
43	Esme_1	150
44	OfficerAnvil	145
45	TechnoNinja64	144
46	JESS_THE_RERE	140
47	EveryonesUncle	129
48	BumbleBeever	123
49	RealGroot	122
50	kekhon	121
50	MightyWertu	121
52	NameGenerat0r	117
53	jnp_gaming	115
54	ProfessorBee	112
55	Frozil20	110
56	pixelviolin	109
57	PhantomsGhost_	108
58	Blackberry1310	102
58	Racengan	102
60	El_Jalapeno	95
61	Blu3beast	91
62	Bumpy419	89
62	WyngGoy	89
62	Hermanni__	89
65	mwrty	88
66	Snowflowe	87
67	Quotary	85
68	Merv__	83
69	12Magner05	81
70	_Virify_	79
70	_Dean_123	79
72	Shogunite	76
72	SammiWolfGirl	76
74	Mythic1130	74
75	Elastiq	71
75	GravitySaint	71
77	Warlord324	70
77	Strangemonkey71	70
77	YungMaki	70
80	CattSoup	68
81	The_slideV3	67
81	sp00ky_ghost977	67
83	Factoroni	66
84	Lord_Jord	65
85	xxPipperDipperxx	64
86	Prismyst	63
87	TheSecondLord	62
88	luseis	59
88	fffMike	59
90	rarrq	58
90	Crowman1	58
92	Xclax101	57
93	Lez_	55
93	07shiny	55
95	Kowcio_	53
95	Enderxz3	53
97	FreddyFart	50
97	lordpipe	50
99	benediktine1	48
99	Mattesco	48
99	Deathkob	48
99	PlzNoBM	48
99	Skippeh	48
104	500am	46
105	mariominejedi	44
105	Steelynan	44
107	SteveCraftBlocks	43
107	TheShyPig	43
107	Jimi7hits	43
107	LexMakesHistory	43
107	Tyrannosplart	43
112	IamCL4SSY	42
112	RoofTyler	42
114	BlankityMcBlank	41
115	IAmTheWalrus910	40
116	eiC_	39
117	SellyZ	38
117	SkateboardR6	38
117	Sral7	38
120	Ryker	37
120	TheDankPlatypus	37
120	Inbefour	37
120	ConnorDanky_	37
120	diggydog67	37
125	Jovaphobic	36
126	KarlKaek	35
126	Akoot_	35
126	Wowful	35
129	Kyrum2169	34
130	diamondgolem35	33
131	heckface	32
131	KingMatthew506	32
133	MuffinManzz	31
133	ItsMrRamen	31
133	FishyBoy3811	31
136	Mr_Byzantine	30
136	slkiey	30
136	NotMeanttoChange	30
136	eviltunix	30
136	Kakolbus	30
136	Lutres_Torane	30
136	SSytex_X	30
143	Nicky_H225	29
143	RobotMinion101	29
143	Hisiste	29
143	tsitrawhy	29
147	teslawolf38	28
147	Alteriity	28
147	cichy096	28
150	_Boipl_	27
150	binman420	27
150	Eraxa	27
153	AnnieBathory	26
153	Luigipunch989	26
155	RebelAndroid	25
155	fr0stss	25
155	cedric72	25
155	DanTheBuilderino	25
155	obzii	25
155	2bolx_	25
161	ivorico	24
161	dopplexd	24
161	bloodbiter	24
161	m_be9	24
161	stuy9	24
166	Apollo_993	23
166	burbankbuilder28	23
166	Hiryu27	23
166	mawileite	23
166	Kubeusz2010	23
171	jacxhadow	22
171	Rebytre	22
171	__tomato	22
174	Groovy_MoonBird	21
174	ese_wn_po	21
174	CalebDHawk	21
177	MinttyFressh	20
177	J4ko8_	20
177	Maenara	20
177	Groundler	20
177	ayamefag	20
177	anbbang	20
183	Sleek_Storm_721	19
183	Rumpletaezer	19
183	DemTechAlpha	19
183	jcool7	19
187	SaucyDark	18
