rank	username	minecraft:picked_up/minecraft:zombie_head
1	TheSecondLord	89
2	YungMaki	56
3	Fullut	50
4	kekhon	42
5	Blaiku	36
6	Hyp3rion_	29
7	Ezekson	25
8	500am	24
9	Blu3beast	22
10	eitanzaki	18
10	chipklip	18
12	Akoot_	16
13	Mahoose	15
13	oxfordschool	15
15	Jovaphobic	14
16	ShedJr_	12
17	jnp_gaming	11
18	fkGrim	10
18	claivin	10
18	Freak_Genius	10
21	beeperbeeper5	9
21	pixelviolin	9
21	2blox	9
24	Maenara	8
24	SingedBread	8
24	PlasticOtari	8
27	joethahobo	7
27	emrekn	7
27	jcool7	7
27	Smoke____	7
31	SaucyDark	6
31	Blackberry1310	6
31	Jackattack53	6
31	sp00ky_ghost977	6
35	Inbefour	5
35	Spacewardharpy7	5
35	Dusk_95	5
35	cichy096	5
39	egglapras	4
39	Hiryu27	4
39	ApophisNova	4
39	Werbe	4
39	Quaintster	4
39	Frozil12	4
39	MakeHistory157	4
39	CalebDHawk	4
39	MyNamaSheff	4
39	h2p_emrld	4
49	PhantomsGhost_	3
49	Incinere	3
49	Kuragari_	3
49	Historical_Sand	3
49	ROY4LE	3
49	noam464	3
49	gabriels543	3
49	fred870d	3
49	HellsSponge	3
49	Skippeh	3
49	Quotary	3
60	pintsizedrogue	2
60	Drlzyy	2
60	fr0stss	2
60	Di_infiri	2
60	Rebytre	2
60	Nagasaki_Riku	2
60	stavgod	2
60	Soplight	2
60	stahouo	2
60	SammiWolfGirl	2
60	Hermanni__	2
60	Enderslayerxz3	2
60	TechnoNinja64	2
73	weezygator	1
73	Cowison	1
73	T045RTY	1
73	titanlax	1
73	Kkanot	1
73	mimbo1211	1
73	WET_WET_WET	1
73	Arceus1975	1
73	GreedyFern8581	1
73	Solar_Power	1
73	RobotMinion101	1
73	ooga47	1
73	Sky_light_KING	1
73	fw3xywashere	1
73	EveryonesUncle	1
73	lillips	1
73	Karbl	1
73	DarlaMeow	1
73	Nycteus_	1
73	ChazzaHodge13	1
73	BreadBacon	1
73	FishisTTV	1
