rank	username	minecraft:picked_up/minecraft:diamond_leggings
1	Hyp3rion_	61
2	TheSecondLord	41
3	masskedman	40
4	pallow	38
5	CruncyIsTaken	34
5	Freak_Genius	34
5	Legendosh	34
8	kekhon	33
9	rarrq	29
10	eitanzaki	28
11	KarlKaek	22
11	Di_infiri	22
13	joethahobo	21
13	EcksD	21
15	pintsizedrogue	20
16	jnp_gaming	19
17	Werbe	18
17	Akoot_	18
19	beeperbeeper5	16
19	Blu3beast	16
19	Kyrum2169	16
22	TheShyPig	14
23	mwrty	13
23	Groundler	13
23	monky_irl	13
23	YungMaki	13
23	stahouo	13
28	thescout7	12
28	mimbo1211	12
28	Frozil12	12
28	TechnoNinja64	12
32	lillips	11
32	El_Jalapeno	11
32	djancak	11
35	6king6colt6	10
35	ImpavidArcher	10
35	__tomato	10
35	Soplight	10
39	noam464	9
39	Sky_light_KING	9
39	Shogunite	9
39	Blaiku	9
43	Mahoose	8
43	MattieHD	8
43	_Dean_123	8
43	Fullut	8
43	HellsSponge	8
43	Hermanni__	8
49	PhantomsGhost_	7
49	ShedJr_	7
49	gabriels543	7
49	wezzzi	7
49	Racengan	7
49	Nagasaki_Riku	7
49	VentiHilton	7
56	Jackster03	6
56	Arceus1975	6
56	fred870d	6
56	DarlaMeow	6
56	laron58	6
56	Ezekson	6
56	kinas45y5	6
63	oreee	5
63	emrekn	5
63	Mewar	5
63	XboxPanda	5
63	Parcc	5
63	Bumpy419	5
63	lizardfightclub	5
63	yulgur1	5
63	Gryglu583	5
63	SvenskaHugo	5
63	OfficerAnvil	5
63	Enderslayerxz3	5
75	Groovy_MoonBird	4
75	dudcreeper	4
75	Merv__	4
75	SaucyDark	4
75	Euclidoris	4
75	Blackberry1310	4
75	bloodbiter	4
75	Z3braYTIL	4
75	xxPipperDipperxx	4
75	fr_ser	4
75	Rumpletaezer	4
75	WET_WET_WET	4
75	burbankbuilder28	4
75	ApophisNova	4
75	gustarbite	4
75	Inbefour	4
75	Xclax101	4
75	fluddd	4
75	ConJaBz	4
75	geekbird	4
75	underscore_2	4
75	lcvezra	4
75	sebastiensaborio	4
75	Quotary	4
75	MyNamaSheff	4
75	EcksDofficial	4
101	seanitoo	3
101	ProbablyNick	3
101	JEWISHBadenBeele	3
101	hollowww	3
101	AuroraValkyrie	3
101	I_Am_Mushkin	3
101	diamondgolem35	3
101	NotP0tato	3
101	T045RTY	3
101	gaziter10	3
101	Shadoko_	3
101	YungJakobo	3
101	eclipseboi	3
101	himak1	3
101	ROY4LE	3
101	mariominejedi	3
101	Jackattack53	3
101	thewindmillman	3
101	TheCordicus	3
101	chipklip	3
101	The_slideV3	3
101	MightyWertu	3
