rank	username	minecraft:picked_up/minecraft:brush
1	pixelviolin	6
2	oscminus	5
3	k_ce	2
3	Alteriity	2
3	Steelynan	2
6	pintsizedrogue	1
6	Secret_Canary	1
6	Krowuss	1
6	lordpipe	1
6	StarCookiees_	1
6	_Mythic____	1
6	Kowcio_	1
6	Soplight	1
6	MsFemboy	1
6	KamFurnace	1
