rank	username	minecraft:picked_up/minecraft:podzol
1	thewindmillman	66782
2	MyNameIsJobo	7457
3	500am	4551
4	mihimihimihi	4311
5	IamCL4SSY	3901
6	ApophisNova	3578
6	MyNamaSheff	3578
8	PazinGaming	3577
9	EcksD	3297
10	surfinggiraffejp	3244
11	FreakGenius	2649
12	Enderxz3	2644
13	EMC_	2042
14	joethahobo	1825
15	Kowcio_	1690
16	lordpipe	1594
17	Akoot_	1383
18	pintsizedrogue	1291
19	Onennon	1217
20	Eraxa	1026
21	Ezekson	1021
22	Saucepeh	1003
23	TheShyPig	969
24	Chromary	940
25	__Fanda__	854
26	Luigipunch989	760
27	Manaateee	733
28	chrolus	690
29	Cowison	685
30	PlasticOtari	644
31	TheMilkerOfCats	596
32	Merv__	576
33	Werbe	573
34	MAns_44	558
35	Hoid_the_Roamer	551
36	El_Jalapeno	521
37	Jackattack53	506
38	AdmiralSmoke	498
39	Mr_Byzantine	495
39	WyngGoy	495
41	Lez_	477
41	luseis	477
43	Blackberry1310	466
44	Di_infiri	458
45	Nicserso	444
46	obzii	425
47	Mahoose	416
47	kekhon	416
49	NameGenerat0r	379
50	Soplight	371
50	diggydog67	371
52	thebaddruid	358
53	stellarjay	355
54	beeperbeeper5	353
55	Ssor69	345
56	Elastiq	342
57	Lutres_	331
58	Mattesco	330
59	excelsionprime	303
60	Cryptacity	298
61	DarlaMeow	280
62	ECstardust	275
63	Comma__	231
64	m_be9	225
65	Druid95	224
66	SammiWolfGirl	223
67	Marbz_	218
67	Deodorante	218
69	HellsSponge	216
70	Alteriity	214
71	HesDemonPants	210
72	burbankbuilder28	197
73	Biites	195
74	Hyp3rion_	191
75	_Karmaa	180
76	Steelynan	172
77	Fuhrer_Teemo	169
78	Historical_Sand	157
79	XxCookiequeenxX	151
80	wezzzi	150
80	fw3xy74	150
80	Legendosh	150
83	Fullut	145
84	Skippeh	144
85	RobotMinion101	137
86	Zythose	134
87	Hahaa_0	133
88	ProfessorBee	129
88	starbits140	129
90	Arceus1975	125
91	xolstoi	121
92	slkiey	117
93	Bumpy419	112
94	laron58	110
95	Xclax101	106
96	rarrq	103
97	MadmanRaven	98
98	ewsophie	97
98	SpacesickPrism	97
100	Soap_Bender	95
101	Maenara	94
102	Bandito_Roamer	92
103	k_ce	84
104	groofles	82
105	SquadMonster	80
106	gilesmcriles	75
107	BlancoFlaco	72
107	CornOnTheCobalt	72
109	PigDab	71
110	tuckerdoodle	70
111	SyntheticSurgeon	69
112	Kakolbus	67
113	Pelbo	66
114	CarryLine	65
115	Shiirazu	64
115	fkGrim	64
117	_Bguette_	60
118	nocturne78	59
119	PhantomsGhost_	58
120	Wowful	54
121	LeonelSalamanca	51
122	Dakar_	48
122	Kura2218	48
124	PegLegPete93	47
125	ConnorDanky_	46
126	EngagedGrub41	45
127	07shiny	44
127	lcvezra	44
129	Inchef	43
130	CoffeeNoir	42
130	ShedJr_	42
132	noam464	40
133	TechnoNinja64	39
134	Deathkob	33
134	MovingFish7	33
136	Racengan	32
136	smogfrog	32
138	ImpavidArcher	31
139	parodypatient	29
139	YungMaki	29
141	Frozil20	28
141	bloodbiter	28
143	CLG_Kata	27
144	Rumpletaezer	25
145	hollowww	24
145	Ryker	24
147	H0UNDFRMH3LL	23
148	_Dean_123	22
148	Typadopoulos	22
150	Reneedium	20
151	pixelviolin	19
151	skrongus	19
153	TooManyDuck	18
154	Groundler	17
155	Spacewardharpy7	15
156	Segotep999	14
157	Tiktola01	13
158	AuroraValkyrie	12
158	12Magner05	12
160	hanaryheatwave	11
160	CalebDHawk	11
162	Crowman1	10
162	TheSecondLord	10
162	ROY4LE	10
162	ibarker21	10
166	Quotary	9
167	oscminus	8
167	Sheldor097	8
167	The_SlideV5	8
170	claivin	7
171	Apollo_993	6
171	Huwulling	6
171	Scathra	6
171	Jimb0nat0r	6
175	NomadicRobin_	5
175	jcool7	5
177	ProbablyNick	4
177	titanlax	4
177	emrekn	4
177	Stiar	4
177	Nyxiom_	4
177	Samificator	4
177	EveryonesUncle	4
177	LexMakesHistory	4
177	KingMatthew506	4
186	Da_Boss_Rani	3
186	xxPipperDipperxx	3
186	corpsecity	3
186	DTwenty	3
186	wwwwinnebagoooo	3
186	CattSoup	3
192	Tommhh	2
192	6king6colt6	2
192	ExtraDumb	2
192	eitanzaki	2
192	Euclidoris	2
192	catandmoose	2
192	Secret_Canary	2
192	Smashic	2
192	r123moore	2
192	andy_rex	2
192	Rebytre	2
192	DemTechAlpha	2
192	ItsDeltaMC	2
192	Hermanni__	2
192	AltnumberF4	2
192	jnp_gaming	2
192	MandenR1	2
209	SaltineDream	1
209	j5ylim	1
209	KarlKaek	1
209	Iagoku	1
209	DinoDoctor_	1
209	Hpdinosaur	1
209	lorywithay	1
209	SOA1RR	1
209	MoistMicrowave	1
209	Valoth	1
209	Papudron	1
209	MattieHD	1
209	set67	1
209	gcaisawesome	1
209	John6970	1
209	Snowflowe	1
209	OreTheBear	1
209	AlexxO_o	1
209	PaperCanvas	1
209	zToasty69z	1
209	HolyVenom	1
209	lillips	1
209	Blu3beast	1
209	Blaiku	1
209	silverpopcorn	1
209	Mistruth	1
209	Burge_r	1
209	StarCookiees_	1
209	kyouma777	1
209	brofrickcheaters	1
209	Winston_Ingram	1
209	2blox_	1
