rank	username	minecraft:picked_up/minecraft:yellow_dye
1	thewindmillman	577316
2	noam464	22794
3	Spacewardharpy7	3709
4	PlasticOtari	384
5	EMC_	347
6	MousePlays	320
7	Eczbek	295
8	MangoTheFish	232
9	Legendosh	215
10	Smoke____	202
11	emrekn	192
12	Hyp3rion_	144
13	GlitchyPlate810	138
14	lillips	133
15	HellsSponge	130
16	Kakolbus	128
17	KingMatthew506	127
18	Hoid_the_Roamer	126
19	fffMike	122
20	Chromary	112
21	wTXop	105
22	YungMaki	100
23	El_Jalapeno	92
24	jnp_gaming	80
25	NotMeanttoChange	79
26	oxfordschool	76
27	pintsizedrogue	74
28	EveryonesUncle	73
29	Freak_Genius	72
30	Mahoose	71
30	SSytex_X	71
32	TheSecondLord	65
33	ZeroKraken	64
34	loveseeker	63
35	2Stout	61
36	SammiWolfGirl	58
37	beeperbeeper5	57
38	HyperCave	48
39	The_SlideV5	47
40	Marbz_	43
41	stellarjay	40
42	NameGenerat0r	36
43	kekhon	33
44	BlancoFlaco	30
45	Notta	28
45	lordpipe	28
47	RodSerlingCringe	27
48	EcksDofficial	26
49	Quotary	23
50	gabriels543	22
51	WyngGoy	21
51	Spenduh	21
53	Sky_light_KING	20
54	TheDumbHuman	19
55	PhantomsGhost_	18
56	SeverianTheLame	16
56	Jackattack53	16
56	Akoot_	16
59	_naturell	15
59	Enderslayerxz3	15
61	Groovy_MoonBird	14
61	TheFlfthHorseman	14
61	MovingFish7	14
61	Kyrum2169	14
65	rarrq	12
65	Freeman666	12
67	eitanzaki	11
67	Onennon	11
67	Kim_Jong_eel	11
70	ImpavidArcher	10
71	PeteO1995	9
71	KartivGal	9
73	SaucyDark	8
73	_8man	8
75	redikul	6
75	Di_infiri	6
75	Werbe	6
75	starbits140	6
79	tramizu	5
79	Kynigito	5
79	Inbefour	5
79	Xclax101	5
83	CliffEmAll	4
83	SteveCraftBlocks	4
83	Smashic	4
83	thescout7	4
83	Hiryu27	4
83	Lutres_Torane	4
83	stavgod	4
83	djancak	4
83	Sheldor097	4
92	rats_life	3
92	LexMakesHistory	3
92	EcksD	3
95	livingdaydreams	2
95	Huwulling	2
95	oreee	2
95	ProfessorBee	2
95	Z3braYTIL	2
95	Skylord_Luke	2
95	Skomo	2
95	KeruNatsema	2
95	Racengan	2
95	Yahir091	2
95	Kowcio_	2
95	Luigipunch989	2
95	PortlyPete69	2
95	anbbang	2
95	TechnoNinja64	2
110	_Virify_	1
110	hollowww	1
110	Drlzyy	1
110	AuroraValkyrie	1
110	Incinere	1
110	Ryker	1
110	CoffeeNoir	1
110	Blackberry1310	1
110	Scattman_	1
110	Fullut	1
110	Dali1465	1
110	theonlymagikarp	1
110	Windo_licker	1
110	pappaberg	1
110	CruncyIsTaken	1
110	AlexxO_o	1
110	SvenskaAlvar	1
110	Blaiku	1
110	sp00ky_ghost977	1
110	iTheRaiden	1
110	NebulousBadger	1
110	stahouo	1
110	Weepingbiel	1
110	Zoeyfortnite	1
