rank	username	minecraft:picked_up/minecraft:diamond_chestplate
1	Di_infiri	55
2	eitanzaki	52
3	Hyp3rion_	50
4	TheSecondLord	49
5	pallow	44
6	masskedman	37
7	kekhon	30
8	Werbe	28
9	KarlKaek	27
9	rarrq	27
9	CruncyIsTaken	27
9	Freak_Genius	27
13	6king6colt6	26
13	stahouo	26
15	Blu3beast	23
16	pintsizedrogue	20
16	joethahobo	20
16	jnp_gaming	20
19	Kyrum2169	19
19	EcksD	19
21	beeperbeeper5	17
22	mimbo1211	16
23	Fullut	15
23	TheShyPig	15
23	yulgur1	15
23	monky_irl	15
23	TechnoNinja64	15
28	mwrty	14
28	Soplight	14
28	Hermanni__	14
31	Akoot_	12
31	Frozil12	12
31	djancak	12
34	Blaiku	11
35	T045RTY	10
35	thescout7	10
35	Sky_light_KING	10
35	Gryglu583	10
35	El_Jalapeno	10
35	fluddd	10
35	laron58	10
35	cichy096	10
43	ImpavidArcher	9
43	gabriels543	9
43	fffMike	9
43	VentiHilton	9
47	MattieHD	8
47	_Dean_123	8
47	noam464	8
47	HellsSponge	8
47	Racengan	8
52	Mahoose	7
52	bloodbiter	7
52	ProfessorBee	7
52	Mewar	7
52	XboxPanda	7
52	thewindmillman	7
52	lillips	7
52	claivin	7
52	__tomato	7
52	Ezekson	7
52	Quotary	7
52	kinas45y5	7
52	EcksDofficial	7
65	teslawolf38	6
65	Jackster03	6
65	WET_WET_WET	6
65	fred870d	6
65	wezzzi	6
65	chipklip	6
65	NameGenerat0r	6
65	Shogunite	6
65	SvenskaHugo	6
65	Spenduh	6
65	LeeMcGee30	6
65	Nicserso	6
77	Bandito_Roamer	5
77	ShedJr_	5
77	fr0stss	5
77	Z3braYTIL	5
77	emrekn	5
77	xxPipperDipperxx	5
77	burbankbuilder28	5
77	Bumpy419	5
77	DAD_1996	5
77	TJawesome09	5
77	Inbefour	5
77	SingedBread	5
77	Nagasaki_Riku	5
77	Kubeusz2010	5
77	OfficerAnvil	5
77	Legendosh	5
93	seanitoo	4
93	fanofbands101	4
93	JEWISHBadenBeele	4
93	Drlzyy	4
93	Merv__	4
93	I_Am_Mushkin	4
93	Incinere	4
93	gaziter10	4
93	Valoth	4
93	Blackberry1310	4
93	ROY4LE	4
93	Ecplosive	4
93	mariominejedi	4
93	MangoTheFish	4
93	Rebytre	4
93	Deathkob	4
93	Xclax101	4
93	MovingFish7	4
93	Kowcio_	4
93	MilleGrug	4
93	Enderslayerxz3	4
114	_Virify_	3
114	hollowww	3
114	Sleek_Storm_721	3
114	H72l9w	3
114	Freebolt	3
114	oreee	3
114	LoboTheLobster	3
114	Euclidoris	3
114	YungJakobo	3
114	_Nuf	3
114	eclipseboi	3
114	set67	3
114	Awyrlas	3
114	eviltunix	3
114	Xalithia	3
114	NotKaden_	3
114	CollinMH06	3
114	fr_ser	3
114	Rumpletaezer	3
114	DaviusMaximoose	3
114	CaptainDeadBread	3
114	ApophisNova	3
114	ooga47	3
114	KeruNatsema	3
114	RodSerlingCringe	3
114	gustarbite	3
114	sufjanlover	3
114	Groundler	3
114	CSG_Haru	3
114	lcvezra	3
114	SammiWolfGirl	3
114	ProbsNotNova	3
114	jcool7	3
114	StaringHamster	3
114	MyNamaSheff	3
114	FelixPSY375	3
114	Powowowow	3
114	Smoke____	3
152	angwla	2
152	heysushii	2
152	Froste131	2
152	peachfuzz1267	2
152	nataliecool	2
152	ProbablyNick	2
152	_NieToksikpl_	2
152	PhantomsGhost_	2
152	dudcreeper	2
152	abramgray	2
152	strongman951753	2
152	Vaarde	2
152	bigstankyy	2
152	SaucyDark	2
152	Bad_At_Names_Guy	2
152	Wooptey	2
152	awesomeoneme	2
152	TheMaster972	2
152	JuuustYeet	2
152	tramizu	2
152	Ozixar	2
152	Prodiginus	2
152	jushykins	2
152	jacxhadow	2
152	Sebastiannlol	2
152	Ardennes	2
152	G1ldor	2
152	UncreativeArtist	2
152	Nach0Bear	2
152	egglapras	2
152	Dali1465	2
152	IforgotCS_Source	2
152	surfinggiraffejp	2
152	Wotters7	2
152	Zaridey	2
152	juuustpeachy	2
152	GOOBERGABE04	2
152	Lil_Breadboy	2
152	Arceus1975	2
152	GreedyFern8581	2
152	_Boipl_	2
152	SokaOtaku	2
152	Skylord_Luke	2
152	The11thDoctor	2
152	k1ngGilgamesh	2
152	RobotMinion101	2
152	Onennon	2
152	KartivGal	2
152	Mattesco	2
152	MinerDec	2
152	HyperCave	2
152	Ender_Souls	2
152	sxc_	2
152	stuy9	2
152	Joestra	2
152	TheCordicus	2
152	EveryonesUncle	2
152	IsabellasOF	2
152	HwamzUK	2
152	DarlaMeow	2
152	Soap_Bender	2
152	The_slideV3	2
152	_p1ta_	2
152	bluefragmentt	2
152	censorsheep	2
152	MightyWertu	2
152	ConJaBz	2
152	Spacewardharpy7	2
152	Airem_Core	2
152	Dusk_95	2
152	Leithz6	2
152	MakeHistory157	2
152	OG_Songsee	2
152	33sudo	2
152	Eraxa	2
152	Cliopatra	2
152	07shiny	2
152	YungMaki	2
152	brofrickcheaters	2
152	GlitchyPlate810	2
152	Dogcorn69420	2
152	CalebDHawk	2
152	Kferno	2
152	ZeroKraken	2
152	_3Stump_	2
152	alexb1890	2
152	AltnumberF4	2
152	Xannon232	2
152	HesDemonPants	2
152	SilentKarma	2
242	Krasnal1337	1
242	Lisa_Katrina_17	1
242	doopiyo	1
242	THExMuffinx	1
242	elicobnoah	1
242	Harotio	1
242	Ninzyyy	1
242	MixerDixer	1
242	_stets	1
242	Ze1ig	1
242	pZygh0st	1
242	vanabell06	1
242	q_wq	1
242	Yatitay	1
242	martvnka	1
242	Nesquiczek	1
242	ColeSnyder	1
242	omariacts	1
242	NotP0tato	1
242	TooManyDuck	1
242	_Razar	1
242	Furiuosbeast0404	1
242	livingdaydreams	1
242	ofekgo	1
242	NatrixxddxYT	1
242	DrogV2	1
242	Natty	1
242	Reamdin	1
242	NinjaKnifeKill	1
242	MOSS000	1
242	SteveWithClout	1
242	Ao_Ken	1
242	Historical_Sand	1
242	ManlyAdjective	1
242	DBoydart303	1
242	nocturne78	1
242	SquadMonster	1
242	speenduhXD	1
242	FirsTimeGamingTV	1
242	heckface	1
242	Vizzoid	1
242	Khelvoryk	1
242	InfernalMound	1
242	titanlax	1
242	Upstro10	1
242	yoyonovice63	1
242	prelutrinae	1
242	roxycherry	1
242	ATrojansLegend	1
242	Frxnkz	1
242	Auseawesome	1
242	PoofHairGuy	1
242	QuakerOatsGod	1
242	Cryptacity	1
242	aluminumhelmet	1
242	Comma__	1
242	m_be9	1
242	Nicky_H225	1
242	ThePoliteG	1
