rank	username	minecraft:picked_up/minecraft:warped_trapdoor
1	noam464	7537
2	thewindmillman	1699
3	PigDab	1161
4	Di_infiri	970
5	eitanzaki	558
6	Apollo_993	285
7	Marbz_	224
8	Blaiku	220
9	Xalithia	208
10	TheShyPig	199
11	12Magner05	186
12	Huwulling	132
13	EcksD	124
14	Fullut	117
15	pintsizedrogue	115
16	beeperbeeper5	89
17	diamondgolem35	75
18	Raltemoxitonica	73
19	Winklepicker279	69
20	luseis	67
21	AdmiralSmoke	65
22	TheSecondLord	64
23	Ezekson	57
24	Lutres_	53
25	PlasticOtari	50
26	Werbe	44
27	Hyp3rion_	40
27	Dakar_	40
29	Lord_Jord	36
29	Decaying_Lotus	36
31	Spacewardharpy7	35
32	Mahoose	34
33	rarrq	33
33	Manaateee	33
33	Enderxz3	33
36	Mr_Byzantine	30
37	mihimihimihi	27
38	KarlKaek	26
38	kekhon	26
40	Jackattack53	25
41	Rebytre	24
41	Kowcio_	24
43	EMC_	23
44	teslawolf38	21
44	trexgb	21
46	500am	20
47	Jonafrog99	14
47	Fuad_R	14
49	Zythose	12
49	Legendosh	12
51	Hpdinosaur	11
51	SpacesickPrism	11
53	Blackberry1310	10
53	StarCookiees_	10
55	Awyrlas	9
55	AlexxO_o	9
55	_Mythic____	9
55	ConnorDanky_	9
59	SmashingPump	8
59	Lunkuku	8
59	lordpipe	8
59	Eraxa	8
63	joethahobo	7
63	NATE_the_HALO	7
63	Jimb0nat0r	7
66	_Virify_	6
67	lunathelemon	5
67	EveryonesUncle	5
69	lorpus	4
69	Kakolbus	4
69	lizardfightclub	4
69	ZoharGoldMine	4
69	Optiprimus	4
69	Eczbek	4
75	Merv__	3
75	hm947	3
75	ShedJr_	3
75	jessewegottacook	3
75	Mattesco	3
75	TheALV	3
81	SteveCraftBlocks	2
81	oscminus	2
81	HolyVenom	2
81	Akoot_	2
81	Steelynan	2
86	Lez_	1
86	0Vyp_	1
86	Kokeech	1
86	YungMaki	1
86	MineMaster0012	1
86	djancak	1
86	little_dUki	1
