rank	username	minecraft:picked_up/minecraft:waxed_chiseled_copper
1	Buuck_	80
2	thewindmillman	56
3	CLG_Kata	42
4	Enderxz3	25
5	pixelviolin	19
6	Secret_Canary	15
7	MyMawgDonaldsGon	6
8	Mr_Byzantine	5
8	Spaghettatron	5
10	00000000-0000-0000-0009-01fe065167f0	3
11	beeperbeeper5	2
12	MattieHD	1
12	oscminus	1
12	MAns_44	1
12	KamFurnace	1
12	Yamdalorian	1
