rank	username	minecraft:picked_up/minecraft:iron_nugget
1	thewindmillman	242451
2	noam464	86158
3	Hyp3rion_	18054
4	Blaiku	5913
5	eitanzaki	2361
6	Di_infiri	1523
7	teslawolf38	1517
8	YungMaki	1309
9	sp00ky_ghost977	1161
10	kekhon	1088
11	beeperbeeper5	1087
12	PigDab	1022
13	Ezekson	1008
14	Smoke____	794
15	mwrty	769
16	gcaisawesome	727
17	EcksDofficial	652
18	Spacewardharpy7	633
19	Freak_Genius	614
20	Legendosh	543
21	MilleGrug	472
22	Jiminie	428
23	Flores991	427
24	Miko_Fullbuster	388
25	dezxalo	386
26	AlexxO_o	384
27	diggydog67	365
28	HellsSponge	353
29	joethahobo	347
30	El_Jalapeno	345
31	KG1999	333
32	Fullut	325
33	Eraxa	317
34	_Virify_	313
35	diamondgolem35	289
36	Akoot_	280
36	Lord_Jord	280
38	Mahoose	262
39	lizardfightclub	258
40	lillips	256
41	PlasticOtari	255
42	oxfordschool	240
43	Jackattack53	235
44	12Magner05	234
45	m_be9	231
46	r123moore	211
46	Winklepicker279	211
48	Hermanni__	198
49	MovingFish7	192
50	KingMatthew506	179
51	ROY4LE	174
52	Blackberry1310	173
53	SvenskaHugo	171
54	CliffEmAll	163
55	T045RTY	162
56	Kokeech	147
57	Werbe	146
58	chipklip	144
59	stellarjay	140
60	Kakolbus	134
61	EMC_	133
62	Alteriity	129
62	LotusProject	129
64	benediktine1	128
65	livingdaydreams	126
66	fanofbands101	125
66	Inbefour	125
68	Smashic	120
69	trixterrx	113
70	Sleepy_Time_	107
71	Blu3beast	106
72	rarrq	105
72	__TheNorseMan__	105
74	Groovy_MoonBird	104
75	SammiWolfGirl	102
76	WyngGoy	101
77	Huwulling	100
77	TheSecondLord	100
77	fffMike	100
80	Steelynan	99
81	00000000-0000-0000-0009-01ff0c3e5e4f	98
82	pintsizedrogue	96
83	TheShyPig	95
83	fw3xywashere	95
85	Shiirazuku	92
85	AuroraSkies	92
87	picardred	88
87	RefluxRatio	88
89	Voxin2K	84
90	Rebytre	81
91	Segotep999	79
92	SkateboardR6	77
93	Ze_BaronKrigler	75
93	lcvezra	75
95	CSG_Haru	72
96	Vetral1	70
96	Kowcio_	70
98	ImpavidArcher	69
99	wwwwinnebagoooo	68
100	BlancoFlaco	66
100	loveseeker	66
102	Historical_Sand	65
102	_Minnty_	65
104	Deerfoot	64
104	Factoroni	64
106	Deathkob	63
107	MousePlays	62
108	whoaluv	61
108	Kim_Jong_eel	61
110	Hoid_the_Roamer	60
110	adiccting01	60
112	lotarp	57
113	SaucyDark	56
114	jacxhadow	54
114	WYFYoyo	54
116	Rocco_Lane	52
116	masskedman	52
118	ColeSnyder	51
118	awesomeoneme	51
120	ApophisNova	50
120	censorsheep	50
120	MyNamaSheff	50
123	NomadicRobin_	48
123	Frozil12	48
123	hdtpm	48
126	Marbz_	46
127	fr0stss	45
128	tramizu	44
128	_Dean_123	44
128	lordpipe	44
128	LiquidFenrir	44
132	SLASHZEERA	43
133	Sepulcro	42
133	Enderslayerxz3	42
135	Mr_Byzantine	41
135	Scathra	41
135	SuperPooch06	41
138	burbankbuilder28	40
139	strongman951753	39
140	weezygator	38
140	Swexti	38
142	Lumien_	37
142	Covalents	37
142	Spenduh	37
145	Racengan	36
146	CalebDHawk	35
147	Auseawesome	34
147	Inchef	34
147	andy_rex	34
147	XxCookiequeenxX	34
147	NotMeowMix	34
152	Parcc	33
152	KeruNatsema	33
154	UCP_TheKingK	32
154	SlimeBOI03	32
156	cowgirlkasia	31
156	breadbowlgamer	31
158	Zythose	30
158	Zoeyfortnite	30
160	LazySupport00	29
161	xxPipperDipperxx	28
161	xo_Marren_xo	28
161	Dusk_95	28
161	MakeHistory157	28
165	500am	27
165	CollinMH06	27
167	tuckerdoodle	26
167	CheifJumbo	26
169	youhjjhhhjj	25
169	set67	25
169	IvarEXE	25
169	Freedrik	25
173	FishyBoy3811	24
173	MyNameIsDakar	24
173	_Karmaa	24
173	07shiny	24
173	stahouo	24
173	LeeMcGee30	24
173	Kubeusz2010	24
180	Master_Kol	23
180	Kubelz	23
180	wezzzi	23
180	Hylo482y	23
184	Travasaur	22
184	JEWISHBadenBeele	22
184	Ssor69	22
184	thescout7	22
184	Quotary	22
189	InfernalMound	21
189	Lutres_Torane	21
191	Cryptacity	20
191	Xclax101	20
191	Airem_Core	20
191	robotemo	20
191	pixelviolin	20
191	Oxygen16	20
197	bloodbiter	19
197	Typadopoulos	19
197	FallenCorps	19
200	6king6colt6	18
200	2_young_2_die	18
200	LAVA129	18
200	Vicemaniac	18
200	Kyrum2169	18
205	Prismyst	17
205	M_Patata	17
205	TheWildMateo	17
205	MasterNueve	17
205	PortlyPete69	17
210	ProfessorBee	16
210	CharlieButt	16
210	Chromary	16
210	Donutt	16
210	Nargotah	16
215	Elprone266	15
215	Merv__	15
215	shrimp_flips	15
215	Shogunite	15
215	JosephCW	15
215	Optiprimus	15
215	TheOuterCore	15
215	Nicserso	15
223	Euclidoris	14
223	corvidpartyfor6	14
223	eviltunix	14
223	DermeinUser	14
223	JitteryJared2	14
223	Jeteight	14
229	isak_oskar	13
229	Arceus1975	13
229	ALegendsTale	13
229	_Bguette_	13
229	AltnumberF4	13
234	Nesquiczek	12
234	hm947	12
234	Lez_	12
234	TastyPorkchop	12
234	Vizzoid	12
234	Zedducius	12
234	2Stout	12
234	KlausVonStiglitz	12
234	Darkgon	12
234	ewpunk	12
234	cichy096	12
234	RadarHz	12
246	jushykins	11
246	John6970	11
246	olek_kosa2009pvp	11
246	BumbleBeever	11
246	__tomato	11
246	xorompole	11
246	Sral7	11
253	I_Am_Mushkin	10
253	_Nuf	10
253	Bazongoman	10
253	HAIRYCLOUD626	10
253	Maenara	10
253	natajimi	10
253	EveryonesUncle	10
253	DanTheBuilderino	10
261	Jovaphobic	9
261	Tommhh	9
261	rachcl	9
261	Ozixar	9
261	Nicky_H225	9
261	PlasmaElk	9
261	Skylord_Luke	9
261	gustarbite	9
261	jacobsoy	9
261	StinkyDiplomat	9
261	Toriankel	9
261	sleepdrifter_	9
273	PhantomsGhost_	8
273	dudcreeper	8
273	Paleshield	8
273	_Razar	8
273	Silenttieg	8
273	Irko	8
273	Windo_licker	8
273	ooga47	8
273	DC_XII	8
273	Huic_ostiarius	8
273	RodSerlingCringe	8
273	NoChumpChange	8
273	godipose	8
273	DarkS0L	8
273	Quincannon	8
273	AvaRosey	8
273	IAmTheWalrus910	8
290	Natty	7
290	SteveCraftBlocks	7
290	redikul	7
290	egglapras	7
290	Karetoko	7
290	killmeiamtraitor	7
290	AlphaWolfPlaysMC	7
290	QueenShuvi	7
290	_Tilariel_	7
290	yatsuta	7
300	nataliecool	6
