rank	username	minecraft:picked_up/minecraft:amethyst_block
1	Frozil20	42269
2	pintsizedrogue	23934
3	Hyp3rion_	9989
4	MilleGrug	8394
5	hanaryheatwave	7677
6	Kowcio_	5729
7	TheSecondLord	5584
8	Dan_Scha	3748
9	tsitrawhy	3465
10	thewindmillman	2828
11	Smashic	2494
12	Jackattack53	2226
13	diamondgolem35	1910
14	corvidpartyfor6	1859
15	500am	1850
16	Enderxz3	1748
17	WET_WET_WET	1728
18	Winklepicker279	1713
19	lunathelemon	1641
20	ApophisNova	1622
20	MyNamaSheff	1622
22	RadarHz	1615
23	00000000-0000-0000-0009-01ff0c3e5e4f	1468
24	beeperbeeper5	1346
25	EMC_	1330
26	Kubelz	1310
27	Mahoose	1283
28	lordpipe	1282
29	TheDankPlatypus	1278
30	RatatJuice	1257
31	MrKrabOnCoke	1234
32	Mr_Byzantine	1224
33	luseis	1216
34	Lez_	1185
35	Nicserso	1163
36	SingedBread	1156
37	MuffinManzz	1081
38	Kakolbus	1051
39	Mattesco	1016
40	AdmiralSmoke	1009
41	Steelynan	1000
42	Iamthejo	999
43	k_ce	979
44	Legendosh	931
45	PaperCanvas	922
46	Ryker	888
47	RebelAndroid	830
48	mihimihimihi	825
49	Rebytre	821
50	Snowflowe	765
51	SvenskaHugo	729
52	Jimb0nat0r	723
53	dartwaffle	704
54	Manaateee	694
55	Apollo_993	691
56	_Karmaa	689
57	PlasticOtari	667
58	Hermanni__	665
59	noam464	658
60	SpacesickPrism	618
61	NomadicRobin_	609
62	ECstardust	600
63	12Magner05	583
64	excelsionprime	558
65	Huwulling	539
66	ZeroAbyssTTV	520
67	Flores991	497
67	pixelviolin	497
69	_i_ERROR_i_	492
70	starbits140	477
71	Rexorout	475
72	MinttyFressh	472
73	LeauVox4921	461
74	Deathkob	443
75	masskedman	441
76	Marbz_	436
77	Crowman1	422
78	rarrq	404
79	Krowuss	385
80	CharlieButt	384
81	YungMaki	382
82	ItsHydroMC	372
83	CattSoup	363
84	ScootOfBoot	360
85	Spenduh	358
86	UCP_TheKingK	323
86	mobunni	323
88	lillips	320
89	TheOuterCore	315
90	eitanzaki	303
91	shadowthemonkey	300
92	wwwwinnebagoooo	291
93	MAns_44	287
94	Sleepy_Time_	278
95	Soplight	271
96	Moofyman	267
97	ITDV	261
98	Awyrlas	256
99	shineh10	254
100	Touched_Bread	243
101	nattybears	239
102	gcaisawesome	232
103	Yahir091	227
104	_Dri_	224
105	Groovy_MoonBird	222
106	jessewegottacook	221
106	Silvo614	221
108	PigDab	214
109	xPixelRainx	212
109	prizm_	212
109	smogfrog	212
112	SuperPooch06	211
113	2blox_	208
114	fffMike	207
115	TheBananaKat	203
116	Steve897	202
117	AltnumberF4	195
118	Cyanide4Kitten	192
119	_Boipl_	191
120	Samificator	184
121	Di_infiri	180
122	ZoomieZoomie	177
123	BPTY4618	175
124	Mookle96	172
125	Killercatty78	171
126	Njensen7	169
127	fade_emerge78823	168
128	RoskobiOne	165
129	Dakar_	146
130	NieToksikpl	142
131	CaracolCxnt	131
131	KeruNatsema	131
133	Myszoaz	130
134	AuroraSkies	129
135	CollinMH06	128
136	q_wq	126
137	Sheldor097	123
138	KGTV	121
138	Jimi7hits	121
140	hm947	117
141	SyntheticSurgeon	116
142	groofles	113
143	Masssonnn	112
144	Toriankel	108
145	smarticuno	104
146	ImpavidArcher	103
146	ShedJr_	103
148	SpaggeDR	101
149	Miroryk	100
149	AlexxO_o	100
151	StarCookiees_	99
152	Alteriity	93
152	DabKeepaBlicky	93
152	Skippeh	93
155	ItsDeltaMC	89
156	WYFYoyo	88
157	SammiWolfGirl	86
158	_stets	84
159	Jonte0599	82
160	thebaddruid	79
161	coobert42	75
162	_Nat666	74
162	xxPipperDipperxx	74
164	JitteryJared2	73
164	Lutres_	73
166	CloroxBleach385	71
166	MineMaster0012	71
168	breadbowlgamer	70
169	bearlystraight	68
170	lorpus	67
171	Prismyst	66
171	sylvstarr	66
173	Nycteus_	65
173	Racengan	65
175	BINKENSTOCK	64
175	DadWorksForSega	64
175	SkinnyBois	64
178	Auseawesome	63
179	Inchef	58
180	cichy096	57
181	GreedyFern8581	55
182	Xalithia	54
183	longappendage	50
184	PortlyPete69	49
185	PazinGaming	43
185	Fuad_R	43
187	yulgur1	42
188	Weepingbiel	41
189	Avocadogerms	39
190	powercas_gamer	38
191	ItsGrayWolf	37
192	itburb	36
192	Segotep999	36
192	KeterComet	36
195	TerraVl	35
196	Kkanot	33
197	4774	32
197	iSammael	32
199	The_Fulgurator	31
199	zToasty69z	31
