rank	username	minecraft:picked_up/minecraft:baked_potato
1	eviltunix	31399
2	PhantomsGhost_	29730
3	Akoot_	13071
4	kekhon	6579
5	Mahoose	4265
6	TechnoNinja64	3363
7	pintsizedrogue	3239
8	Ezekson	2850
9	Groovy_MoonBird	2390
10	HazenBlazin	2132
11	Blackberry1310	2001
12	YungMaki	1943
13	lcvezra	1931
14	StefChe	1727
15	kinas45y5	1535
16	YungWali	1472
17	XboxPanda	1434
18	KarlKaek	1219
19	Optiprimus	1163
20	Wanjibon	1158
21	YaThiccB01	1126
22	Incinere	1091
23	6king6colt6	1054
24	_naturell	1051
25	prizm_	1040
26	Blu3beast	984
27	MAns_44	953
28	Commander_Ange	896
29	DamagedSin	864
30	ImpavidArcher	843
31	UrbanPlanner1978	830
32	lordpipe	824
33	rarrq	795
34	Di_infiri	777
35	TheSecondLord	772
36	Racengan	758
37	Meatlaugh	711
38	Jiminie	678
39	Frach23	660
40	stahouo	636
41	layabout100	608
42	LiquidFenrir	584
43	natajimi	580
44	Smoke____	536
45	noam464	532
46	Powowowow	509
47	Toriankel	467
48	Pootis11	464
49	Hiryu27	446
50	EcksDofficial	435
51	cowgirlkasia	434
52	Arsinic7	413
53	NomadicRobin_	405
54	concealed_J	403
55	joethahobo	393
56	NebulousBadger	386
57	emrekn	382
58	ooga47	362
59	chipklip	356
60	TheShyPig	355
61	Frozil12	352
62	thescout7	351
63	wTXop	346
64	DSYisDizzy	322
65	VolcanS	320
66	Merv__	318
67	ARCTICxLORD	309
68	eitanzaki	307
69	CrookedKaptain	293
70	EcksD	270
71	jacxhadow	268
72	Gofeeh	262
73	dudcreeper	259
74	Matemaks2137	256
74	Gokal	256
74	SpeedPotion	256
74	xKhoshekh	256
74	OnlyOfficial	256
79	lillips	241
80	Jij0	240
80	OfficerAnvil	240
82	Vorlice	238
83	DarlaMeow	234
84	Rumpletaezer	223
85	ewsophie	220
86	Maenara	219
86	Blamphe	219
86	Inbefour	219
89	MattieHD	217
89	h2p_emrld	217
91	slkiey	211
92	Iagoku	205
92	Segotep999	205
94	MrMattyPatt	201
95	_Boipl_	193
96	ssleepless	192
96	awesomeoneme	192
96	JakeInTheBushes	192
96	LILI_G_F_2007	192
96	dinothedinosaur1	192
101	epiksk8erduck	188
101	HellsSponge	188
103	MyNameIsDakar	186
104	AuroraValkyrie	185
105	jcool7	184
106	RodSerlingCringe	183
107	PlasticOtari	182
108	Kyrum2169	181
109	Legendosh	174
110	Faart	166
111	ApophisNova	164
111	ADEXTV	164
111	MyNamaSheff	164
114	_Dean_123	162
115	SSytex_X	160
116	Zythose	157
117	censorsheep	155
118	Soplight	154
119	somegirl12_	153
120	Zoeyfortnite	152
121	ratglock	150
121	Werbe	150
123	Freak_Genius	149
124	Cambo5000	146
125	fluddd	144
126	Nagasaki_Riku	143
127	Cocoamallows	141
128	Jamstroxian	139
128	dagudagu4	139
130	Hyp3rion_	137
131	BoraMC	132
132	ZoomieZoomie	131
133	Blaiku	130
133	stavgod	130
135	NieToksikpl	129
135	fade_emerge78823	129
137	Thaumatarge	128
137	Muffindrake	128
137	LexMakesHistory	128
137	OverallConcept	128
137	vadar12	128
137	lilguppy	128
143	SaucyDark	126
144	ElectricDragon81	121
145	xxPipperDipperxx	120
146	zqw10k	117
146	_Bguette_	117
148	Kubeusz2010	115
149	PigDab	113
150	Njensen7	112
151	Jimi7hits	111
152	Mr_Byzantine	110
153	fr0stss	109
154	oreee	106
155	Wowful	105
155	djancak	105
155	SammiWolfGirl	105
158	EMC_	103
159	Khelvoryk	101
160	Smashic	99
161	Fullut	98
161	Airem_Core	98
163	iHuntWeeaboos	97
164	shyshyannne	96
165	StrangerTokyo72	95
166	gabriels543	94
166	Vellu21	94
168	livingdaydreams	92
168	AJplaysMC_	92
170	Skippeh	91
171	surfinggiraffejp	90
171	Groundler	90
171	jaimshae	90
174	ProfessorBee	89
174	El_Jalapeno	89
174	MightyWertu	89
177	fr_ser	88
177	al626win52	88
179	MOSS000	86
180	Reamdin	84
180	RobotMinion101	84
180	Lord_Jord	84
183	beeperbeeper5	83
184	garrykasparow	82
185	Euclidoris	81
185	Megarboh	81
185	fallingemma	81
185	Rasmanden	81
189	Smaldo	80
190	Dusk_95	79
190	MakeHistory157	79
190	__tomato	79
190	Dreamdbr14	79
194	dopplexd	78
195	claivin	77
195	MovingFish7	77
195	Eraxa	77
198	Warlord324	76
199	Sky_light_KING	74
199	1442	74
201	ItsJunoIGuess	73
202	T045RTY	72
202	Peeing	72
204	FirsTimeGamingTV	71
204	Hermanni__	71
206	DaviusMaximoose	70
207	the__Reaper4999	69
208	thewindmillman	68
208	Xclax101	68
208	WYFYoyo	68
211	Septemb3r	67
211	DirtyBoar	67
211	IronyMan69	67
211	Skomo	67
211	CattSoup	67
216	Ecplosive	66
216	Sneaky_56	66
216	Zetsey	66
219	teslawolf38	65
219	Soap_Bender	65
219	monky_irl	65
219	KayleeGrace58	65
219	SunsetwolfGG	65
224	Astronicky	64
224	Mr_Worthless	64
224	Tobinator_007	64
224	SkirmishMUDKIP	64
224	Ninzyyy	64
224	itburb	64
224	tlal002	64
224	stickwhiskers	64
224	pmxi	64
224	h0tM4nl0v3r	64
224	FatPriest	64
224	Fildyr	64
224	Chaotic1s	64
224	carbo_bro	64
224	Whitecker	64
224	PlzNoBM	64
224	potatocan	64
241	ImDisconnected_	63
241	StitchCrashes	63
241	Strangemonkey71	63
244	heckface	62
244	oxfordschool	62
246	m_be9	61
246	SteveCraftBlocks	61
246	vampgey	61
246	MustardDrinker	61
246	Kowcio_	61
251	hcb238	60
252	himak1	59
252	balin55	59
254	not_a_duck_23	58
254	Jackattack53	58
256	bigstankyy	56
256	Joodi	56
258	Truckoss	55
258	Enderslayerxz3	55
260	eiC_	54
260	GlitchyPlate810	54
262	Inchef	53
263	CueMix	52
264	Bandito_Roamer	51
264	platinumzero	51
264	burbankbuilder28	51
264	MustaLoordi	51
264	Sheldor097	51
269	jspwn	50
269	popcanter	50
269	Shogunite	50
272	Louiis123	49
272	SuperPooch06	49
274	dabloons	48
274	Purplehere	48
276	Elprone266	47
276	Malorn_Aetherius	47
276	Cryptacity	47
276	Steelynan	47
276	mysnowydog	47
281	CheifJumbo	46
282	gizmo76	45
282	WyngGoy	45
282	BioKing99	45
285	CSG_Haru	44
286	Natty	43
286	Smiguli_	43
286	Soul_Atreus	43
289	TheWildMateo	42
290	Karetoko	41
290	little_dUki	41
292	DangusCnt	40
292	whoaluv	40
294	numbra	39
294	loveseeker	39
294	DarkS0L	39
297	Swexti	38
297	o0z	38
297	__Auspicious	38
300	wezzzi	37
