rank	username	minecraft:picked_up/minecraft:chiseled_nether_bricks
1	PigDab	262
2	Kowcio_	212
3	jacxhadow	105
4	thewindmillman	54
5	bearlystraight	37
6	diamondgolem35	27
7	SmashingPump	19
8	Mookle96	18
9	BobDeBouwer1337	16
10	Spacewardharpy7	15
11	beeperbeeper5	11
11	Kakolbus	11
11	_i_ERROR_i_	11
14	Enderxz3	7
15	Legendosh	6
16	YungMaki	5
17	Eraza	4
18	Dakar_	3
19	pintsizedrogue	2
19	Jindong	2
19	Di_infiri	2
19	Agent108	2
19	Manaateee	2
19	Druid95	2
19	AdmiralSmoke	2
26	TheSecondLord	1
26	noam464	1
26	EveryonesUncle	1
26	pixelviolin	1
