rank	username	minecraft:picked_up/minecraft:lantern
1	pintsizedrogue	5623
2	beeperbeeper5	3500
3	thewindmillman	3199
4	diamondgolem35	2842
5	Freak_Genius	2066
6	EveryonesUncle	1819
7	EcksD	1696
8	Mahoose	1423
9	Ezekson	1348
10	kekhon	1325
11	EcksDofficial	902
12	500am	859
13	TheSecondLord	806
14	HellsSponge	746
15	TheWildMateo	741
16	PlasticOtari	639
17	m_be9	621
18	Kakolbus	598
18	Steelynan	598
20	TheShyPig	559
21	Werbe	549
22	Merv__	530
23	Smoke____	498
24	Akoot_	489
25	Airem_Core	485
26	Eraxa	482
27	r123moore	434
28	RatatJuice	420
29	KingMatthew506	415
30	ImpavidArcher	411
31	Legendosh	394
32	KarlKaek	363
33	Fullut	357
34	SkateboardR6	355
35	rarrq	323
36	Enderslayerxz3	316
37	Drlzyy	315
38	Prodiginus	312
38	jacxhadow	312
40	_Dean_123	311
41	burbankbuilder28	304
42	EMC_	299
43	eitanzaki	286
44	Dedalus36	282
45	Hiryu27	279
46	Historical_Sand	266
46	Xclax101	266
48	SaucyDark	251
49	lcvezra	248
50	xxPipperDipperxx	244
51	YungMaki	241
52	wwwwinnebagoooo	240
53	PigDab	239
54	Blackberry1310	238
55	Dusk_95	237
55	SvenskaHugo	237
57	2Stout	233
58	Di_infiri	232
59	Onennon	230
60	ApophisNova	226
60	MyNamaSheff	226
62	Rebytre	218
63	WyngGoy	216
64	Skylord_Luke	214
65	Soplight	209
66	CuzIm2Kev	205
67	_stets	203
67	joethahobo	203
69	Mr_Byzantine	189
70	titanlax	187
71	jnp_gaming	181
72	RebelAndroid	179
73	ROY4LE	178
74	Ryker	177
75	noam464	173
76	fanofbands101	170
76	Jiminie	170
78	Inbefour	169
79	jcool7	168
80	SammiWolfGirl	167
81	Shogunite	156
82	MyNameIsDakar	152
83	thescout7	151
84	Lutres_Torane	146
85	Lord_Jord	142
86	Nicserso	139
87	Arceus1975	137
87	_Bguette_	137
89	Bandito_Roamer	135
90	Racengan	134
91	fffMike	132
92	fkGrim	131
93	CoffeeNoir	126
94	Eczbek	123
95	AuroraSkies	121
95	lordpipe	121
97	Tobinator_007	119
97	Rumpletaezer	119
99	Lez_	117
99	Kubeusz2010	117
101	Marbz_	115
102	PortlyPete69	113
103	Hpdinosaur	112
103	Kubelz	112
103	yulgur1	112
106	Groovy_MoonBird	111
107	jessewegottacook	109
108	pixelviolin	108
109	BlueZabu	107
110	RedcatVII	105
111	El_Jalapeno	103
112	Maenara	102
112	Fildyr	102
114	MyNameIsJobo	98
115	Zythose	97
115	AlphaWolfPlaysMC	97
115	oxfordschool	97
118	_TCARREIRA_	96
119	ProfessorBee	95
120	Meatlaugh	94
121	Chromary	93
122	BlankityMcBlank	92
123	BlancoFlaco	90
123	groofles	90
123	TechnoNinja64	90
126	Mattesco	89
126	Skippeh	89
128	TheDankPlatypus	87
129	Sky_light_KING	85
129	TheOuterCore	85
131	_Razar	83
132	Blaiku	82
132	SpacesickPrism	82
134	Toriankel	81
135	SteveCraftBlocks	78
136	chipklip	77
137	Prismyst	76
138	Guillemet	73
138	Stiar	73
140	Jackster03	72
140	Kkanot	72
140	LeauVox4921	72
140	Bumpy419	72
140	wezzzi	72
140	CSG_Haru	72
146	Ardennes	71
146	Hoid_the_Roamer	71
148	MysticalKitty139	70
149	RoskobiOne	68
149	Inchef	68
149	pappaberg	68
149	MightyWertu	68
149	Spacewardharpy7	68
149	Kowcio_	68
149	CattSoup	68
156	Ssor69	67
156	Smashic	67
158	MinttyFressh	66
159	6king6colt6	65
159	Zlatovlas	65
159	4774	65
162	Wolf_Mauler_73	64
162	LotusProject	64
164	Snowflowe	63
164	NomadicRobin_	63
166	lillips	62
167	PhantomsGhost_	61
167	Jiminbub	61
167	MovingFish7	61
170	Cartoonmaniac	60
171	Notta	59
172	gcaisawesome	58
172	MAns_44	58
172	Hermanni__	58
175	Euclidoris	56
176	YungJakobo	55
176	__tomato	55
178	Njensen7	54
179	set67	53
180	stahouo	52
181	Syropatathe	51
181	The_Quack_Dealer	51
183	Frozil20	50
183	Huwulling	50
183	Matek_	50
183	cedric72	50
187	Kim_Jong_eel	49
187	djancak	49
189	CharlieButt	48
189	iHuntWeeaboos	48
189	Factoroni	48
192	Malorn_Aetherius	47
192	ratglock	47
192	Jeteight	47
192	Blu3beast	47
196	Cryptacity	46
196	UncreativeArtist	46
196	Ecplosive	46
196	DanTheBuilderino	46
200	Wowful	45
200	anbbang	45
202	Doom_melon	44
202	CalebDHawk	44
202	2blox	44
205	stellarjay	43
205	Quotary	43
207	SingedBread	42
207	deenobeeno	42
209	Awyrlas	41
210	fluddd	40
210	Optiprimus	40
212	SuperPooch06	39
212	AltnumberF4	39
214	Tommhh	37
214	CruncyIsTaken	37
214	Deathkob	37
217	Hanselhoof	36
217	TTNG	36
219	bigstankyy	35
219	RobotMinion101	35
219	Segotep999	35
222	AuroraValkyrie	34
222	RefluxRatio	34
222	KeruNatsema	34
222	PlzNoBM	34
226	I_Am_Mushkin	33
226	CompAir	33
226	M_Patata	33
226	MasterNueve	33
226	IdeallyGrey	33
226	UCP_TheKingK	33
232	H72l9w	32
232	bloodbiter	32
232	John6970	32
232	prizm_	32
232	iTheRaiden	32
232	xorompole	32
238	killmeiamtraitor	31
238	RodSerlingCringe	31
238	ItsDeltaMC	31
241	awesomeoneme	30
241	DermeinUser	30
241	Jackattack53	30
241	Voxin2K	30
241	Lord_Doob	30
241	ZoomieZoomie	30
247	Cowison	29
247	Iagoku	29
247	Myszoaz	29
247	Jimi7hits	29
247	JESS_THE_RERE	29
247	_3Stump_	29
247	Lowjinx	29
254	TildaAndrea	28
254	slkiey	28
254	_Boipl_	28
254	00000000-0000-0000-0009-01ff0c3e5e4f	28
258	orxngejuice	27
258	Shiirazuku	27
258	Soap_Bender	27
261	teslawolf38	26
261	Frozt99	26
261	Jimb0nat0r	26
261	561cool	26
265	MinuteMira	25
265	tsitrawhy	25
267	eviltunix	24
267	Touched_Bread	24
267	zcrk	24
267	NotSoJamie	24
267	Solar_Power	24
267	iSammael	24
267	cichy096	24
267	smogfrog	24
275	heysushii	23
275	PlasticPrinter	23
275	Sral7	23
275	trexgb	23
279	Paleshield	22
279	ShedJr_	22
279	lizardfightclub	22
279	_Karmaa	22
279	JoCoLi	22
279	VentiHilton	22
285	Natty	21
285	Swexti	21
285	Cortexia	21
285	Gryglu583	21
285	The_slideV3	21
285	NameGenerat0r	21
285	Vorlice	21
292	Ozixar	20
292	purpolepickle	20
292	ewpunk	20
292	Vellu21	20
292	RadarHz	20
297	chimpmunker	19
297	Alteriity	19
297	egglapras	19
297	HolyVenom	19
