rank	username	minecraft:picked_up/minecraft:tropical_fish_bucket
1	noam464	104
2	Hyp3rion_	31
3	Blackberry1310	26
4	MyNameIsDakar	25
5	Mahoose	18
6	Jindong	16
6	ROY4LE	16
6	SammiWolfGirl	16
9	Xalithia	13
10	PhantomsGhost_	11
10	titanlax	11
10	kekhon	11
13	bloodbiter	10
13	Akoot_	10
13	Xclax101	10
13	TechnoNinja64	10
17	NieToksikpl	9
18	FreakGenius	8
19	eitanzaki	6
20	pintsizedrogue	5
20	Lez_	5
20	Sleepy_Time_	5
20	xxPipperDipperxx	5
20	adeptius	5
20	GlitchyPlate810	5
20	PlasticOtari	5
27	ANGIELUVSDWEAM	4
27	fkGrim	4
29	Frozil20	3
29	rarrq	3
29	SuperPooch06	3
29	thewindmillman	3
29	masskedman	3
29	HellsSponge	3
29	Quaintster	3
29	Blu3beast	3
37	joethahobo	2
37	MattieHD	2
37	500am	2
37	Inchef	2
37	Azmodan_246	2
37	Onennon	2
37	Leyna3	2
37	luseis	2
37	censorsheep	2
37	Kowcio_	2
37	YungMaki	2
37	lcvezra	2
37	Steelynan	2
37	Ezekson	2
37	Quotary	2
37	2bolx_	2
37	h2p_emrld	2
54	KarlKaek	1
54	diamondgolem35	1
54	LeDuctTape	1
54	Huwulling	1
54	tsohomie	1
54	Historical_Sand	1
54	beeperbeeper5	1
54	mimbo1211	1
54	CarltheCuck	1
54	Voxin2K	1
54	ApophisNova	1
54	The11thDoctor	1
54	Kynigito	1
54	TheShyPig	1
54	Maenara	1
54	EveryonesUncle	1
54	Tyrannosplart	1
54	SkateboardR6	1
54	lordpipe	1
54	LeeMcGee30	1
54	KingMatthew506	1
54	MyNamaSheff	1
54	Enderxz3	1
