rank	username	minecraft:picked_up/minecraft:turtle_helmet
1	Hyp3rion_	68
2	HellsSponge	33
3	Racengan	26
4	kekhon	21
4	groofles	21
6	luseis	14
6	AdmiralSmoke	14
8	Mahoose	13
9	ImpavidArcher	10
9	oscminus	10
9	claivin	10
9	Blu3beast	10
13	ConnorDanky_	9
13	TechnoNinja64	9
15	pintsizedrogue	8
15	Akoot_	8
15	Quotary	8
18	Blackberry1310	7
18	SteveCraftBlocks	7
20	eitanzaki	6
20	Kowcio_	6
20	jnp_gaming	6
23	Ninzyyy	5
23	rarrq	5
23	SellyZ	5
23	jcool7	5
23	PlasticOtari	5
28	beeperbeeper5	4
28	ApophisNova	4
28	Werbe	4
28	SaintJosie	4
28	NameGenerat0r	4
28	SvenskaHugo	4
28	MyNamaSheff	4
28	Enderxz3	4
36	NatalieTW	3
36	joethahobo	3
36	500am	3
36	LeGold	3
36	Tyrannosplart	3
36	DarlaMeow	3
36	Eraxa	3
36	__tomato	3
36	Kferno	3
36	KingMatthew506	3
36	cichy096	3
47	Frozil20	2
47	6king6colt6	2
47	itburb	2
47	ewsophie	2
47	T045RTY	2
47	Batman922	2
47	Jackster03	2
47	titanlax	2
47	Cryptacity	2
47	TheSecondLord	2
47	m_be9	2
47	Marbz_	2
47	Di_infiri	2
47	SuperPooch06	2
47	Blamphe	2
47	Gryglu583	2
47	fkGrim	2
47	fluddd	2
47	MovingFish7	2
47	YungMaki	2
47	LeEricc	2
47	alderban107	2
47	Skippeh	2
47	Powowowow	2
47	skrongus	2
47	Zoeyfortnite	2
47	xolstoi	2
74	Jovaphobic	1
74	Groovy_MoonBird	1
74	heysushii	1
74	Apollo_993	1
74	Hyugo	1
74	freeandrew	1
74	dragonsleger	1
74	Minimize501	1
74	Natty	1
74	ausrctten	1
74	H72l9w	1
74	SnowyAvi	1
74	Jakobo1337	1
74	Tyranar	1
74	Sloths_Ender	1
74	Secret_Canary	1
74	poopybh	1
74	Timfinity4	1
74	Fullut	1
74	Kamflame10	1
74	set67	1
74	himak1	1
74	emrekn	1
74	ROY4LE	1
74	CollinMH06	1
74	legal_tax_evader	1
74	valiSW	1
74	Arceus1975	1
74	GreedyFern8581	1
74	Bumpy419	1
74	Rebytre	1
74	Hiryu27	1
74	RobotMinion101	1
74	Onennon	1
74	AlexxO_o	1
74	TheShyPig	1
74	ougstur	1
74	FishyBoy3811	1
74	xDraggin	1
74	ogoa	1
74	LeonelSalamanca	1
74	NomadicRobin_	1
74	Deathkob	1
74	the_russell1611	1
74	SolicitedPuma101	1
74	jambvds	1
74	Fuad_R	1
74	The_slideV3	1
74	_Karmaa	1
74	Xclax101	1
74	splatterhawk	1
74	__Auspicious	1
74	Spacewardharpy7	1
74	monky_irl	1
74	ayamefag	1
74	rejenita	1
74	_Mythic____	1
74	Kyrum2169	1
74	Siguy__	1
74	BlankityMcBlank	1
74	EtherealEspresso	1
74	djancak	1
74	lcvezra	1
74	_TCARREIRA_	1
74	PortlyPete69	1
74	Drawgirl	1
74	Steelynan	1
74	Vellu21	1
74	ZoomieZoomie	1
74	Ezekson	1
74	little_dUki	1
74	vandmanden	1
74	Jimb0nat0r	1
74	FishisTTV	1
74	h2p_emrld	1
