rank	username	minecraft:picked_up/minecraft:cooked_cod
1	Ezekson	2319950
2	joethahobo	19563
3	Paintz	19204
4	xxPipperDipperxx	15410
5	lordpipe	9659
6	HellsSponge	7867
7	CliffEmAll	7485
8	kekhon	6461
9	oxfordschool	5068
10	thewindmillman	3775
11	Mahoose	3694
12	Akoot_	3497
13	Freak_Genius	3385
14	Blaiku	3292
15	Blackberry1310	3277
16	rarrq	3046
17	lcvezra	2959
18	12Magner05	2608
19	Frozil12	2519
20	eitanzaki	2200
21	Snowflowe	2184
22	Thrasaere	2144
23	DarlaMeow	2052
24	jnp_gaming	2041
25	masskedman	1949
26	_Virify_	1939
27	ROY4LE	1769
28	Xalithia	1615
29	Upstro10	1565
30	NomadicRobin_	1416
31	TheWolfWhoGrins	1390
32	Di_infiri	1300
33	HazyDrummer	1286
34	Destroyer112221	1280
34	extralargenose	1280
36	El_Jalapeno	1231
37	Minecraftmad687	1216
38	T045RTY	1200
39	EcksDofficial	1191
40	Wowful	1135
41	Blu3beast	1123
42	Zinkacide	1088
43	DanielMmm	1079
44	EMC_	1068
45	Smoke____	1056
46	Kferno	962
47	censorsheep	906
48	TarynBubs	896
48	Nonectwi	896
50	Kubeusz2010	889
51	EcksD	836
52	ProbablyNick	832
53	RatatJuice	828
54	Hyp3rion_	786
55	MattieHD	785
56	ApophisNova	719
56	MyNamaSheff	719
58	GigiDuru	640
59	Smiguli_	628
60	WyngGoy	615
61	SammiWolfGirl	609
62	the__Reaper4999	603
63	ItsColin11	556
64	Rumpletaezer	529
65	Cambo5000	521
66	VentiHilton	520
67	Fatimus_	513
68	Tristankill	512
69	Kyrum2169	508
70	Bumpy419	502
71	LordSpeed37	496
72	set67	491
73	shyshyannne	484
74	ayamefag	478
75	Sky_light_KING	469
76	loveseeker	463
77	cichy096	455
78	StupidBiscuits	448
79	BurgerKnight	442
80	Aiko_Kawashima	440
81	Spacewardharpy7	439
82	_Dean_123	419
83	noam464	401
84	gcaisawesome	394
85	CaptainSteve345	384
86	GamingStyle325	383
87	Racengan	376
88	Airem_Core	374
89	PhantomsGhost_	373
90	Legendosh	362
91	SingedBread	361
92	xPixelRainx	356
93	YungMaki	352
94	AuroraValkyrie	351
95	Chromary	335
96	beeperbeeper5	334
97	NoChumpChange	329
98	kinas45y5	321
99	jacobsoy	320
99	fffMike	320
101	MightyWertu	319
102	Natty	313
103	jcool7	312
104	Groovy_MoonBird	311
105	Kakolbus	310
106	2Stout	307
107	Arceus1975	306
108	soundad	305
109	_TCARREIRA_	302
110	Groundler	296
111	SuperPooch06	287
112	Yahir091	284
113	Whiterooster001	283
114	lillips	272
115	SpookyDraggin	271
116	laron58	267
117	Fuzai	257
118	__hinterland__	256
118	UCP_TheKingK	256
118	ssniffles	256
121	badger7413	255
122	Enderslayerxz3	253
123	Historical_Sand	250
124	Sheldor097	247
125	TechnoNinja64	245
126	XboxPanda	243
126	fluddd	243
126	GravitySaint	243
129	Fullut	236
129	Nekomin0	236
131	_Dri_	234
132	Shychelsoo	230
133	RebelAndroid	229
134	Njensen7	228
135	Lord_Jord	226
136	claivin	225
137	Eraxa	224
137	rejenita	224
137	KingMatthew506	224
137	Skippeh	224
141	fanofbands101	223
142	error10101	221
142	sebastiensaborio	221
142	PlasticOtari	221
145	Corbsman	220
146	PortlyPete69	219
147	andy_rex	217
148	ImpavidArcher	214
148	wTXop	214
150	Powowowow	205
151	Soap_Bender	202
152	TheShyPig	199
152	Soplight	199
154	KarlKaek	198
155	Misato_0	193
155	minersam1	193
157	NLKBuilder	192
157	MitexFTW	192
159	EveryonesUncle	186
160	JohnnyFyes	185
160	ooga47	185
162	the_russell1611	182
163	pintsizedrogue	173
164	sadvavilloso	171
165	xX_Stalin69_Xx	165
166	DirtyDalle	162
167	diggydog67	161
168	LAVA129	160
169	ebanana	158
170	TheSeismicDuck	156
170	Shogunite	156
170	SexcMf	156
173	JMK208	152
174	Awyrlas	147
175	starbits140	145
176	NinjaKnifeKill	143
177	Toriankel	142
178	stahouo	141
179	MyNameIsJobo	140
180	Spenduh	139
181	SkateboardR6	136
182	SlimeBOI03	134
182	SilentKarma	134
184	lahavmor	133
185	GreedyFern8581	132
185	738b4f65-6cbd-4ead-ba31-c14211abfb06	132
187	_Karmaa	131
188	Dedalus36	129
188	BlancoFlaco	129
188	wiqor	129
188	StarPlanetMoon	129
192	musaad_	128
192	Megarboh	128
192	TinyDesertFox1	128
192	SHAOBADMAN	128
192	victricemque	128
192	Chrisdeadeye	128
192	alddd	128
192	JackyKwacky	128
192	LedgyTime	128
192	annoyingenderman	128
192	Uwu_Escape	128
203	Sh4bby	126
204	Winston_Ingram	125
205	NoraTheYandere	124
205	mimbo1211	124
205	M_Patata	124
205	MasterNueve	124
205	UltraZombie	124
210	Jackattack53	122
210	RodSerlingCringe	122
212	AlexStrange	120
213	obzii	119
214	kyouma777	118
215	I_Am_Mushkin	117
216	CSG_Haru	116
216	Teebone15	116
218	burbankbuilder28	114
219	Gu_Yue_Fang_Yuan	113
219	F0mpel	113
219	little_dUki	113
222	chlorinex	112
223	Notta	111
223	ChillenChiggen	111
223	DemTechAlpha	111
223	sp00ky_ghost977	111
227	Winklepicker279	109
227	h2p_emrld	109
229	WarHammer3	108
229	JayToe	108
231	Dali1465	106
232	Wolf_Mauler_73	105
233	Deathkob	100
233	Nagasaki_Riku	100
235	bloodbiter	98
235	Cyntrical	98
237	SpaceGrenadier	96
237	TastyPorkchop	96
237	szczeepaan	96
237	Klassy__	96
237	33sudo	96
242	Nach0Bear	95
242	Werbe	95
244	diamondgolem35	94
244	Ripzch	94
246	Nycteus_	93
247	Lotheburgh	92
247	JEWISHBadenBeele	92
247	Jiminie	92
250	Bandito_Roamer	91
250	ProfessorBee	91
250	thescout7	91
250	Hiryu27	91
250	hdtpm	91
255	wezzzi	89
256	Nicserso	87
257	paranoid_plant	86
258	victorLIE	83
259	Paleshield	82
260	Rasaq	80
260	BRRRN179	80
262	Jovaphobic	78
262	DarkLawD	78
264	_Yonk_	76
265	ssleepless	75
266	Thaumatarge	74
266	__tomato	74
268	Caystelly	73
268	561cool	73
270	hm947	72
270	SomeDumbFish	72
272	MeetTheWollo	71
273	Ze1ig	70
274	_Razar	69
274	gaziter10	69
276	Louiis123	68
