rank	username	minecraft:picked_up/minecraft:tinted_glass
1	thewindmillman	6187
2	Hyp3rion_	3531
3	Ezekson	2083
4	k_ce	1372
5	pintsizedrogue	898
6	beeperbeeper5	806
7	Kakolbus	546
8	Jackattack53	453
9	500am	308
10	PlasticOtari	225
11	Enderxz3	211
12	ImpavidArcher	192
13	Lez_	161
14	tsitrawhy	135
15	noam464	107
16	_Huge_Male_	99
17	Yamdalorian	98
18	Weepingbiel	97
19	weabis	84
20	ECstardust	74
21	TheSecondLord	68
21	Mattesco	68
23	TheWickedBird	59
24	Mahoose	53
25	PaperCanvas	48
26	oscminus	40
27	SvenskaHugo	39
28	SmashingPump	35
29	YungMaki	33
30	diamondgolem35	30
30	PigDab	30
32	Steelynan	23
33	Kowcio_	21
34	corvidpartyfor6	20
34	TheWildMateo	20
34	Manaateee	20
37	joethahobo	16
38	_stets	15
38	Alteriity	15
38	Krowuss	15
41	RebelAndroid	13
42	RebytreGT	12
43	12Magner05	11
44	MuffinManzz	8
44	drunkeeez	8
44	SingedBread	8
47	Prismyst	7
47	Fuad_R	7
49	xxPipperDipperxx	6
49	NumbaOneMunch	6
51	Apollo_993	5
51	Winklepicker279	5
51	MAns_44	5
54	Mr_Byzantine	4
54	PazinGaming	4
54	Merv__	4
54	Flores991	4
54	Spenduh	4
54	Nicserso	4
60	SquadMonster	3
60	AlexxO_o	3
62	MattieHD	2
62	Jonafrog99	2
62	luseis	2
62	iSammael	2
62	TheSandwhich_	2
62	WYFYoyo	2
68	Valoth	1
68	MonkeySaint	1
68	Inchef	1
68	TheDankPlatypus	1
68	pixelviolin	1
68	Pumpkin_P_Patch	1
68	SpacesickPrism	1
68	Jimb0nat0r	1
