rank	username	minecraft:picked_up/minecraft:cherry_leaves
1	SpacesickPrism	33022
2	EveryonesUncle	13984
3	Apollo_993	8924
4	MattieHD	1447
5	oscminus	1268
6	xolstoi	951
7	_Huge_Male_	942
8	pintsizedrogue	923
9	xxPipperDipperxx	784
10	Enderxz3	719
11	Kowcio_	712
12	Merv__	646
13	Mr_Sun15	609
14	Mr_Byzantine	546
15	j5ylim	457
16	Alteriity	396
17	k_ce	348
18	KarlKaek	345
19	Mattesco	326
20	Fullut	304
21	shineh10	246
22	lunathelemon	223
23	Napoleonpancake	214
24	StarCookiees_	203
25	KamFurnace	194
26	MineMaster0012	173
27	Manaateee	170
28	MAns_44	149
29	Jackattack53	141
30	Krowuss	131
31	luseis	129
32	hanaryheatwave	120
33	pixelviolin	109
34	MadmanRaven	100
35	Spenduh	98
35	Steelynan	98
37	SvenskaSara	79
38	Werbe	63
39	Hyp3rion_	61
40	Lez_	59
41	Samificator	53
42	lorywithay	51
43	Legendosh	37
44	corvidpartyfor6	33
45	Reneedium	20
46	Archsam	17
47	Soplight	16
48	beeperbeeper5	10
49	Rebytre	9
50	Buuck_	7
51	excelsionprime	5
52	CLG_Kata	2
52	tuckerdoodle	2
52	OreTheBear	2
55	ECstardust	1
55	Myntsys	1
