rank	username	minecraft:picked_up/minecraft:red_bed
1	PigDab	852
2	HellsSponge	129
3	Soplight	123
4	ayamefag	116
5	EveryonesUncle	66
6	eitanzaki	55
7	Smoke____	52
8	diamondgolem35	49
9	Solar_Power	39
10	kekhon	38
11	TechnoNinja64	32
12	xxPipperDipperxx	28
12	Spacewardharpy7	28
14	EMC_	26
15	joethahobo	24
16	luseis	23
17	Merv__	22
17	Hpdinosaur	22
17	SkateboardR6	22
20	gcaisawesome	20
20	Winklepicker279	20
22	m_be9	19
22	XboxPanda	19
22	StinkyDiplomat	19
22	xolstoi	19
26	beeperbeeper5	18
26	Eczbek	18
28	LeeMcGee30	17
29	bigstankyy	16
29	ThiccExotic	16
29	BumbleBeever	16
29	PortlyPete69	16
33	Racengan	15
34	Rebytre	14
34	FreakGenius	14
34	PlasticOtari	14
37	Chromary	13
37	Steelynan	13
37	RadarHz	13
40	Blackberry1310	12
40	Vetral1	12
40	Eraxa	12
43	pintsizedrogue	11
43	Mahoose	11
43	rarrq	11
43	El_Jalapeno	11
47	gaziter10	10
47	MinttyFressh	10
47	Arceus1975	10
47	Akoot_	10
47	NoChumpChange	10
47	RealGroot	10
47	HesDemonPants	10
54	Inchef	9
54	Mattesco	9
54	ZA07	9
54	Wowful	9
54	CattSoup	9
54	little_dUki	9
54	Jimb0nat0r	9
61	SaucyDark	8
61	ShedJr_	8
61	_Nuf	8
61	Windo_licker	8
61	MangoTheFish	8
61	Deathkob	8
61	Blu3beast	8
61	EcksD	8
61	00000000-0000-0000-0009-01ff0c3e5e4f	8
70	Reamdin	7
70	ITDV	7
70	TheSecondLord	7
70	jacxhadow	7
70	Felenov	7
70	KermitTheKripple	7
70	jcool7	7
70	TheALV	7
70	Iamthejo	7
70	Enderxz3	7
80	BodaciousCake	6
80	bloodbiter	6
80	catandmoose	6
80	AnnieBathory	6
80	stellarjay	6
85	jspwn	5
85	ccwildfire1	5
85	Prodiginus	5
85	noam464	5
85	thewindmillman	5
85	RyuNeko932000	5
85	drompje	5
85	nut_e	5
85	Chuvacevedo	5
85	ooga47	5
85	Gmoney390	5
85	TheShyPig	5
85	Luminad3	5
85	Lord_Jord	5
85	TheSeismicDuck	5
85	Jiminbub	5
85	Syropatathe	5
85	lcvezra	5
103	jjettii	4
103	RoskobiOne	4
103	RatatJuice	4
103	Swalt	4
103	jushykins	4
103	TheDiamondCG	4
103	Kamflame10	4
103	4774	4
103	Covalents	4
103	NLKBuilder	4
103	Marbz_	4
103	Di_infiri	4
103	andy_rex	4
103	SvenskaSara	4
103	Meatlaugh	4
103	weabis	4
103	SingedBread	4
103	MissCeleste7	4
103	jnp_gaming	4
103	Sral7	4
123	SaltineDream	3
123	Groovy_MoonBird	3
123	Harotio	3
123	dimondking777	3
123	SmashingPump	3
123	Gundam_Steven	3
123	dongli	3
123	Luna_Rosie	3
123	cheerytomato	3
123	Crowman1	3
123	Jakobo1337	3
123	MattieHD	3
123	corvidpartyfor6	3
123	_Dean_123	3
123	Smashic	3
123	mwrty	3
123	r123moore	3
123	shadowthemonkey	3
123	Snowflowe	3
123	RobotMinion101	3
123	Jimi7hits	3
123	SaintJosie	3
123	ADEXTV	3
123	binman420	3
123	JakobDylanC	3
123	Lord_Zacler	3
123	JESS_THE_RERE	3
123	Quaintster	3
123	ReflexCode	3
123	Blaiku	3
123	the__Reaper4999	3
123	DarkLawD	3
123	Airem_Core	3
123	KayleeGrace58	3
123	tartanboy	3
123	ConnorDanky_	3
123	smogfrog	3
123	00000000-0000-0000-0009-01f73aa9620f	3
161	Froste131	2
161	Elprone266	2
161	FazeObama69	2
161	PhantomsGhost_	2
161	CloroxBleach385	2
161	6king6colt6	2
161	KarlKaek	2
161	neurotic_a	2
161	Killercatty78	2
161	Lez_	2
161	Swexti	2
161	shdesolt	2
161	12Magner05	2
161	Megarboh	2
161	shyshyannne	2
161	CyrusIsTired	2
161	Fullut	2
161	slkiey	2
161	Kkanot	2
161	emrekn	2
161	ROY4LE	2
161	John6970	2
161	mimbo1211	2
161	fallingemma	2
161	SuperStreetCat	2
161	gabriels543	2
161	SlayerCrypto	2
161	whoaluv	2
161	Rumpletaezer	2
161	popcanter	2
161	King_Pancake1	2
161	WolfthePiggy	2
161	Parcc	2
161	DAD_1996	2
161	Werbe	2
161	Kokeech	2
161	fxiryglitch	2
161	ougstur	2
161	aa2x_	2
161	stuy9	2
161	Roikdean	2
161	Meepcraft	2
161	Russiancat1	2
161	fkGrim	2
161	the_russell1611	2
161	RoofTyler	2
161	DarlaMeow	2
161	The_slideV3	2
161	queenalina123	2
161	fluddd	2
161	RedcatVII	2
161	MS_Pryxx	2
161	SexcMf	2
161	Optiprimus	2
161	stavgod	2
161	YungMaki	2
161	xzvu	2
161	Poppy235	2
161	MineCryptian	2
161	KingMatthew506	2
161	athereall	2
161	CityPotato	2
161	ZoomieZoomie	2
161	Ezekson	2
161	_AAZAR	2
161	FelixPSY375	2
161	Legendosh	2
161	momis24	2
161	BiggieDawg	2
161	coobert42	2
161	JohnPrice	2
232	blissnya	1
232	AikoShayz	1
232	xfemboyx	1
232	Argraol	1
232	teslawolf38	1
232	shineh10	1
232	Frozil20	1
232	Esme_1	1
232	superfred2010	1
232	JokoFiskare	1
232	Incinere	1
232	livingdaydreams	1
232	nattybears	1
232	Jahara	1
232	WarHammer3	1
232	FjordVPN	1
232	FirsTimeGamingTV	1
232	Ozixar	1
232	Valoth	1
232	NieToksikpl	1
232	Auseawesome	1
232	SDMNAEK	1
232	Nicky_H225	1
232	zorin123	1
232	Zopir	1
232	Motsaro	1
232	himak1	1
232	LordDiabolos	1
232	Xalithia	1
232	drunkeeez	1
232	moist_jellyfish	1
232	NotSoJamie	1
232	Itz_DuongVN	1
232	Jackattack53	1
232	SuperPooch06	1
232	okCrypto	1
232	AmbroseForLife	1
232	LAVA129	1
232	killmeiamtraitor	1
232	Dotf1337	1
232	ItsMrRamen	1
232	MustardDrinker	1
232	CaptainDeadBread	1
232	Voxin2K	1
232	ItsAki_	1
232	TheWildMateo	1
232	iElijah	1
232	Leyna3	1
232	ILoveCarrot	1
232	Fakiuss	1
232	Inbefour	1
232	WarpRanger	1
232	KasterNM	1
232	_Bguette_	1
232	DASH_X7	1
232	claivin	1
232	E775	1
232	Warlord324	1
232	ItsJWolff	1
232	csendeslol	1
232	Ze_BaronKrigler	1
232	rejenita	1
232	underscore_2	1
232	Goldiethebear03	1
232	gusstationwerker	1
232	UltraZombie	1
232	ThisUserIsStump	1
232	Hermanni__	1
232	Skippeh	1
