rank	username	minecraft:picked_up/minecraft:waxed_oxidized_chiseled_copper
1	k_ce	2
1	Secret_Canary	2
1	Yamdalorian	2
1	00000000-0000-0000-0009-01fe065167f0	2
5	Merv__	1
5	MAns_44	1
5	Buuck_	1
5	Soplight	1
5	Steelynan	1
