rank	username	minecraft:picked_up/minecraft:wind_charge
1	thewindmillman	666
2	oscminus	417
3	MyMawgDonaldsGon	403
4	Buuck_	341
5	00000000-0000-0000-0009-01fe065167f0	299
6	CLG_Kata	243
7	k_ce	184
8	Yamdalorian	178
9	Mr_Byzantine	166
10	cutelilreno	147
11	_Mythic____	136
12	pixelviolin	131
13	net_flex	108
14	TheKingK_	101
15	Secret_Canary	82
16	beeperbeeper5	71
17	MattieHD	63
18	Spaghettatron	60
19	Enderxz3	38
20	MAns_44	36
21	KamFurnace	24
22	Soplight	20
23	Merv__	12
24	Steelynan	11
25	00000000-0000-0000-0009-01f536ca417f	9
26	Lez_	4
27	nev_s	3
27	DisgruntledKoala	3
29	lpinfinity	2
29	Eczbek	2
