rank	username	minecraft:picked_up/minecraft:lime_glazed_terracotta
1	thewindmillman	1527
2	Snowflowe	712
3	Lez_	182
4	Spacewardharpy7	158
5	Kowcio_	111
6	Merv__	97
7	Werbe	89
8	lillips	83
9	Inbefour	71
10	ImpavidArcher	69
11	_Virify_	56
12	SuperPooch06	40
13	lordpipe	31
14	eitanzaki	30
15	Hyp3rion_	24
16	Mahoose	16
16	Hiryu27	16
18	ApophisNova	15
18	MyNamaSheff	15
20	Mr_Byzantine	12
20	Krowuss	12
22	Blackberry1310	11
23	AdmiralSmoke	10
24	PhantomsGhost_	9
24	Jackattack53	9
26	SaucyDark	8
27	TheShyPig	7
27	_Bguette_	7
27	StinkyDiplomat	7
30	mihimihimihi	6
30	YungMaki	6
30	jnp_gaming	6
33	beeperbeeper5	5
33	Soplight	5
33	ConnorDanky_	5
36	Mewar	4
36	Manaateee	4
36	Blaiku	4
39	noam464	3
39	Di_infiri	3
39	oscminus	3
39	SonicRainBow_	3
39	Eraxa	3
39	aubergined	3
45	ProbablyNick	2
45	Frozil20	2
45	rarrq	2
45	jushykins	2
45	kekhon	2
45	Fullut	2
45	CarltheCuck	2
45	laron58	2
53	RatatJuice	1
53	intropass	1
53	__Fanda__	1
53	Bumpy419	1
53	The11thDoctor	1
53	Deathkob	1
53	ItsDeltaMC	1
53	Razzgriz	1
53	_Mythic____	1
53	MineMaster0012	1
53	TechnoNinja64	1
53	xolstoi	1
