rank	username	minecraft:picked_up/minecraft:player_head
1	kekhon	307
2	joethahobo	192
3	lordpipe	182
4	Blackberry1310	123
5	Mahoose	120
6	eitanzaki	109
7	beeperbeeper5	75
8	Spacewardharpy7	65
9	Akoot_	64
10	Eraxa	54
11	MeetTheWollo	50
12	Werbe	46
13	fluddd	42
14	Inchef	41
15	ImpavidArcher	39
15	Chromary	39
17	Hyp3rion_	32
18	Blaiku	30
19	rarrq	29
20	TheSecondLord	27
21	pintsizedrogue	20
21	claivin	20
23	noam464	18
23	Di_infiri	18
25	oxfordschool	17
26	YungMaki	16
27	PlasticOtari	15
28	Frozil12	14
29	TheShyPig	11
30	500am	9
30	xxPipperDipperxx	9
30	celerey_eater_95	9
30	TheTrueClipse	9
30	Legendosh	9
35	NameGenerat0r	8
35	Enderslayerxz3	8
37	LoboTheLobster	7
37	2321	7
37	Blu3beast	7
37	Soplight	7
37	SammiWolfGirl	7
37	Smoke____	7
43	Awyrlas	6
43	SuperPooch06	6
43	jcool7	6
46	T045RTY	5
46	TheFlfthHorseman	5
46	heckface	5
46	_Dean_123	5
46	iccd	5
46	iElijah	5
46	738b4f65-6cbd-4ead-ba31-c14211abfb06	5
46	NomadicRobin_	5
46	Freak_Genius	5
46	obzii	5
56	Xalithia	4
56	0nly_sn1per	4
56	Arceus1975	4
56	DAD_1996	4
56	ApophisNova	4
56	lillips	4
56	MyNamaSheff	4
63	Ssor69	3
63	SoftSix	3
63	Smashic	3
63	PigDab	3
63	Jiminie	3
63	The_Quack_Dealer	3
63	Xclax101	3
63	MakeHistory157	3
63	Miko_Fullbuster	3
63	Ezekson	3
73	JohnnyFyes	2
73	Alteriity	2
73	ShedJr_	2
73	BobDeBouwer1337	2
73	jiggywraps	2
73	m_be9	2
73	Lor1113	2
73	_Boipl_	2
73	RobotMinion101	2
73	Loraxonlyfans	2
73	DarlaMeow	2
73	HellsSponge	2
73	Razzgriz	2
73	Hermanni__	2
73	Kubeusz2010	2
73	EcksDofficial	2
73	00000000-0000-0000-0009-01f73aa9620f	2
90	MR__puma	1
90	mix9ine_maz	1
90	Flegneh	1
90	error10101	1
90	Incinere	1
90	Spaghettatron	1
90	C0by3llis	1
90	WarHammer3	1
90	Da_Boss_Rani	1
90	bloodbiter	1
90	Cranium856	1
90	__jai_	1
90	SteveCraftBlocks	1
90	Scathra	1
90	thescout7	1
90	himak1	1
90	r123moore	1
90	Touched_Bread	1
90	ComradeSquirrel	1
90	SlayerCrypto	1
90	Jackattack53	1
90	MalcMan13	1
90	Bongo_Drums_	1
90	k1ngGilgamesh	1
90	Bjendo	1
90	DScatgirls	1
90	RodSerlingCringe	1
90	Maenara	1
90	ogoa	1
90	EveryonesUncle	1
90	_Bguette_	1
90	LexMakesHistory	1
90	Stylessz	1
90	Quaintster	1
90	Not_Insom	1
90	cog	1
90	ItzWqlfy	1
90	SkateboardR6	1
90	Godspirit249	1
90	Spenduh	1
90	PortlyPete69	1
90	Skippeh	1
90	Nicserso	1
90	Tenoto	1
90	jnp_gaming	1
