rank	username	minecraft:picked_up/minecraft:saddle
1	noam464	339
2	Sral7	177
3	thewindmillman	176
4	MyNameIsJobo	140
5	Werbe	116
6	beeperbeeper5	112
7	Racengan	109
8	Freak_Genius	105
9	kekhon	101
10	pintsizedrogue	83
11	HellsSponge	73
12	Legendosh	71
13	LordSpeed37	68
14	YungMaki	64
15	Myszoaz	63
16	TheShyPig	62
17	Fullut	60
18	eitanzaki	58
19	masskedman	55
20	Mahoose	53
21	Ezekson	50
22	livingdaydreams	42
22	mwrty	42
24	KingMatthew506	41
25	jnp_gaming	40
26	Blaiku	39
27	WyngGoy	38
27	ayamefag	38
27	JayToe	38
30	Di_infiri	37
31	Smoke____	35
32	rarrq	34
32	sp00ky_ghost977	34
34	_TCARREIRA_	32
35	Enderslayerxz3	31
35	TechnoNinja64	31
37	Bandito_Roamer	30
37	Bumpy419	30
37	Quotary	30
40	oxfordschool	29
41	censorsheep	27
42	dimondking777	26
43	Soplight	25
44	joethahobo	24
44	El_Jalapeno	24
46	Skippeh	23
47	ROY4LE	22
47	Ecplosive	22
47	Blu3beast	22
47	lcvezra	22
51	PhantomsGhost_	21
51	Eraxa	21
51	EcksD	21
54	Historical_Sand	20
54	slkiey	20
54	Kyrum2169	20
57	KingFaenor	19
57	Blackberry1310	19
57	claivin	19
57	Spacewardharpy7	19
61	thescout7	18
62	FirsTimeGamingTV	17
62	Frxnkz	17
62	Akoot_	17
62	EveryonesUncle	17
66	The11thDoctor	16
66	chipklip	16
68	Vizzoid	15
68	jacxhadow	15
68	Kkanot	15
68	MovingFish7	15
72	m_be9	14
72	Hiryu27	14
74	EMC_	13
74	ImpavidArcher	13
74	TheSecondLord	13
74	__tomato	13
74	ediballbearings	13
74	fffMike	13
74	Powowowow	13
74	PlasticOtari	13
82	SaucyDark	12
82	seramalen	12
82	fluddd	12
82	Segotep999	12
86	Froste131	11
86	diamondgolem35	11
86	Euclidoris	11
86	Arceus1975	11
86	Onennon	11
86	Kim_Jong_eel	11
92	KarlKaek	10
92	ssleepless	10
92	MattieHD	10
92	Rebytre	10
92	ApophisNova	10
92	ooga47	10
92	SvenskaAlvar	10
92	Maenara	10
92	Inbefour	10
92	stahouo	10
92	MyNamaSheff	10
103	Ardennes	9
103	M_Patata	9
103	DAD_1996	9
103	selectrix	9
103	fred870d	9
103	ToastedGamingYT	9
103	lillips	9
103	MyNameIsDakar	9
103	Xclax101	9
103	MasterNueve	9
103	SvenskaHugo	9
103	_AAZAR	9
115	Jovaphobic	8
115	pZygh0st	8
115	Paleshield	8
115	xxPipperDipperxx	8
115	loveseeker	8
115	Jackattack53	8
115	TheTrueClipse	8
115	Jiminie	8
115	LetsDoItLive	8
115	SammiWolfGirl	8
115	BreadBacon	8
126	fanofbands101	7
126	Merv__	7
126	bloodbiter	7
126	shyshyannne	7
126	Rumpletaezer	7
126	Nyxiom_	7
126	Donutt	7
126	Hisiste	7
126	IAmTheWalrus910	7
135	Drlzyy	6
135	ExtraDumb	6
135	T045RTY	6
135	H72l9w	6
135	himak1	6
135	eiC_	6
135	ImDisconnected_	6
135	xambsam	6
135	Chromary	6
135	Hyp3rion_	6
135	yulgur1	6
