rank	username	minecraft:picked_up/minecraft:tnt_minecart
1	Jackattack53	3996
2	Smashic	190
3	LeonelSalamanca	15
4	gcaisawesome	3
5	12Magner05	2
5	Di_infiri	2
5	Groundler	2
8	HellsSponge	1
