rank	username	minecraft:picked_up/minecraft:salmon
1	catandmoose	3335
2	Auseawesome	2964
3	thewindmillman	1800
4	kekhon	1416
5	ECstardust	1317
6	YungMaki	1183
7	Mattesco	1172
8	WyngGoy	1167
9	LordSpeed37	1079
10	Racengan	958
11	HellsSponge	899
12	SvenskaHugo	835
13	Akoot_	821
14	Myszoaz	815
15	FreakGenius	813
16	TheSecondLord	712
17	SvenskaAlvar	697
18	RadarHz	628
19	Lez_	615
20	TheShyPig	580
21	Fullut	575
22	PlasticOtari	523
23	Devintronix	510
24	pintsizedrogue	501
25	Jackattack53	476
26	Comma__	469
27	MyNameIsJobo	467
28	Hyp3rion_	457
29	luseis	427
30	Mahoose	426
31	Segotep999	416
32	Soplight	402
33	shadowthemonkey	397
34	JayToe	380
35	AstreaTSS	379
36	ayamefag	378
37	censorsheep	365
38	livingdaydreams	358
39	ediballbearings	352
40	rarrq	345
41	Bumpy419	339
41	_TCARREIRA_	339
43	Blackberry1310	313
44	k_ce	311
45	AdmiralSmoke	291
46	Mr_Byzantine	260
47	Kkanot	256
48	masskedman	249
49	Felenov	243
50	ProfessorBee	239
51	Jimb0nat0r	236
52	ssleepless	232
53	joethahobo	225
54	Eczbek	223
55	Ezekson	216
56	Ryan_GEMS	215
57	Xalithia	212
58	NomadicRobin_	205
58	DASH_X7	205
60	Smashic	193
61	Hiryu27	191
62	ImpavidArcher	190
63	Froste131	185
64	lcvezra	182
65	LeauVox4921	179
66	non089	171
67	SammiWolfGirl	170
68	Legendosh	169
69	eitanzaki	163
70	RebelAndroid	160
70	xzvu	160
72	Blaiku	155
73	eiC_	153
74	DarlaMeow	152
75	rylikesrawtoast	150
76	Bandito_Roamer	149
77	beeperbeeper5	146
77	Tiberonus	146
79	Natty	142
80	Njensen7	139
81	slkiey	138
82	audiocracked	131
83	LilyNova	130
83	Afinnity	130
85	Skippeh	128
86	oscminus	127
87	jacxhadow	126
88	Alteriity	124
89	Snowflowe	123
90	Di_infiri	121
91	claivin	120
92	Nyxiom_	119
93	Firecracker320	118
93	pappaberg	118
93	ApophisNova	118
93	MyNamaSheff	118
97	Werbe	116
97	__tomato	116
99	XboxPanda	114
100	corvidpartyfor6	113
101	PlzNoBM	112
102	EcksD	110
103	Donutt	109
104	m_be9	107
105	Rumpletaezer	106
105	EveryonesUncle	106
107	Kouridragon	104
108	MovingFish7	102
109	xxPipperDipperxx	99
110	2Stout	97
111	excelsionprime	92
111	PigDab	92
113	soundad	89
113	lordpipe	89
115	wezzzi	87
116	Isaac70096	85
116	Kyrum2169	85
118	Crowman1	84
118	12Magner05	84
120	Apollo_993	82
120	Frxnkz	82
122	fffMike	79
122	Faart	79
124	QueenShuvi	77
125	PazinGaming	76
125	wwwwinnebagoooo	76
125	LetsDoItLive	76
128	KingFaenor	75
128	SaucyDark	75
128	Spenduh	75
131	DirtyBoar	74
132	CliffEmAll	72
132	aec9	72
134	Quotary	71
135	IamCL4SSY	70
136	Marbz_	69
137	Manaateee	68
138	Btabtab	67
138	Nicserso	67
138	TechnoNinja64	67
141	Megarboh	66
141	Mewar	66
141	Arceus1975	66
141	selectrix	66
141	smogfrog	66
141	Powowowow	66
147	Rox_The_Box	64
147	SpaceGrenadier	64
147	Secret_Canary	64
147	Fildyr	64
147	Warlord324	64
147	djancak	64
153	Eraxa	63
154	Samificator	62
155	BumbleBeever	61
156	Gemstuff	59
157	legal_tax_evader	58
157	ooga47	58
159	Euclidoris	57
159	Saucepeh	57
159	mawileite	57
162	Hermanni__	56
163	TrNrGhost	54
163	monky_irl	54
163	Zetsey	54
166	stellarjay	53
166	xolstoi	53
168	mwrty	51
169	MightyWertu	50
169	PortlyPete69	50
171	yheece	48
172	himak1	47
172	TheSeismicDuck	47
172	Blu3beast	47
172	Spacewardharpy7	47
176	ItsAki_	46
177	Paleshield	45
178	Lord_Jord	44
179	NotMeanttoChange	43
179	Zaridey	43
179	Fuhrer_Teemo	43
182	Slinkyy7071	42
182	Rebytre	42
182	Northernrabbit	42
185	Touched_Bread	41
186	500am	40
186	JitteryJared2	40
188	Cambo5000	39
189	Frozil20	38
189	redikul	38
189	thescout7	38
189	CharlieButt	38
189	lizardfightclub	38
189	Barlycorn	38
189	Soul_Atreus	38
189	TheOuterCore	38
197	Jimi7hits	37
198	youhjjhhhjj	36
198	Stephenpoling	36
198	DemTechAlpha	36
198	Iamthejo	36
202	T045RTY	35
202	AvaRosey	35
202	_AAZAR	35
205	noam464	34
205	fxiryglitch	34
207	AnnieBathory	33
207	ConnorDanky_	33
209	SmashingPump	32
209	The_Fulgurator	32
209	Tyrannosplart	32
212	Wooptey	31
212	_Nat666	31
