rank	username	minecraft:picked_up/minecraft:gray_glazed_terracotta
1	Frozil20	865
2	titanlax	221
3	Mahoose	150
4	Onennon	147
5	Jackattack53	146
6	rarrq	128
7	lordpipe	127
8	kekhon	123
9	Hiryu27	122
10	lillips	119
10	PlasticOtari	119
12	Hyp3rion_	85
13	Steelynan	73
14	ImpavidArcher	70
15	noam464	63
16	eitanzaki	61
16	Soplight	61
16	Hermanni__	61
19	thescout7	53
20	Tommhh	49
21	Lez_	48
22	Dan_Scha	40
23	500am	39
23	YungMaki	39
25	Manaateee	21
26	Ezekson	19
27	_Virify_	18
27	pixelviolin	18
29	Inbefour	17
30	PhantomsGhost_	14
31	Akoot_	13
32	StinkyDiplomat	12
33	Snowflowe	8
33	HellsSponge	8
35	TheSecondLord	7
35	AdmiralSmoke	7
37	NotMeanttoChange	6
37	TheShyPig	6
39	joethahobo	4
39	ooga47	4
39	Lutres_	4
39	Spacewardharpy7	4
43	NameGenerat0r	3
43	ConnorDanky_	3
45	QuiCreans	2
45	Blackberry1310	2
45	sp00ky_ghost977	2
45	TechnoNinja64	2
49	Merv__	1
49	Krowuss	1
