rank	username	minecraft:picked_up/minecraft:oak_hanging_sign
1	thewindmillman	51
2	Niklas20114552	35
3	oscminus	29
4	EveryonesUncle	23
5	DisgruntledKoala	12
5	Reneedium	12
7	Mattesco	11
8	Enderxz3	10
9	pintsizedrogue	9
10	Huwulling	8
11	j5ylim	6
12	k_ce	5
12	Pumpkin_P_Patch	5
14	PazinGaming	4
15	Kowcio_	3
15	Jimb0nat0r	3
17	Mr_Byzantine	2
17	Archsam	2
17	TheSecondLord	2
17	FiguraDei	2
17	pixelviolin	2
17	Steelynan	2
23	Merv__	1
23	MattieHD	1
23	ee_echo_oo	1
23	Jackattack53	1
23	Hyp3rion_	1
23	luseis	1
