rank	username	minecraft:picked_up/minecraft:respawn_anchor
1	noam464	132
2	PlasticOtari	32
3	thewindmillman	13
4	eitanzaki	6
5	fade_emerge78823	4
5	HellsSponge	4
7	beeperbeeper5	2
7	Winklepicker279	2
7	Rebytre	2
7	YahooScreen9000	2
7	Freak_Genius	2
7	Frozil12	2
7	Eraxa	2
14	pintsizedrogue	1
14	I_Am_Mushkin	1
14	Dedalus36	1
14	hm947	1
14	RebelAndroid	1
14	T045RTY	1
14	Mahoose	1
14	ShedJr_	1
14	Historical_Sand	1
14	rarrq	1
14	Fullut	1
14	TheDankPlatypus	1
14	Di_infiri	1
14	Jackattack53	1
14	KG1999	1
14	Enderslayerxz3	1
