rank	username	minecraft:picked_up/minecraft:pink_bed
1	HellsSponge	162
2	4774	124
3	Werbe	103
4	LordSpeed37	52
5	Blu3beast	39
6	Krasnal1337	37
7	Soplight	35
8	Shogunite	31
9	Tyrannosplart	30
10	lordpipe	28
11	Motsaro	23
12	pintsizedrogue	20
12	EcksD	20
14	CliffEmAll	19
15	djancak	18
16	lorpus	15
17	joethahobo	14
18	Alteriity	12
19	GingerNeutron	9
19	bndo	9
21	Frozil20	8
21	ShedJr_	8
23	squigglybones	7
23	Hpdinosaur	7
23	Huwulling	7
23	Boboczus	7
23	XboxPanda	7
23	burbankbuilder28	7
23	AnnieBathory	7
23	Steelynan	7
31	Nycteus_	6
31	Racengan	6
31	anbbang	6
34	ergoalias	5
34	eitanzaki	5
34	500am	5
34	Fullut	5
34	LilLizardWizard	5
34	MustaLoordi	5
34	monky_irl	5
34	Njensen7	5
34	Ezekson	5
43	NatalieTW	4
43	T045RTY	4
43	beeperbeeper5	4
43	NameGenerat0r	4
43	stellarjay	4
43	Legendosh	4
43	Kateesaur	4
50	ItsColin11	3
50	Mahoose	3
50	kekhon	3
50	_Dean_123	3
50	Smashic	3
50	insanepace	3
50	olliebollie48	3
50	whoaluv	3
50	AltnumberF4	3
59	Devintronix	2
59	Adlair	2
59	rebichuu	2
59	Pelbo	2
59	Xalithia	2
59	Windo_licker	2
59	Arceus1975	2
59	AlexxO_o	2
59	lillips	2
59	Lutres_	2
59	Manaateee	2
59	mobunni	2
59	TheOnlyRake	2
59	RadarHz	2
59	CattSoup	2
59	xolstoi	2
75	jojo1515151	1
75	Jalvajar	1
75	TildaAndrea	1
75	Incinere	1
75	No_u4	1
75	MrKrabOnCoke	1
75	Ozixar	1
75	Crowman1	1
75	ProfessorBee	1
75	BilboBaggins23	1
75	Z3braYTIL	1
75	CrookedKaptain	1
75	Tjhodskins19	1
75	Sunflowerann70	1
75	noam464	1
75	UncleDanDan	1
75	ehunt54	1
75	TakeThis2UrGrave	1
75	Mat07	1
75	seramalen	1
75	Kryktal	1
75	Maenara	1
75	Akoot_	1
75	JoeSaysBingBong	1
75	Syropatathe	1
75	luseis	1
75	toelong	1
75	LexMakesHistory	1
75	handsome_strong	1
75	Travka100	1
75	censorsheep	1
75	CurvedCubes	1
75	Blaiku	1
75	LordAurum	1
75	babyjimmyneutron	1
75	NebulousBadger	1
75	Kowcio_	1
75	UCP_TheKingK	1
75	Segotep999	1
75	SammiWolfGirl	1
75	CalebDHawk	1
75	Vivacia	1
75	ConnorDanky_	1
75	Nicserso	1
75	Enderxz3	1
75	AdmiralSmoke	1
75	MelodyGaysharks	1
