rank	username	minecraft:picked_up/minecraft:smooth_quartz_slab
1	wwwwinnebagoooo	2419
2	noam464	1923
3	Freak_Genius	1466
4	Di_infiri	1241
5	eitanzaki	1074
6	Ezekson	932
7	lillips	914
8	Eraxa	894
9	Blaiku	780
10	Mahoose	759
11	lordpipe	691
12	kekhon	619
13	Eczbek	577
14	Hyp3rion_	487
15	ImpavidArcher	418
16	NameGenerat0r	370
17	himak1	361
18	Sral7	356
19	pintsizedrogue	324
20	jnp_gaming	293
21	EveryonesUncle	286
22	Marbz_	252
23	EMC_	240
24	YungMaki	225
25	Snowflowe	211
26	MightyWertu	200
27	beeperbeeper5	197
28	Kubeusz2010	195
29	EcksDofficial	181
30	NotMeanttoChange	171
31	The_slideV3	162
32	Akoot_	154
33	FishyBoy3811	144
34	PhantomsGhost_	134
35	Frozil12	127
36	LexMakesHistory	117
37	Spacewardharpy7	112
38	PigDab	103
39	AltnumberF4	100
40	r123moore	97
41	Chromary	96
42	Deerfoot	93
43	rarrq	81
44	fluddd	65
45	SammiWolfGirl	55
46	m_be9	52
47	Steelynan	51
48	oreee	46
49	TheSecondLord	40
50	ApophisNova	36
50	MyNamaSheff	36
52	cedric72	35
53	Merv__	34
54	joethahobo	30
55	The_SlideV5	29
56	Blackberry1310	25
56	__tomato	25
58	SuperPooch06	23
59	_Karmaa	20
60	SingedBread	18
61	Soplight	17
62	egglapras	15
62	Lord_Jord	15
62	KG1999	15
62	VentiHilton	15
66	MakeHistory157	14
67	RodSerlingCringe	13
68	Prismyst	12
68	CalebDHawk	12
70	stavgod	11
71	Inchef	8
71	Truckoss	8
73	AuroraValkyrie	7
73	Onennon	7
73	TheShyPig	7
76	Smoke____	6
77	Jackattack53	5
77	Lutres_Torane	5
79	Fullut	4
79	thescout7	4
79	M_Patata	4
79	Zythose	4
79	ooga47	4
79	lizardfightclub	4
79	fw3xywashere	4
79	NomadicRobin_	4
79	MAns_44	4
79	Blu3beast	4
79	MasterNueve	4
79	its_lupus	4
91	MSK__	3
91	paranoid_plant	3
91	thewindmillman	3
91	Inbefour	3
91	mobunni	3
91	EcksD	3
97	ColeSnyder	2
97	Historical_Sand	2
97	_Dean_123	2
97	MangoTheFish	2
97	masskedman	2
97	jcool7	2
97	cichy096	2
97	PlasticOtari	2
105	hm947	1
105	Comma__	1
105	MinttyFressh	1
105	pr33tu	1
105	500am	1
105	Awyrlas	1
105	Bucscw24	1
105	Arceus1975	1
105	CruncyIsTaken	1
105	HolyVenom	1
105	PartyPhoenix	1
105	ebanana	1
105	Steven1282598	1
105	Racengan	1
105	Dusk_95	1
105	TheTommyGun63	1
105	stahouo	1
105	Legendosh	1
105	TechnoNinja64	1
