rank	username	minecraft:picked_up/minecraft:waxed_oxidized_copper_grate
1	Enderxz3	68
2	00000000-0000-0000-0009-01fe065167f0	60
3	CLG_Kata	58
4	thewindmillman	46
5	Buuck_	32
6	k_ce	21
7	Spaghettatron	14
8	pixelviolin	13
9	Yamdalorian	9
10	MAns_44	8
11	Mr_Byzantine	7
12	net_flex	6
12	oscminus	6
14	Secret_Canary	5
15	Merv__	4
15	_Mythic____	4
15	Pumpkin_P_Patch	4
18	MattieHD	3
18	lpinfinity	3
18	Soplight	3
18	KamFurnace	3
22	MyMawgDonaldsGon	1
22	Eczbek	1
