rank	username	minecraft:picked_up/minecraft:stripped_oak_log
1	_Virify_	2937
2	eitanzaki	1802
3	Mahoose	1358
4	HellsSponge	1155
5	Di_infiri	708
6	Steelynan	695
7	EveryonesUncle	681
8	m_be9	679
9	PlasticOtari	612
10	pintsizedrogue	545
11	500am	524
12	EMC_	509
13	Lutres_Torane	486
14	TheShyPig	483
15	Werbe	445
16	Zythose	440
17	thescout7	430
18	_Dean_123	350
19	UCP_TheKingK	344
20	burbankbuilder28	334
21	Blackberry1310	333
22	theonlymagikarp	328
23	rarrq	277
24	fkGrim	273
25	Quotary	255
26	Inbefour	249
27	eiC_	223
28	cowgirlkasia	209
29	MightyWertu	203
30	Smashic	198
31	titanlax	193
32	ratglock	192
33	Th6masss	185
34	Slapface522	177
35	fffMike	176
36	Whiterooster001	174
37	Nicserso	169
38	Onennon	168
39	kekhon	160
40	Merv__	158
41	Smoke____	148
42	Jiminie	142
42	Kowcio_	142
44	Legendosh	136
45	Pickel_Lord	134
46	wobn	133
47	AltnumberF4	130
48	CoffeeNoir	128
48	beeperbeeper5	128
48	MovingFish7	128
51	fw3xywashere	125
52	ShedJr_	117
53	DarkS0L	113
54	Cryptacity	109
55	emrekn	106
56	Segotep999	104
57	MattieHD	102
58	Ozixar	100
59	El_Jalapeno	99
60	anbbang	97
61	Leyna3	93
61	Freak_Genius	93
63	07shiny	91
64	TheSecondLord	88
64	noam464	88
66	_Bguette_	85
67	jnp_gaming	84
68	YungJakobo	82
69	Sleek_Storm_721	81
70	set67	80
70	CSG_Haru	80
72	M_Patata	78
73	EcksD	74
74	Meatlaugh	71
75	TheMaster972	70
76	Fullut	67
77	bluefragmentt	64
78	CarltheCuck	61
79	Skylord_Luke	60
80	G1ldor	59
81	EcksDofficial	58
82	Felenov	57
82	Sky_light_KING	57
82	Racengan	57
85	Deathkob	53
86	lcvezra	51
87	r123moore	48
88	EfficientC52	47
89	bloodbiter	45
90	Malorn_Aetherius	44
91	joethahobo	43
91	Ravenbie	43
91	CalebDHawk	43
94	blimpeey	42
95	ApophisNova	41
95	Truckoss	41
95	MyNameIsDakar	41
95	OfficerAnvil	41
95	MyNamaSheff	41
100	Spenduh	40
101	PigDab	37
102	Gryglu583	36
103	SquadMonster	35
103	SokaOtaku	35
103	Enderslayerxz3	35
106	PegLegPete93	33
106	oxfordschool	33
108	himak1	32
108	ehunt54	32
108	SammiWolfGirl	32
108	smogfrog	32
112	Luigipunch989	30
113	Freedrik	29
114	TheWeeknd14	28
115	TheThomas69	27
115	KingMatthew506	27
117	tyraxxx	25
117	Fildyr	25
119	MyNameIsJobo	24
119	Rumpletaezer	24
119	_naturell	24
119	ogoa	24
119	Katsuragi0243218	24
119	Spacewardharpy7	24
125	Travasaur	23
125	T045RTY	23
125	Soplight	23
128	Soap_Bender	22
128	ElKaySVK	22
130	Historical_Sand	21
130	whoaluv	21
130	Akoot_	21
130	Blu3beast	21
130	stellarjay	21
135	Icyyyyy	20
135	Solar_Power	20
135	NameGenerat0r	20
135	SSytex_X	20
139	Menthas	19
140	Groovy_MoonBird	18
140	Cowison	18
140	xo_Marren_xo	18
140	lordpipe	18
144	BlancoFlaco	17
144	ImDisconnected_	17
144	Rebytre	17
144	ToastedGamingYT	17
144	DanTheBuilderino	17
149	diamondgolem35	16
149	Upstro10	16
149	gcaisawesome	16
149	Dan_Scha	16
153	Xalithia	15
154	AuroraValkyrie	14
154	CarryLine	14
154	sp00ky_ghost977	14
154	Skippeh	14
154	TechnoNinja64	14
154	FishisTTV	14
160	Bandito_Roamer	13
160	Megarboh	13
160	SteveCraftBlocks	13
160	Winklepicker279	13
160	jaimshae	13
160	Dogcorn69420	13
166	Nycteus_	12
166	Warlord324	12
166	SvenskaHugo	12
166	yatsuta	12
170	doopiyo	11
170	6king6colt6	11
170	mwrty	11
170	chipklip	11
170	Winston_Ingram	11
175	KarlKaek	10
175	HAIRYCLOUD626	10
175	SingedBread	10
178	PhantomsGhost_	9
178	ImpavidArcher	9
178	Snowflowe	9
178	Lord_Jord	9
178	Lord_Zacler	9
178	_Karmaa	9
178	Eraxa	9
185	fanofbands101	8
185	ssleepless	8
185	Ssor69	8
185	SLASHZEERA	8
185	XboxPanda	8
185	Darkgon	8
185	AvaRosey	8
185	Smaldo	8
185	diggydog67	8
194	ccwildfire1	7
194	StanceTB	7
194	xxPipperDipperxx	7
194	hcb238	7
194	CharlieButt	7
194	TableTim	7
194	fred870d	7
194	MAns_44	7
194	Frozil12	7
194	LetsDoItLive	7
194	ItsDeltaMC	7
194	YungMaki	7
194	BlankityMcBlank	7
207	nataliecool	6
207	_Razar	6
207	Jokerman369	6
207	ROY4LE	6
207	Stiar	6
207	CollinMH06	6
207	Hiryu27	6
207	Xclax101	6
207	Eczbek	6
207	Oxygen16	6
217	Mr_Byzantine	5
217	awsomedude5	5
217	livingdaydreams	5
217	Sebaschan__	5
217	Mimiir345	5
217	ThePoliteG	5
217	slkiey	5
217	LILI_G_F_2007	5
217	Jackattack53	5
217	kars0n	5
217	Kouridragon	5
217	CruncyIsTaken	5
217	Kynigito	5
217	thgrocks	5
217	ozekigod	5
217	Kijiki	5
217	Vellu21	5
217	Ezekson	5
235	TheBiggestFeller	4
235	Mowelan	4
235	FroggoTheDoggo	4
235	ColeSnyder	4
235	Batman922	4
235	301851	4
235	ccormacs	4
235	TinMaster	4
235	Mercadies	4
235	Phlp	4
235	GLLogan2	4
235	Dali1465	4
235	Kakolbus	4
235	toj__	4
235	Arceus1975	4
235	ibarker21	4
235	DanielMmm	4
235	cog	4
235	Blaiku	4
235	BumbleBeever	4
235	ProfessorDiaper	4
235	Optiprimus	4
235	PabloGonza02	4
235	Poppy235	4
235	al626win52	4
260	Louiis123	3
260	Jovaphobic	3
260	SyK7	3
260	teslawolf38	3
260	bigstankyy	3
260	Wooptey	3
260	HollieDaNugget	3
260	IWorkAtIkea	3
260	Stynxy	3
260	picardred	3
260	dopplexd	3
260	jacxhadow	3
260	eclipseboi	3
260	BilboBaggins23	3
260	Z3braYTIL	3
260	Awyrlas	3
260	NotMeanttoChange	3
260	KGTV	3
260	Noah_Bez	3
260	JMK208	3
260	Zaridey	3
260	Eman__1	3
260	Norrhede	3
260	andy_rex	3
260	CaptainDeadBread	3
260	Afinnity	3
260	epiksk8erduck	3
260	Jimi7hits	3
260	TJawesome09	3
260	RodSerlingCringe	3
260	AuroraSkies	3
260	Nagasaki_Riku	3
260	Kyrum2169	3
260	djancak	3
260	tsitrawhy	3
260	Kferno	3
260	MilleGrug	3
260	xorompole	3
260	mountaingirl311	3
260	momis24	3
260	MusicMe1005	3
