rank	username	minecraft:picked_up/minecraft:diamond_axe
265	SquadMonster	2
265	Sleepy_Time_	2
265	Ssor69	2
265	FirsTimeGamingTV	2
265	heckface	2
265	Vizzoid	2
265	Mimiir345	2
265	CaracolCxnt	2
265	Frxnkz	2
265	ratglock	2
265	_Nat666	2
265	Comma__	2
