rank	username	minecraft:picked_up/minecraft:polished_tuff
1	Enderxz3	1583
2	pixelviolin	362
3	Secret_Canary	274
4	thewindmillman	183
5	CLG_Kata	104
6	lumiscosity	92
7	Buuck_	68
8	k_ce	54
9	InchoateOyster	48
10	00000000-0000-0000-0009-01fe065167f0	35
11	Yamdalorian	34
12	Spaghettatron	27
13	Lorcout	23
14	Mr_Byzantine	13
15	Merv__	10
15	oscminus	10
17	_Mythic____	8
17	Eczbek	8
19	MyMawgDonaldsGon	7
19	net_flex	7
21	beeperbeeper5	5
21	Soplight	5
23	MAns_44	3
23	TheKingK_	3
25	LeCavalier636	2
26	GGabrielSauce	1
26	MattieHD	1
26	lpinfinity	1
26	cutelilreno	1
26	Steelynan	1
