rank	username	minecraft:picked_up/minecraft:prismarine
1	Hyp3rion_	152564
2	joethahobo	25086
3	Kakolbus	13405
4	diamondgolem35	12928
5	Spacewardharpy7	10642
6	gcaisawesome	8814
7	EngagedGrub41	8442
8	Ezekson	8397
9	Bumpy419	8238
10	noam464	7800
11	FreakGenius	7292
12	HellsSponge	7281
13	YungMaki	7125
14	EMC_	6814
15	AstreaTSS	6421
16	Blaiku	6246
17	Snowflowe	6042
18	PhantomsGhost_	5973
19	lizardfightclub	5833
20	Enderxz3	5803
21	Yamdalorian	5394
22	TheShyPig	4877
23	xDraggin	4593
24	eitanzaki	3610
25	Vorlice	3588
26	pintsizedrogue	3382
27	Zythose	3341
28	Hisiste	3147
29	MilleGrug	3145
30	ImpavidArcher	3085
31	MightyWertu	3054
32	Legendosh	2972
33	TechnoNinja64	2712
34	Hiryu27	2614
35	Frozil20	2140
36	DarlaMeow	1851
37	Jimb0nat0r	1816
38	PigDab	1735
39	Eczbek	1676
40	KarlKaek	1642
41	Blu3beast	1606
42	Mahoose	1584
43	Tyrannosplart	1512
44	ougstur	1457
45	Mr_Byzantine	1439
46	jcool7	1337
47	Groundler	1318
48	thewindmillman	1311
49	Fullut	1221
50	excelsionprime	1130
51	LittleBug562	1017
52	I_Am_Mushkin	967
53	TheSecondLord	939
54	dimondking777	902
55	Powowowow	899
56	Lord_Jord	867
57	Notta	825
58	Maenara	804
59	powercas_gamer	776
60	Racengan	711
61	EcksD	695
62	xzvu	664
63	Hahaa_0	655
64	Eraxa	642
65	SaphLaseer	580
66	djancak	572
67	Apollo_993	565
68	Merv__	558
69	voiding_	550
70	_Mythic____	544
71	MAns_44	542
72	AuroraValkyrie	524
73	Iagoku	490
74	Comma__	460
75	ooga47	449
76	StarCookiees_	440
77	skitzxo	434
78	ratglock	413
79	eiC_	411
80	Incinere	409
81	hm947	381
81	corvidpartyfor6	381
81	thescout7	381
84	The_slideV3	373
85	Jackattack53	362
86	Paintz	354
87	NameGenerat0r	352
88	_Dean_123	337
89	ApophisNova	329
89	MyNamaSheff	329
91	Barlycorn	317
92	Vellu21	310
93	beeperbeeper5	301
94	Zaridey	294
95	Steelynan	282
96	mihimihimihi	276
97	Soplight	274
98	oscminus	272
99	Manaateee	262
100	True_Clipse	256
101	TheWickedBird	254
102	NotMeanttoChange	252
103	Akoot_	249
104	Inbefour	223
105	kekhon	211
106	gren_ben	208
107	legal_tax_evader	192
108	cedric72	191
109	rarrq	190
110	claivin	189
111	Rumpletaezer	188
112	PlasticOtari	179
113	Azmodan_246	173
114	Winklepicker279	169
115	Blackberry1310	167
115	Z3braYTIL	167
117	CLG_Kata	162
118	vandmanden	158
119	Sral7	155
120	Di_infiri	140
121	lordpipe	139
121	LetsDoItLive	139
123	Hetti301	135
123	sandmire	135
125	Onennon	133
126	livingdaydreams	132
127	Elastiq	129
127	Shogunite	129
129	SlinkyPinky	128
130	ECstardust	123
130	BumbleBeever	123
132	Skippeh	116
133	Arceus1975	113
134	TheSandwhich_	106
135	F_Uhre	102
136	myaccountwasgone	101
137	Chrisdeadeye	97
138	MovingFish7	96
139	Fuad_R	86
140	Nicserso	84
141	h2p_emrld	80
142	12Magner05	77
142	pixelviolin	77
144	obzii	75
145	calamariclam_I	70
145	FishisTTV	70
147	GooseWithin	69
147	luseis	69
149	Secret_Canary	68
150	Eczbox	66
150	fluddd	66
150	monky_irl	66
153	Warlord324	65
154	yheece	64
154	masskedman	64
154	SingedBread	64
154	Kowcio_	64
158	MinttyFressh	63
158	M_Patata	63
158	MasterNueve	63
161	500am	62
162	Jakobo1337	61
163	Covalents	59
164	Xalithia	56
164	John6970	56
164	33sudo	56
167	PortlyPete69	55
168	TheDankPlatypus	53
168	weabis	53
170	Lez_	52
171	RoboTramp7865	48
172	TheSeismicDuck	45
172	Fildyr	45
174	k_ce	43
174	taengoos	43
176	catandmoose	42
176	Drewen24	42
176	Rasmanden	42
176	Buuck_	42
176	FelixPSY375	42
181	Awyrlas	40
182	MattieHD	38
182	Segotep999	38
184	ItsDeltaMC	36
184	Iamthejo	36
186	whoaluv	34
186	annebolyn	34
188	oreee	33
189	Cryptacity	32
190	Chromary	31
190	diggydog67	31
192	Zoeyfortnite	29
193	titanlax	28
193	ROY4LE	28
195	Alteriity	27
195	EveryonesUncle	27
197	Marbz_	26
198	TheWildMateo	25
199	akap47	24
200	ElectricDragon81	22
201	XxCookiequeenxX	21
202	radioactv_jelly	20
202	Njensen7	20
204	RebelAndroid	19
204	ConnorDanky_	19
204	AltnumberF4	19
207	surfinggiraffejp	18
208	Guillemet	17
208	_TCARREIRA_	17
210	NinjaKnifeKill	16
210	MSK__	16
210	SuperPooch06	16
210	RobotMinion101	16
210	thgrocks	16
215	Fast_Turtle	15
216	_Karmaa	14
216	Druid95	14
216	Dogcorn69420	14
219	Jovaphobic	13
219	Bandito_Roamer	13
219	Hydro___________	13
219	shadowthemonkey	13
219	SvenskaHugo	13
224	Fullbit_	12
224	Inchef	12
224	eposlul	12
224	Werbe	12
224	wezzzi	12
224	KamFurnace	12
230	SmashingPump	11
230	Mr_Froxy	11
230	Xclax101	11
233	XboxPanda	10
233	dnlksl	10
233	SpouHn	10
233	1442	10
233	stavgod	10
238	Groovy_MoonBird	9
238	elicobnoah	9
238	ssleepless	9
238	Mattesco	9
238	natajimi	9
243	T045RTY	8
243	MoistMicrowave	8
243	Gregward_Smith	8
243	CliffEmAll	8
243	IamCL4SSY	8
243	blackeemperor	8
243	Kyrum2169	8
243	jnp_gaming	8
251	platinumzero	7
251	the__Reaper4999	7
251	__tomato	7
251	Spenduh	7
255	Jonafrog99	6
255	Hoid_the_Roamer	6
255	Kouridragon	6
255	NomadicRobin_	6
255	QuesoCrusaderIII	6
255	little_dUki	6
255	UrbanPlanningEx	6
255	JayToe	6
263	Alexanderjac	5
263	SnowyAvi	5
263	xxPipperDipperxx	5
263	CollinMH06	5
267	SaucyDark	4
267	Huwulling	4
267	Da_Boss_Rani	4
267	m_be9	4
267	eviltunix	4
267	crashomon	4
267	Skomo	4
267	aec9	4
267	fkGrim	4
267	Fuhrer_Teemo	4
267	AspenLightVT	4
267	YungWali	4
267	Gus2005	4
267	ayamefag	4
267	non089	4
267	LeeMcGee30	4
283	ZaneABrain	3
283	MrKrabOnCoke	3
283	Tiberonus	3
283	Flapjacker687	3
283	drunkeeez	3
288	j5ylim	2
288	KingFaenor	2
288	Natty	2
288	Vensterbankje	2
288	NieToksikpl	2
288	ThePoliteG	2
288	redikul	2
288	paranoid_plant	2
288	mwrty	2
288	emrekn	2
288	WET_WET_WET	2
288	Rocco_Lane	2
288	Klerick	2
