rank	username	minecraft:picked_up/minecraft:white_shulker_box
1	thewindmillman	4805
2	Hyp3rion_	3591
3	Blaiku	2601
4	Mahoose	2055
5	Jackattack53	1710
6	Snowflowe	1589
7	m_be9	1243
8	luseis	958
9	jnp_gaming	949
10	Eraxa	869
11	pintsizedrogue	736
12	Spacewardharpy7	671
13	EveryonesUncle	662
14	vandmanden	571
15	Hiryu27	493
16	Manaateee	451
17	noam464	445
18	PlasticOtari	435
19	Frozil20	427
20	Enderxz3	403
21	Krowuss	400
22	Soplight	398
23	hanaryheatwave	371
24	Segotep999	364
25	non089	362
26	Lez_	357
27	TheSecondLord	334
28	TheSeismicDuck	315
29	legal_tax_evader	301
30	oscminus	296
31	claivin	295
32	joethahobo	293
33	500am	277
34	YungMaki	264
35	Smashic	261
36	Mattesco	241
37	MoistMicrowave	240
38	CoffeeNoir	237
39	AdmiralSmoke	231
40	lordpipe	225
41	Jovaphobic	219
42	HellsSponge	213
43	Zoeyfortnite	205
44	Blackberry1310	204
45	ImpavidArcher	197
46	Elastiq	195
47	UCP_TheKingK	192
48	Truckoss	191
49	SaucyDark	188
50	teslawolf38	179
51	Mr_Byzantine	176
52	rarrq	173
52	Marbz_	173
54	r123moore	170
55	Fullut	164
56	ConnorDanky_	163
57	thescout7	161
58	mwrty	160
59	12Magner05	159
60	kekhon	158
61	lillips	153
62	Alteriity	150
63	Njensen7	146
64	Huwulling	138
65	Kowcio_	129
66	NatalieTW	128
66	beeperbeeper5	128
66	IamCL4SSY	128
69	TheDankPlatypus	120
70	SammiWolfGirl	117
71	seanitoo	114
71	Fuad_R	114
71	lcvezra	114
74	T045RTY	108
75	Lord_Jord	107
76	Winklepicker279	106
77	Rumpletaezer	105
78	Steelynan	104
78	Iamthejo	104
80	_Karmaa	102
81	set67	99
82	ECstardust	98
82	mihimihimihi	98
84	Juh1s	96
85	__tomato	94
86	Xclax101	92
87	BronkerBrum	91
88	eitanzaki	90
88	Ezekson	90
90	MightyWertu	88
91	gcaisawesome	84
92	Maenara	82
92	diggydog67	82
94	ShedJr_	81
95	Apollo_993	80
96	AlexxO_o	79
96	yulgur1	79
98	Akoot_	78
98	sp00ky_ghost977	78
100	XboxPanda	77
100	Zythose	77
102	_Virify_	75
103	iSammael	74
104	Skylord_Luke	73
104	Jimb0nat0r	73
