rank	username	minecraft:picked_up/minecraft:soul_torch
1	Enderxz3	727
2	gcaisawesome	456
3	kekhon	375
4	Kakolbus	320
5	FishyBoy3811	278
6	Sleepy_Time_	257
7	Akoot_	240
8	SammiWolfGirl	235
9	NomadicRobin_	195
10	Blackberry1310	167
11	Skylord_Luke	165
11	skrongus	165
13	FreakGenius	164
14	Manaateee	145
15	SpacesickPrism	144
16	Kowcio_	138
17	Billious	131
17	Shogunite	131
17	00000000-0000-0000-0009-01f26ea966c4	131
20	HellsSponge	128
21	Apollo_993	125
22	beeperbeeper5	124
23	SmashingPump	112
24	MrExplorer	111
25	noam464	105
26	ShedJr_	99
27	Historical_Sand	97
28	luseis	88
29	Skippeh	85
30	k_ce	77
31	Druid95	76
32	Mattesco	75
32	xolstoi	75
34	thewindmillman	72
35	Mahoose	69
35	KingMatthew506	69
37	mwrty	68
37	Kubeusz2010	68
39	Frozil20	65
40	jessewegottacook	64
40	ConnorDanky_	64
42	AdmiralSmoke	63
43	CliffEmAll	62
44	eitanzaki	56
45	seramalen	55
46	mihimihimihi	51
47	Jackattack53	44
48	Blaiku	42
49	Segotep999	30
49	cichy096	30
51	Legendosh	24
52	Iamthejo	21
53	tramizu	20
54	Hermanni__	19
55	ImpavidArcher	18
55	bloodbiter	18
57	Tiberonus	17
58	teslawolf38	16
59	500am	15
59	Werbe	15
61	pintsizedrogue	14
62	_AceOfSpace_	13
63	AuroraValkyrie	12
63	r123moore	12
63	Eraxa	12
66	joethahobo	10
67	TheSecondLord	9
67	CarltheCuck	9
67	MAns_44	9
67	Eczbek	9
71	RoskobiOne	8
71	0nly_sn1per	8
71	gustarlep	8
71	CalebDHawk	8
71	TheBananaKat	8
76	lordpipe	7
77	_Boipl_	6
78	jnp_gaming	5
79	Groovy_MoonBird	4
79	_Virify_	4
79	Mr_Byzantine	4
79	rarrq	4
79	Chromary	4
79	Lord_Jord	4
79	Ezekson	4
86	DinoDoctor_	3
86	Awyrlas	3
86	Yuvl	3
86	F_Uhre	3
86	caddwell	3
86	TheShyPig	3
86	Wowful	3
86	LeonelSalamanca	3
86	Cyntrical	3
86	SvenskaHugo	3
86	diggydog67	3
97	titanlax	2
97	Crowman1	2
97	finbob5	2
97	Gryglu583	2
97	Spacewardharpy7	2
97	AssFullaCum	2
97	Steelynan	2
104	_Huge_Male_	1
104	MixerDixer	1
104	homeofmew	1
104	KarlKaek	1
104	gren_ben	1
104	RebelAndroid	1
104	Alteriity	1
104	Lez_	1
104	EliteTrashPanda_	1
104	orlana	1
104	Fullut	1
104	paranoid_plant	1
104	LordDiabolos	1
104	pumpfonzo	1
104	NLKBuilder	1
104	Marbz_	1
104	Hyp3rion_	1
104	0Vyp_	1
104	BRRRN179	1
104	masskedman	1
104	Tyrannosplart	1
104	Fuad_R	1
104	Nycteus_	1
104	wwwwinnebagoooo	1
104	Optiprimus	1
104	IvarEXE	1
104	sadvavilloso	1
104	YungMaki	1
104	skonos	1
104	ChazzaHodge13	1
104	athereall	1
104	Quotary	1
104	PlasticOtari	1
104	00000000-0000-0000-0009-01ff0c3e5e4f	1
