rank	username	minecraft:picked_up/minecraft:dark_oak_slab
1	Hyp3rion_	145932
2	burbankbuilder28	6282
3	FreakGenius	5564
4	rarrq	3812
5	500am	3188
6	Eraxa	2739
7	Kakolbus	2569
8	kekhon	2342
9	pintsizedrogue	2056
10	EMC_	2003
11	k_ce	1881
12	TheShyPig	1827
13	SammiWolfGirl	1736
14	MyNameIsJobo	1678
15	xolstoi	1541
16	luseis	1538
17	TheDankPlatypus	1506
18	CharlieButt	1500
19	Ssor69	1350
20	Mahoose	1259
21	fluddd	1249
22	Merv__	1247
23	_Razaria	1242
24	Manaateee	1200
25	PlasticOtari	1185
26	Druid95	1183
27	SaucyDark	1149
28	Prodiginus	1121
29	jacxhadow	1080
30	beeperbeeper5	1018
31	intropass	979
32	Blackberry1310	923
33	EveryonesUncle	922
34	pixelviolin	918
35	Chromary	878
36	Zythose	848
37	_Karmaa	828
38	Ezekson	823
39	HellsSponge	786
40	Onennon	781
41	thewindmillman	735
42	ibarker21	704
43	Arceus1975	690
44	CalebDHawk	657
45	Euclidoris	646
46	ConnorDanky_	629
47	TheSecondLord	627
48	PortlyPete69	607
49	_Dean_123	596
50	jnp_gaming	594
51	m_be9	593
52	MrExplorer	534
53	ImpavidArcher	513
54	joethahobo	512
55	RatatJuice	492
56	NameGenerat0r	472
57	Napoleonpancake	466
58	Winklepicker279	458
59	groofles	457
60	El_Jalapeno	456
61	emrekn	455
62	Jakobo1337	445
63	2Stout	438
64	Rich_Kat	433
65	BlancoFlaco	423
66	CattSoup	410
67	Frozil20	406
67	Eczbek	406
69	KarlKaek	405
70	AdmiralSmoke	402
71	Inbefour	400
72	r123moore	398
73	Legendosh	394
74	Meatlaugh	387
75	Skippeh	379
76	Lez_	377
77	KeruNatsema	373
78	diamondgolem35	371
78	IamCL4SSY	371
80	RobotMinion101	360
81	TechnoNinja64	351
82	YungMaki	350
83	eitanzaki	347
84	Kowcio_	345
85	Lutres_	344
86	Fullut	326
87	lcvezra	321
88	Huwulling	309
89	MineMaster0012	306
90	tsitrawhy	303
91	xxPipperDipperxx	295
92	Mattesco	288
93	RoskobiOne	287
93	Bumpy419	287
95	Di_infiri	284
96	Historical_Sand	281
97	Enderxz3	277
98	FishyBoy3811	272
99	ZaneABrain	271
99	Tiberonus	271
99	Steelynan	271
102	M_Patata	268
103	MasterNueve	266
104	LeonelSalamanca	265
105	himak1	264
106	Alteriity	261
106	Soplight	261
108	oscminus	258
108	claivin	258
108	anbbang	258
111	Mr_Byzantine	256
112	SmashingPump	254
113	Cowison	253
114	lorywithay	251
115	dongli	248
115	monky_irl	248
117	SvenskaHugo	237
118	ApophisNova	235
118	MyNamaSheff	235
120	theofiel	234
121	ROY4LE	228
122	prizm_	226
123	ZoomieZoomie	222
124	fkGrim	214
124	fffMike	214
126	UCP_TheKingK	212
127	Tobinator_007	210
127	Airem_Core	210
129	Smashic	200
130	Reneedium	199
131	Rumpletaezer	193
131	Sorry_Arey	193
133	Jij0	191
134	Bandito_Roamer	190
135	Werbe	186
136	Purplehere	181
136	Rebytre	181
138	XxCookiequeenxX	180
139	djancak	173
139	2blox_	173
141	purpolepickle	170
142	Hermanni__	163
143	paranoid_plant	162
143	gcaisawesome	162
145	T045RTY	161
146	mwrty	152
146	CheifJumbo	152
148	SteveCraftBlocks	151
149	Natty	150
150	thescout7	148
151	Nycteus_	146
152	Shogunite	143
153	NoxxxxiS	141
154	Lord_Jord	138
155	The_Fulgurator	137
156	wwwwinnebagoooo	135
156	Biites	135
158	_Dri_	130
159	ChocolatePepsi	128
160	Akoot_	126
161	Dakar_	122
162	noam464	121
163	titanlax	120
163	SpacesickPrism	120
165	NotMeanttoChange	115
165	Blaiku	115
167	Leyna3	114
167	AlphaWolfPlaysMC	114
167	Barlycorn	114
170	Russiancat1	113
