rank	username	minecraft:picked_up/minecraft:beetroot_soup
1	kekhon	33
1	TechnoNinja64	33
3	Blackberry1310	29
4	Akoot_	27
5	pintsizedrogue	26
6	fallingemma	18
7	beeperbeeper5	7
8	Eraxa	6
9	_TCARREIRA_	5
10	MattieHD	4
10	thgrocks	4
10	AvaRosey	4
10	kinas45y5	4
14	Bad_At_Names_Guy	3
14	Civop_	3
14	bloodbiter	3
14	Quaintster	3
18	6king6colt6	2
18	Natty	2
18	Mahoose	2
18	TheSecondLord	2
18	PegLegPete93	2
18	lcvezra	2
24	cnicholspgh	1
24	Groovy_MoonBird	1
24	bigstankyy	1
24	Incinere	1
24	tramizu	1
24	Whiterooster001	1
24	titanlax	1
24	ratglock	1
24	pr33tu	1
24	Fullut	1
24	TheSeismicDuck	1
24	Frozil12	1
24	MightyWertu	1
24	Soplight	1
24	SammiWolfGirl	1
24	sebastiensaborio	1
24	Ezekson	1
