rank	username	minecraft:picked_up/minecraft:dark_oak_stairs
1	burbankbuilder28	5645
2	rarrq	3702
3	500am	2975
4	TheShyPig	2470
5	LuvLuvLove	1731
6	luseis	1631
7	pintsizedrogue	1441
8	Mattesco	1399
9	Legendosh	1341
10	kekhon	1324
11	Eraxa	1305
12	MC_Skribble	1260
13	m_be9	1208
14	Ezekson	1203
15	El_Jalapeno	1177
16	beeperbeeper5	1176
17	EveryonesUncle	1155
18	Onennon	1140
19	FreakGenius	1129
20	CalebDHawk	1046
21	MyNameIsJobo	1020
22	Merv__	999
23	k_ce	911
24	Skippeh	785
25	Kakolbus	759
26	RatatJuice	720
27	PortlyPete69	717
28	Mr_Byzantine	700
29	Druid95	687
30	pixelviolin	684
31	TheSecondLord	655
32	Euclidoris	652
33	Manaateee	649
34	KarlKaek	647
35	ConnorDanky_	638
36	milltesco	634
37	RoskobiOne	618
38	Enderxz3	585
39	Frozil20	583
40	Winklepicker279	549
41	EMC_	536
42	QuiCreans	510
43	_Razaria	501
44	ImpavidArcher	496
45	craaaash	480
46	PlasticOtari	460
47	Huwulling	450
47	Stiar	450
49	joethahobo	436
50	Archsam	414
51	Lez_	408
52	HUNTERmaun	403
53	Blackberry1310	398
54	Meatlaugh	394
55	NieToksikpl	385
56	Inbefour	382
57	SvenskaHugo	375
58	U_Mos_	374
59	xxPipperDipperxx	373
60	Mahoose	366
61	miramyu	361
62	MattieHD	339
63	Reneedium	336
64	Tiberonus	334
65	fkGrim	333
66	Steelynan	319
67	oscminus	318
68	Jakobo1337	310
68	Russiancat1	310
70	Kkanot	309
71	Kowcio_	307
72	Chromary	300
73	Lord_Jord	296
74	Dakar_	294
74	Yamdalorian	294
76	Historical_Sand	292
77	Napoleonpancake	291
78	CliffEmAll	286
78	Zythose	286
80	thescout7	284
81	Bumpy419	276
82	AnnieBathory	275
83	LeauVox4921	271
84	Hahaa_0	261
85	Natty	260
86	hydrothebot	259
87	gcaisawesome	257
88	_flud	252
89	CharlieButt	248
90	IamCL4SSY	247
91	TheDankPlatypus	239
92	WYFYoyo	238
93	Barlycorn	237
94	jacxhadow	232
95	Soplight	231
96	SpacesickPrism	230
97	Blu3beast	229
98	claivin	228
99	Tobinator_007	226
100	Pumpkin_P_Patch	212
101	PazinGaming	207
101	Eczbek	207
101	TechnoNinja64	207
104	DinoDoctor_	203
105	Di_infiri	202
106	dudcreeper	201
107	hermmm_	199
108	Smashic	197
108	Akoot_	197
110	tobinwilliams	195
111	AngalexikCZ	194
111	NomadicRobin_	194
113	Ssor69	193
113	TheWickedBird	193
115	dopplexd	188
116	_Dean_123	186
117	Inchef	184
117	CheifJumbo	184
117	doublemaki	184
120	CattSoup	181
121	xzvu	179
122	diamondgolem35	176
123	Fullut	170
123	sp00ky_ghost977	170
125	M_Patata	167
126	Spacewardharpy7	161
127	Ryan_GEMS	156
127	Werbe	156
129	lorywithay	149
129	EcksD	149
131	emrekn	148
132	Sral7	147
133	Alphanzt99	145
134	SaucyDark	142
134	NameGenerat0r	142
136	prizm_	138
137	SammiWolfGirl	136
138	TheOuterCore	135
139	bl1ss0	134
139	Deathkob	134
141	NoxxxxiS	133
141	Sorry_Arey07	133
141	cuddlyMonster	133
144	Alteriity	131
145	Groovy_MoonBird	129
145	lordpipe	129
145	Jimb0nat0r	129
148	Snowflowe	127
149	groofles	126
150	11Brewer	125
151	Leyna3	124
151	LexMakesHistory	124
153	Krowuss	123
153	selectrix	123
153	Segotep999	123
156	intropass	122
156	_Karmaa	122
158	Elastiq	121
159	paranoid_plant	118
160	Lutres_	117
161	MakeHistory157	115
162	thebaddruid	114
162	Rebytre	114
164	blackeemperor	113
165	Bandito_Roamer	112
166	XxCookiequeenxX	108
167	jnp_gaming	106
168	MasterNueve	105
169	censorsheep	104
169	FiguraDei	104
171	_i_ERROR_i_	102
171	ZoomieZoomie	102
173	Studio4x32	101
174	_Huge_Male_	100
174	6king6colt6	100
174	Prismyst	100
174	__tomato	100
178	Kijiki	98
179	r123moore	97
180	BlankityMcBlank	94
181	Notta	91
182	PhantomsGhost_	90
182	royal_2	90
184	fffMike	89
184	JayToe	89
186	ARandomHedge	88
186	Deguns123	88
186	taengoos	88
189	ThePoliteG	87
189	SellyZ	87
189	SuperPooch06	87
189	ZeaBaron	87
193	Cowison	85
193	ROY4LE	85
193	TheKingK_	85
196	RobotMinion101	84
196	emreknugrlu	84
198	titanlax	83
198	Skylord_Luke	83
200	abdomera	80
201	Rumpletaezer	79
202	SOA1RR	78
202	Olib3ar	78
202	AlphaWolfPlaysMC	78
202	Xclax101	78
206	ApophisNova	77
206	MyNamaSheff	77
208	lpinfinity	76
208	yulgur1	76
210	Biites	75
211	Dragonfest	73
211	thgrocks	73
213	eitanzaki	72
213	07shiny	72
215	MonitorLizards	71
216	Nach0Bear	69
216	parodypatient	69
216	queenalina123	69
216	EtherealEspresso	69
220	12Magner05	67
221	ratglock	66
221	MisfitsMike	66
223	gren_ben	65
223	Malorn_Aetherius	65
225	Shogunite	64
225	TheMiddayMoon	64
227	CornOnTheCobalt	61
227	Kyrum2169	61
227	Dreamdbr14	61
230	MinttyFressh	59
230	LordSpeed37	59
232	Saucepeh	58
232	1442	58
234	Awyrlas	56
234	Motsaro	56
234	thewindmillman	56
234	DC_XII	56
238	Megarboh	55
238	noam464	55
238	theofiel	55
238	ChocolatePepsi	55
242	Avocadogerms	54
242	KingMatthew506	54
244	dartwaffle	52
244	Smiguli_	52
246	olliebollie48	51
246	Aavermu	51
246	QuesoCrusaderIII	51
249	CoffeeNoir	50
249	AlexxO_o	50
251	robertsnose	49
251	Incinere	49
251	RebelAndroid	49
251	Nicky_H225	49
251	seramalen	49
256	JETrotter	48
257	Zlatovlas	47
258	LeeMcGee30	46
258	HesDemonPants	46
260	mimbo1211	45
260	FishyBoy3811	45
262	livingdaydreams	44
262	Toriankel	44
264	Cruncy_	43
264	Optiprimus	43
266	Felenov	41
266	Kowciuu	41
266	Y_A_N_N_I	41
269	Cryptacity	40
269	orxngejuice	40
271	catandmoose	39
271	ooga47	39
271	KlausVonStiglitz	39
274	Crowman1	38
274	StinkyDiplomat	38
276	h2p_emrld	37
277	ECstardust	36
277	Sleek_Storm_721	36
277	Gamergirl420628	36
280	DarkS0L	35
281	Cortexia	34
281	Jackattack53	34
283	MuffinManzz	33
283	Skomo	33
285	Myszoaz	32
285	Kynigito	32
285	Karbl	32
285	Nicserso	32
289	teslawolf38	31
289	Sleepy_Time_	31
291	lorpus	30
291	wezzzi	30
293	ADEXTV	29
293	Zetsey	29
293	laron58	29
296	yheece	28
297	hm947	27
297	eviltunix	27
297	Fuad_R	27
297	TheOnlyRake	27
