rank	username	minecraft:picked_up/minecraft:white_candle
1	Hyp3rion_	18726
2	Krowuss	236
3	Manaateee	88
4	Apollo_993	58
5	TheBananaKat	53
6	NATE_the_HALO	49
7	Arceus1975	26
8	TheSecondLord	25
9	_Nat666	14
9	oscminus	14
11	pintsizedrogue	13
12	ImpavidArcher	10
12	luseis	10
14	EMC_	9
14	StinkyDiplomat	9
16	fragrantmonke444	6
17	DinoDoctor_	5
17	FreakGenius	5
17	skitzxo	5
20	k_ce	4
21	Huwulling	3
21	Lo_zio_Diego	3
21	Mattesco	3
21	lordpipe	3
21	Kowcio_	3
26	Merv__	2
26	YungMaki	2
28	Mahoose	1
28	Da_Boss_Rani	1
28	Di_infiri	1
28	thewindmillman	1
28	Wowful	1
