rank	username	minecraft:picked_up/minecraft:music_disc_blocks
1	Blu3beast	144
2	Soplight	118
3	HellsSponge	98
4	Mattesco	46
5	pintsizedrogue	43
6	Inchef	29
6	AspenLightVT	29
8	miramyu	27
9	eitanzaki	25
10	ShedJr_	24
11	PlasticOtari	21
12	DJzombiehunter	20
13	Werbe	19
13	Tyrannosplart	19
13	doublemaki	19
16	12Magner05	18
17	Merv__	17
18	ImpavidArcher	16
18	Gregward_Smith	16
18	_Cloverbelle_	16
18	Akoot_	16
22	kekhon	15
22	EdGalbraith	15
22	_flud	15
22	Njensen7	15
22	TwinTowerV2	15
27	beeperbeeper5	14
27	bloodbiter	14
27	SteveCraftBlocks	14
30	Jovaphobic	13
30	Skylord_Luke	13
30	Maenara	13
30	Kura2218	13
30	IlkeCookes_	13
35	Blackberry1310	12
35	thewindmillman	12
35	Kowcio_	12
38	PhantomsGhost_	11
38	TheSecondLord	11
38	500am	11
38	Hyp3rion_	11
42	Prismyst	10
42	oscminus	10
44	Hpdinosaur	9
44	heckface	9
44	Vol_Rod33	9
44	claivin	9
44	TechnoNinja64	9
49	SaucyDark	8
49	abdomera	8
49	Mahoose	8
49	Fullut	8
49	es0th	8
49	FishisTTV	8
55	Mr_Byzantine	7
55	joethahobo	7
55	royal_2	7
55	Guillemet	7
55	Chromary	7
55	Inbefour	7
55	MAns_44	7
55	FreakGenius	7
55	cutelilreno	7
55	SingedBread	7
55	Spacewardharpy7	7
55	Eraxa	7
67	Ravenbie	6
67	_Dean_123	6
67	surfinggiraffejp	6
67	ROY4LE	6
67	Bumpy419	6
67	ApophisNova	6
67	Nicky19	6
67	ese_wn_po	6
67	robonya_	6
67	Steelynan	6
67	MyNamaSheff	6
67	Legendosh	6
67	Powowowow	6
80	Incinere	5
80	Lez_	5
80	Pofen	5
80	rarrq	5
80	mwrty	5
80	xxPipperDipperxx	5
80	craaaash	5
80	Jackattack53	5
80	OneLessChromosom	5
80	Cruncy_	5
80	NameGenerat0r	5
80	Blaiku	5
80	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	5
80	pixelviolin	5
80	SammiWolfGirl	5
80	TheBananaKat	5
80	KamFurnace	5
97	Caribouse	4
97	hm947	4
97	skroobiez	4
97	excelsionprime	4
97	olliebollie48	4
97	Di_infiri	4
97	Donutt	4
97	Rebytre	4
97	audiocracked	4
97	El_Jalapeno	4
97	ediballbearings	4
97	_3Stump_	4
97	Enderxz3	4
110	Apollo_993	3
110	robertsnose	3
110	Sleepy_Evelyn	3
110	Kakolbus	3
110	SuperPooch06	3
110	Rumpletaezer	3
110	Krowuss	3
110	Parcc	3
110	RobotMinion101	3
110	MinerDec	3
110	AlphaWolfPlaysMC	3
110	NomadicRobin_	3
110	luseis	3
110	DemTechAlpha	3
110	layabout100	3
110	CalebDHawk	3
110	fffMike	3
110	MilleGrug	3
110	h2p_emrld	3
129	H0UNDFRMH3LL	2
129	CLG_Kata	2
129	PazinGaming	2
129	SaphSaff	2
129	6king6colt6	2
129	Archsam	2
129	InfernalMound	2
129	xPixelRainx	2
129	Studio4x32	2
129	corvidpartyfor6	2
129	Secret_Canary	2
129	cyrusisntgay	2
129	Cambo5000	2
129	Awyrlas	2
129	gamerlord1324	2
129	TheDankPlatypus	2
129	SeverianOfUrth	2
129	MyNameIsJobo	2
129	milltesco	2
129	WET_WET_WET	2
129	Felenov	2
129	ooga47	2
129	sammidk	2
129	thgrocks	2
129	ILoveCarrot	2
129	yulgur1	2
129	DTwenty	2
129	Deodorante	2
129	DarlaMeow	2
129	Umprella	2
129	Buuck_	2
129	lordpipe	2
129	monky_irl	2
129	Jjackoe	2
129	JackyKwacky	2
129	FiguraDei	2
129	Cocoamallows	2
129	Razzgriz	2
129	Pumpkin_P_Patch	2
129	xzvu	2
129	obzii	2
129	Dreamdbr14	2
129	elliebelle107	2
129	Nicserso	2
129	2blox_	2
129	Spaghettatron	2
129	Yamdalorian	2
176	Astronicky	1
176	Groovy_MoonBird	1
176	seanitoo	1
176	dabloons	1
176	LJW517	1
176	TildaAndrea	1
176	Frozil20	1
176	xXTheWolfmanXx	1
176	Ryan_GEMS	1
176	RebelAndroid	1
176	livingdaydreams	1
176	nattybears	1
176	T045RTY	1
176	peach0s	1
176	MOSS000	1
176	Rani_R	1
176	Euclidoris	1
176	Prodiginus	1
176	Crowman1	1
176	MoonixMonody	1
176	Cryptacity	1
176	_Nat666	1
176	zorin123	1
176	_HoneySlime_	1
176	rebichuu	1
176	knarian	1
176	set67	1
176	m4amagz	1
176	Scathra	1
176	thescout7	1
176	himak1	1
176	Mewar	1
176	noam464	1
176	Mobstr	1
176	_Gabae	1
176	moist_jellyfish	1
176	Rocketlaunchers	1
176	Winklepicker279	1
176	legal_tax_evader	1
176	fr_ser	1
176	hanaryheatwave	1
176	Arceus1975	1
176	Snowflowe	1
176	Boipl	1
176	thebaddruid	1
176	JETrotter	1
176	drompje	1
176	HAIRYCLOUD626	1
176	TheWildMateo	1
176	seramalen	1
176	Onennon	1
176	HyperCave	1
176	epiksk8erduck	1
