rank	username	minecraft:picked_up/minecraft:jungle_slab
1	Mr_Byzantine	1977
2	himak1	1342
3	6king6colt6	1125
4	cedric72	1064
5	Prodiginus	977
6	kekhon	928
7	Mahoose	775
8	Yamdalorian	758
9	12Magner05	600
10	joethahobo	548
11	Hyp3rion_	418
12	Airem_Core	376
13	thewindmillman	353
14	BronkerBrum	348
15	Windo_licker	340
16	SvenskaHugo	330
17	thescout7	329
18	Spacewardharpy7	288
19	the_fireminer	281
20	Winklepicker279	274
21	Steelynan	258
22	Blackberry1310	240
22	PigDab	240
24	Kowcio_	210
25	IWorkAtIkea	195
26	_Virify_	183
27	beeperbeeper5	181
28	fffMike	180
29	Akoot_	172
30	El_Jalapeno	169
31	Onennon	153
32	ConnorDanky_	148
33	MyNameIsJobo	144
34	FreakGenius	143
35	Bandito_Roamer	142
36	Jackattack53	135
37	The_slideV3	133
38	T045RTY	129
38	titanlax	129
40	EveryonesUncle	124
41	Deathkob	123
42	TheWickedBird	111
43	annebolyn	109
44	SaucyDark	101
45	Merv__	98
46	Kamflame	97
47	Soplight	95
48	Shortest_Man	90
48	ese_wn_po	90
50	MovingFish7	83
51	mwrty	78
52	ItsColin11	75
52	EdGalbraith	75
54	soundad	72
55	Kubelz	70
56	Lekol	69
57	ShedJr_	67
58	Ecplosive	63
59	Sleepy_Evelyn	61
59	DemTechAlpha	61
61	KarlKaek	59
62	ImpavidArcher	58
63	eitanzaki	56
64	Azmodan_246	53
64	QuesoCrusaderIII	53
66	Inbefour	52
67	Factoroni	50
68	coobert42	48
69	TheShyPig	46
70	Pumpkin_P_Patch	44
71	_Nuf	42
71	Eraza	42
73	1442	41
74	Huwulling	39
75	Shogunite	36
76	rarrq	35
76	Mattesco	35
76	THEKINGLyric10	35
76	tsitrawhy	35
76	jnp_gaming	35
81	Stiar	33
82	Kakolbus	31
83	_Huge_Male_	30
83	Frozil20	30
85	KingMatthew506	28
85	hermmm_	28
87	RobotMinion101	27
88	pintsizedrogue	25
88	Sheellky	25
90	Kim_Jong_eel	24
91	Kukkelikuk	23
92	Fullut	20
92	WET_WET_WET	20
92	ItsDeltaMC	20
95	PhantomsGhost_	19
95	yheece	19
95	Enderxz3	19
98	The_SlideV5	18
99	TheKingK_	17
100	Lez_	16
100	Maenara	16
102	TrNrGhost	13
102	xxPipperDipperxx	13
102	fluddd	13
102	Racengan	13
102	PlasticOtari	13
107	SmashingPump	12
107	TheSecondLord	12
107	AspenLightVT	12
110	PazinGaming	11
110	Toiton	11
112	Blu3beast	10
112	xzvu	10
112	_i_ERROR_i_	10
112	UbeCheesePie	10
116	seramalen	9
116	natajimi	9
116	fkGrim	9
116	HellsSponge	9
116	Deerfoot	9
121	capn__crunch	8
121	TheWildMateo	8
123	QuiCreans	7
123	Saucepeh	7
123	Bumpy419	7
123	Fuhrer_Teemo	7
123	blackeemperor	7
123	Cavetorch	7
123	MightyWertu	7
123	ZoomieZoomie	7
131	teslawolf38	6
131	nocturne78	6
131	picardred	6
131	sufjanlover	6
131	YungMaki	6
131	SammiWolfGirl	6
131	Ezekson	6
131	JayToe	6
139	gaziter10	5
139	SteveCraftBlocks	5
139	Werbe	5
139	Manaateee	5
139	PortlyPete69	5
139	redlightshift	5
145	Apollo_993	4
145	FirsTimeGamingTV	4
145	ratglock	4
145	Awyrlas	4
145	NotMeanttoChange	4
145	Bazongoman	4
145	Voxin2K	4
145	StarCookiees_	4
145	WytchKraft	4
145	Jimb0nat0r	4
145	IronicUwU1	4
156	CoffeeNoir	3
156	Historical_Sand	3
156	olliebollie48	3
156	noam464	3
156	breadbowlgamer	3
156	RefluxRatio	3
156	Darkgon	3
156	MS_Pryxx	3
156	miramyu	3
156	_TCARREIRA_	3
166	H0UNDFRMH3LL	2
166	CLG_Kata	2
166	RebelAndroid	2
166	InfernalMound	2
166	G1ldor	2
166	TylerDupree	2
166	drunkeeez	2
166	Marbz_	2
166	whoaluv	2
166	U_Mos_	2
166	Skylord_Luke	2
166	ooga47	2
166	PaperCanvas	2
166	LilLizardWizard	2
166	txxskx	2
166	wezzzi	2
166	luseis	2
166	StinkyDiplomat	2
166	MAns_44	2
166	Typadopoulos	2
166	iTheRaiden	2
166	Luigipunch989	2
166	OfficerAnvil	2
166	tompup	2
166	diggydog67	2
191	Boliipop	1
191	Harotio	1
191	dudcreeper	1
191	fanofbands101	1
191	dimondking777	1
191	I_Am_Mushkin	1
191	Natty	1
191	ZaneABrain	1
191	Crowman1	1
191	MrExplorer	1
191	corvidpartyfor6	1
191	slkiey	1
191	UnderKat	1
191	intropass	1
191	Xalithia	1
191	DabKeepaBlicky	1
191	Noah_Bez	1
191	XboxPanda	1
191	Zaridey	1
191	Karetoko	1
191	fragrantmonke444	1
191	andy_rex	1
191	OreTheBear	1
191	ApophisNova	1
191	F_Uhre	1
191	Hahaa_0	1
191	Lutres_	1
191	DarlaMeow	1
191	Avocadogerms	1
191	Blaiku	1
191	radioactv_jelly	1
191	sp00ky_ghost977	1
191	ProbsNotNova	1
191	Kubeusz2010	1
191	CattSoup	1
191	MyNamaSheff	1
191	Nicserso	1
191	Legendosh	1
