rank	username	minecraft:picked_up/minecraft:cobblestone_slab
1	Legendosh	10171
2	thescout7	4739
3	Snowflowe	4433
4	HellsSponge	4389
5	Di_infiri	3643
6	Jiminie	3141
7	Mahoose	3037
8	_8man	2827
9	eitanzaki	2078
10	SellyZ	1996
11	burbankbuilder28	1756
12	vandmanden	1715
13	kekhon	1639
14	MovingFish7	1556
15	Enderslayerxz3	1553
16	Ailmast	1505
17	Racengan	1484
18	TheShyPig	1369
19	obzii	1359
20	TechnoNinja64	1352
21	PlasticOtari	1342
22	xxPipperDipperxx	1283
23	Ezekson	1208
24	pintsizedrogue	1136
25	lcvezra	1083
26	Blackberry1310	1047
27	EMC_	1032
28	rarrq	1011
29	T045RTY	962
30	picardred	956
31	6king6colt6	951
32	noam464	931
33	ApophisNova	900
33	MyNamaSheff	900
35	eviltunix	837
36	diamondgolem35	802
37	Smoke____	789
38	Frozil20	783
39	MrExplorer	711
40	Onennon	669
41	EcksD	666
42	The_slideV3	654
43	12Magner05	651
44	Jackattack53	640
45	XboxPanda	593
46	heysushii	577
47	Winklepicker279	575
48	Rasmanden	573
49	Historical_Sand	529
50	PhantomsGhost_	511
51	Inbefour	510
52	jacxhadow	501
52	Airem_Core	501
54	Werbe	499
55	Groovy_MoonBird	498
56	KeruNatsema	472
57	Groundler	462
58	joethahobo	459
59	MakeHistory157	456
60	drumine	455
61	Dogcorn69420	447
62	_Nuf	445
63	MyNameIsJobo	426
64	Maenara	420
65	Megarboh	417
66	Jimi7hits	411
67	Malorn_Aetherius	393
68	__Fanda__	386
69	420BreadLizard	379
70	Merv__	376
71	TheDankPlatypus	373
72	TheSecondLord	368
73	SteveCraftBlocks	367
74	Blaiku	351
75	Deguns123	339
76	Soul_Atreus	338
77	El_Jalapeno	326
77	EcksDofficial	326
79	_Bguette_	316
80	iHuntWeeaboos	315
81	GravitySaint	314
82	Chromary	313
83	Eraxa	309
84	__tomato	307
85	Freak_Genius	303
86	PortlyPete69	294
87	eiC_	292
88	djancak	291
89	Ssor69	289
90	Prodiginus	283
91	Deodorante	282
92	SamZombie	281
93	gabriels543	278
93	Hiryu27	278
95	Soplight	276
96	Fullut	275
97	beeperbeeper5	273
98	Kyrum2169	272
99	DC_XII	271
99	Sral7	271
101	mwrty	270
102	Kubelz	268
103	MattieHD	258
103	Spacewardharpy7	258
105	Hermanni__	256
106	Steelynan	255
106	jnp_gaming	255
108	DkansK	251
109	YungMaki	250
110	ayamefag	249
111	youhjjhhhjj	248
111	Kowcio_	248
113	Bumpy419	247
113	stavgod	247
115	DanTheBuilderino	244
116	jcool7	243
117	NotMeanttoChange	240
118	seanitoo	239
119	gaming4Naming	236
120	RefluxRatio	235
120	RyuNeko932000	235
122	lordpipe	231
122	07shiny	231
124	drunkeeez	223
125	Tobinator_007	213
125	fffMike	213
127	XxCookiequeenxX	212
128	KarlKaek	207
129	H72l9w	203
130	ewsophie	193
131	MightyWertu	192
132	bitsplease	191
133	Mr_Byzantine	181
133	Donutt	181
135	Rebytre	179
136	chlorinex	176
137	CalebDHawk	168
138	bigstankyy	167
138	monky_irl	167
140	EveryonesUncle	166
141	FishyBoy3811	165
142	gcaisawesome	164
143	Wowful	163
143	chipklip	163
145	Houstonion	162
146	Skippeh	161
147	Jackster03	160
147	Kekoo	160
149	CollinMH06	158
149	Blu3beast	158
151	Eczbek	157
152	ColeSnyder	155
153	_Karmaa	154
154	thewindmillman	150
155	Cortexia	149
155	MangoTheFish	149
157	AuroraSkies	148
157	Xclax101	148
159	cichy096	147
160	Cowison	146
161	ShedJr_	145
161	Chayula	145
161	TheOuterCore	145
164	SyntheticSurgeon	143
165	yoyoYoloMonke	142
165	Pickel_Lord	142
167	himak1	140
168	Ev0luti0nz	139
169	funnyblitz123	138
169	NotMeowMix	138
169	adiccting01	138
172	Akoot_	137
173	Kakolbus	135
174	Cryptacity	134
175	Guillemet	133
175	CharlieButt	133
175	Lord_Jord	133
175	wwwwinnebagoooo	133
179	4774	132
180	iElijah	130
181	InfernalMound	126
181	bloodbiter	126
181	PigDab	126
181	cog	126
185	numbra	125
186	fred870d	120
187	ROY4LE	119
188	Meepcraft	118
189	StinkyDiplomat	117
190	ChocolatePepsi	116
191	diggydog67	111
192	FirsTimeGamingTV	108
192	StylesK	108
194	Deathkob	107
195	AlphaWolfPlaysMC	104
196	Kubeusz2010	102
197	Stiar	101
198	Lukeee33	100
198	NebulousBadger	100
198	jaimshae	100
201	TheWildMateo	99
201	JoCoLi	99
203	I_Am_Mushkin	98
204	WyngGoy	97
205	_Tilariel_	96
206	Swexti	95
207	Comma__	94
207	BreadBacon	94
209	NameGenerat0r	93
210	Meatlaugh	92
210	Shin69	92
212	cowgirlkasia	90
213	_Dean_123	89
213	slkiey	89
215	RobotMinion101	88
216	SquadMonster	87
217	rotten_mango	86
218	censorsheep	84
219	Leithz6	83
220	Incinere	82
221	Typadopoulos	80
222	Covalents	79
222	FennYuzuna	79
222	CruncyIsTaken	79
225	SaucyDark	78
226	TheMilkerOfCats	75
227	Kkanot	73
227	Hisiste	73
229	Shiirazuku	72
230	oreee	71
230	Smaldo	71
232	Jorrdi	70
233	paranoid_plant	68
233	Arceus1975	68
235	Ze1ig	67
236	SuperPooch06	65
236	CSG_Haru	65
236	stahouo	65
239	Flopperdonkey	64
239	_TCARREIRA_	64
241	CarryLine	62
242	kiluaemc	61
242	The_SlideV5	61
244	ooga47	60
245	_stets	59
246	m_be9	58
246	Negriuke	58
248	jspwn	57
248	Motsaro	57
248	benediktine1	57
248	Kynigito	57
248	Karbl	57
248	Dreamdbr14	57
254	BumbleBeever	56
255	ssleepless	55
255	Paleshield	55
255	dedgt	55
255	Shogunite	55
255	claivin	55
260	redikul	54
260	pappaberg	54
262	Jeteight	52
262	audiocracked	52
262	SvenskaHugo	52
262	monolu	52
266	MinerDec	51
267	Russiancat1	50
268	Leyna3	49
268	MyNameIsDakar	49
268	MineMaster0012	49
271	TheMiddayMoon	48
272	Notta	47
272	Purplehere	47
272	JohnPrice	47
275	NoraTheYandere	46
275	ediballbearings	46
277	Sky_light_KING	45
278	PegLegPete93	44
278	privatemeekly	44
278	mawileite	44
278	JayToe	44
282	SaltineDream	43
282	soundad	43
282	The_Quack_Dealer	43
282	BlankityMcBlank	43
286	Mowelan	42
286	ItsDeltaMC	42
288	Gooberkid223	41
288	tobinwilliams	41
288	Barlycorn	41
288	Njensen7	41
292	CrateOfBoxes	40
292	Dusk_95	40
294	maxdacatv2	39
294	awesomeoneme	39
294	Adlair	39
294	Ardennes	39
294	KG1999	39
299	QuakerOatsGod	38
299	Awyrlas	38
