rank	username	minecraft:picked_up/minecraft:snort_pottery_sherd
1	j5ylim	14
2	Kowcio_	10
3	MAns_44	6
4	k_ce	5
5	Kakolbus	4
6	beeperbeeper5	3
6	Tersea_	3
6	Jackattack53	3
6	pixelviolin	3
10	pintsizedrogue	2
10	ECstardust	2
10	Huwulling	2
10	royal_2	2
10	TheSecondLord	2
10	Pumpkin_P_Patch	2
10	Enderxz3	2
10	Jimb0nat0r	2
18	ZaneABrain	1
18	Fullut	1
18	noam464	1
18	TheBananaKat	1
18	KamFurnace	1
