rank	username	minecraft:picked_up/minecraft:firework_star
1	Smashic	256
2	Smoke____	189
3	kekhon	94
4	beeperbeeper5	64
4	noam464	64
6	Nicky_H225	63
7	Hyp3rion_	32
8	sp00ky_ghost977	31
9	Spaghettatron	29
10	lorpus	16
10	EveryonesUncle	16
12	himak1	12
12	Akoot_	12
14	TildaAndrea	7
15	eitanzaki	3
15	Mahoose	3
15	Chromary	3
18	_Virify_	2
18	hm947	2
18	Euclidoris	2
18	TheSecondLord	2
22	Creativebuilder2	1
22	joethahobo	1
22	HAIRYCLOUD626	1
22	_Bguette_	1
22	SkateboardR6	1
22	Eraxa	1
22	YungMaki	1
22	_TCARREIRA_	1
22	Ezekson	1
22	Jimb0nat0r	1
