rank	username	minecraft:picked_up/minecraft:light_gray_bed
1	Miko_Fullbuster	67
2	Blackberry1310	38
3	starbits140	33
4	Mahoose	24
5	Xalithia	23
6	LordSpeed37	22
7	eitanzaki	14
8	mwrty	12
8	thescout7	12
10	rarrq	9
11	TheSecondLord	8
12	Valoth	7
12	Soplight	7
14	Historical_Sand	6
14	2Stout	6
14	Leyna3	6
14	alfredothemaster	6
14	fkGrim	6
19	500am	5
19	orxngejuice	5
19	eiC_	5
19	SvenskaAlvar	5
19	NameGenerat0r	5
19	JayToe	5
19	Kateesaur	5
26	Bandito_Roamer	4
26	bloodbiter	4
26	BilboBaggins23	4
26	Truckoss	4
26	Kokeech	4
26	sufjanlover	4
26	SingedBread	4
26	lcvezra	4
26	BreadBacon	4
35	pintsizedrogue	3
35	ImpavidArcher	3
35	Arteriana	3
35	m_be9	3
35	Smashic	3
35	loveseeker	3
35	gabriels543	3
35	Freak_Genius	3
35	SkateboardR6	3
35	pixelviolin	3
35	smogfrog	3
46	RebelAndroid	2
46	T045RTY	2
46	CoffeeNoir	2
46	ShedJr_	2
46	titanlax	2
46	aluminumhelmet	2
46	GingerNeutron	2
46	eclipseboi	2
46	M_Patata	2
46	Fast_Turtle	2
46	Proxy_Man	2
46	Katthaj	2
46	queenalina123	2
46	Blaiku	2
46	Hisiste	2
46	djancak	2
46	Hermanni__	2
46	RadarHz	2
46	imaginek1d	2
65	RoskobiOne	1
65	CueMix	1
65	Cowison	1
65	_Razar	1
65	Reamdin	1
65	joethahobo	1
65	beeperbeeper5	1
65	Auseawesome	1
65	jushykins	1
65	MrExplorer	1
65	MattieHD	1
65	_Dean_123	1
65	xxPipperDipperxx	1
65	Minc_	1
65	FetteMutter	1
65	fr_ser	1
65	Arceus1975	1
65	BlossomOwO	1
65	CaptainDeadBread	1
65	fred870d	1
65	TheShyPig	1
65	Jiminie	1
65	censorsheep	1
65	Frozil12	1
65	CaptainMocha	1
65	_DKC	1
65	die_lit_punk	1
65	sp00ky_ghost977	1
65	legoclone09	1
65	Eraxa	1
65	BlankityMcBlank	1
65	UCP_TheKingK	1
65	jcool7	1
65	ssniffles	1
65	Steelynan	1
65	potatocan	1
