rank	username	minecraft:picked_up/minecraft:jungle_door
1	Freak_Genius	54
2	himak1	50
3	Kim_Jong_eel	40
4	TheDankPlatypus	29
5	Airem_Core	24
6	KingMatthew506	18
7	Hyp3rion_	16
7	SvenskaHugo	16
9	RoskobiOne	14
9	TheShyPig	14
9	PlasticOtari	14
12	SaucyDark	13
12	_Nuf	13
12	MyNameIsJobo	13
15	H72l9w	12
15	kekhon	12
15	Fullut	12
18	Swexti	11
18	Kubelz	11
18	M_Patata	11
18	MasterNueve	11
18	Kferno	11
18	Hermanni__	11
18	kinas45y5	11
25	Hyugo	9
25	Maenara	9
25	Inbefour	9
28	Merv__	8
28	BronkerBrum	8
28	Xclax101	8
28	RadarHz	8
32	chrolus	7
32	Blackberry1310	7
32	oxfordschool	7
35	ImpavidArcher	6
35	BlancoFlaco	6
35	Mahoose	6
35	titanlax	6
35	mwrty	6
35	ProfessorDiaper	6
35	Soplight	6
42	Harotio	5
42	planc_	5
42	Winklepicker279	5
42	Akoot_	5
42	Toiton	5
42	Frozil12	5
48	Hpdinosaur	4
48	Incinere	4
48	eitanzaki	4
48	Xalithia	4
48	zemey	4
48	Kakolbus	4
48	Windo_licker	4
48	WarMachina	4
48	Leyna3	4
57	CoffeeNoir	3
57	ShedJr_	3
57	FirsTimeGamingTV	3
57	Cambo5000	3
57	LotusProject	3
57	AnnieBathory	3
57	Skylord_Luke	3
57	MAns_44	3
57	Kowcio_	3
57	_TCARREIRA_	3
57	jnp_gaming	3
57	Smoke____	3
69	PhantomsGhost_	2
69	Mowelan	2
69	6king6colt6	2
69	Dedalus36	2
69	T045RTY	2
69	Howertt	2
69	Vizzoid	2
69	Prodiginus	2
69	MattieHD	2
69	gcaisawesome	2
69	thewindmillman	2
69	RefluxRatio	2
69	King_Pancake1	2
69	FreddyFart	2
69	EveryonesUncle	2
69	Jiminie	2
69	MovingFish7	2
69	Factoroni	2
69	WyngGoy	2
69	07shiny	2
69	SammiWolfGirl	2
69	sebastiensaborio	2
69	KASAN420	2
92	Bandito_Roamer	1
92	Mr_Byzantine	1
92	pZygh0st	1
92	teslawolf38	1
92	chimpmunker	1
92	Sabby65	1
92	beeperbeeper5	1
92	_Dean_123	1
92	G1ldor	1
92	Scattman_	1
92	Nach0Bear	1
92	PegLegPete93	1
92	intropass	1
92	DSYisDizzy	1
92	noam464	1
92	SuperPooch06	1
92	_Boipl_	1
92	Werbe	1
92	Onennon	1
92	LilLizardWizard	1
92	NomadicRobin_	1
92	chipklip	1
92	DarlaMeow	1
92	EfficientC52	1
92	SwooshBoi	1
92	Vorlice	1
92	Hisiste	1
92	MakeHistory157	1
92	PncakeUniverse	1
92	stellarjay	1
92	ItsJunoIGuess	1
92	Njensen7	1
92	alderban107	1
92	EcksD	1
92	Calbo_	1
