rank	username	minecraft:picked_up/minecraft:acacia_door
1	500am	300
2	KingMatthew506	68
3	beeperbeeper5	50
4	EcksD	36
5	Smoke____	29
6	youhjjhhhjj	26
7	Mr_Byzantine	25
8	r123moore	23
9	Groovy_MoonBird	22
10	thewindmillman	21
10	Maenara	21
10	sebastiensaborio	21
13	eitanzaki	19
14	6king6colt6	18
14	fffMike	18
16	ApophisNova	17
16	MyNamaSheff	17
18	HellsSponge	16
18	YungMaki	16
20	Werbe	15
20	AssEatrAndLicker	15
22	Hoid_the_Roamer	14
23	loveseeker	13
24	ThePoliteG	12
24	TheSeismicDuck	12
26	EMC_	11
26	KarlKaek	11
26	ILoveCarrot	11
29	pintsizedrogue	10
29	chipklip	10
31	Hpdinosaur	9
31	Mahoose	9
31	joethahobo	9
31	Winklepicker279	9
31	Inbefour	9
36	Historical_Sand	8
36	AJplaysMC_	8
36	Kim_Jong_eel	8
36	Freak_Genius	8
36	EcksDofficial	8
41	Merv__	7
41	Blackberry1310	7
41	DirtyBoar	7
41	Kakolbus	7
41	EveryonesUncle	7
41	fkGrim	7
41	Kowcio_	7
41	561cool	7
49	Rich_Kat	6
49	himak1	6
49	ROY4LE	6
49	Chuvacevedo	6
49	xX_Stalin69_Xx	6
54	Franco093	5
54	PlasticPrinter	5
54	ProfessorBee	5
54	lilsay	5
54	noam464	5
54	eSpawNa	5
54	Jiminie	5
54	Meatlaugh	5
54	Blaiku	5
54	Kubeusz2010	5
54	smogfrog	5
54	Enderslayerxz3	5
66	Mowelan	4
66	CueMix	4
66	SaucyDark	4
66	ShedJr_	4
66	mwrty	4
66	FennYuzuna	4
66	Snowflowe	4
66	duqboy	4
66	Deodorante	4
66	MyNameIsDakar	4
66	Blu3beast	4
66	SingedBread	4
66	DeGodz4life	4
66	Toriankel	4
66	oxfordschool	4
81	dudcreeper	3
81	Drlzyy	3
81	ImpavidArcher	3
81	dopplexd	3
81	Ardennes	3
81	set67	3
81	Di_infiri	3
81	WET_WET_WET	3
81	Ajax6	3
81	NomadicRobin_	3
81	560cool	3
81	Dusk_95	3
81	Soul_Atreus	3
81	Zetsey	3
81	stellarjay	3
81	mawileite	3
81	Ezekson	3
81	Lowjinx	3
81	zmpeg	3
100	HBA00_	2
100	TildaAndrea	2
100	Ilinca_Io	2
100	Nesquiczek	2
100	the_fireminer	2
100	peach0s	2
100	FlackoJonah	2
100	gcaisawesome	2
100	Karetoko	2
100	Doom_melon	2
100	King_Pancake1	2
100	kars0n	2
100	KillerNekoRain	2
100	Racengan	2
100	sp00ky_ghost977	2
100	layabout100	2
100	Dr0xzy	2
100	cichy096	2
100	PlasticOtari	2
100	JayToe	2
100	h2p_emrld	2
121	Sabby65	1
121	Swalt	1
121	Stright_	1
121	TastyPorkchop	1
121	SDMNAEK	1
121	noodlepack	1
121	Fullut	1
121	paranoid_plant	1
121	thescout7	1
121	egglapras	1
121	eviltunix	1
121	Kubelz	1
121	Hyp3rion_	1
121	Hiryu27	1
121	MisterKanister	1
121	MousePlays	1
121	fxiryglitch	1
121	FishyBoy3811	1
121	Leyna3	1
121	Lord_Jord	1
121	kiluaemc	1
121	Toowny	1
121	DarlaMeow	1
121	Crumbls	1
121	marumochis	1
121	RedcatVII	1
121	lordpipe	1
121	OG_Songsee	1
121	Decaying_Lotus	1
121	bloomkieren	1
121	starbits140	1
121	Spenduh	1
121	GlitchyPlate810	1
121	Seindi	1
121	LeeMcGee30	1
121	Hermanni__	1
121	tartanboy	1
121	mountaingirl311	1
121	JasmineGK	1
121	Legendosh	1
121	Sral7	1
