rank	username	minecraft:picked_up/minecraft:birch_door
1	BlankityMcBlank	137
2	xxPipperDipperxx	60
3	MangoTheFish	59
4	El_Jalapeno	49
5	Kateesaur	48
6	kekhon	45
7	Freak_Genius	38
8	lcvezra	33
9	Ezekson	31
10	picardred	30
11	cichy096	26
12	KlausVonStiglitz	25
13	Dedalus36	24
14	Wooptey	21
14	jacxhadow	21
14	Smoke____	21
17	sebastiensaborio	20
18	PhantomsGhost_	19
18	Blackberry1310	19
18	CarltheCuck	19
18	Arceus1975	19
18	Werbe	19
18	yulgur1	19
18	AssEatrAndLicker	19
25	Soplight	18
26	Shogunite	17
26	Legendosh	17
28	Akoot_	16
29	Merv__	15
29	Maenara	15
29	brofrickcheaters	15
29	KingMatthew506	15
33	Di_infiri	14
34	_Dean_123	13
34	DSYisDizzy	13
34	SuperPooch06	13
34	cedric72	13
38	bigstankyy	12
38	ProfessorBee	12
38	_Cloverbelle_	12
38	KermitTheKripple	12
38	ProfessorDiaper	12
43	Mahoose	11
43	Kokeech	11
43	stellarjay	11
46	KarlKaek	10
46	LotusProject	10
46	Hiryu27	10
46	Optiprimus	10
50	error10101	9
50	DBoydart303	9
50	titanlax	9
50	dendydoom	9
50	The11thDoctor	9
50	epiksk8erduck	9
50	lordpipe	9
50	a_smol_bean	9
58	GingerNeutron	8
58	thescout7	8
58	Bazongoman	8
58	censorsheep	8
58	sp00ky_ghost977	8
58	djancak	8
58	anbbang	8
58	HesDemonPants	8
58	TechnoNinja64	8
67	6king6colt6	7
67	heckface	7
67	dopplexd	7
67	BilboBaggins23	7
67	crying_wolf_13	7
67	Kubelz	7
67	Crasswolf	7
67	phomic	7
67	TheShyPig	7
67	Spacewardharpy7	7
67	TheEnderman548	7
67	YungMaki	7
67	jaimshae	7
67	Soffbord	7
81	Skyler_Diablo	6
81	Ailmast	6
81	teslawolf38	6
81	Tommhh	6
81	BlancoFlaco	6
81	elleparo	6
81	ShedJr_	6
81	joethahobo	6
81	beeperbeeper5	6
81	Cryptacity	6
81	himak1	6
81	eviltunix	6
81	Guno327	6
81	noam464	6
81	WET_WET_WET	6
81	MakeHistory157	6
81	Kubeusz2010	6
81	oxfordschool	6
99	Groovy_MoonBird	5
99	The_Great_Jake	5
99	EMC_	5
99	SaucyDark	5
99	eitanzaki	5
99	Fullut	5
99	mwrty	5
99	RustyKedel	5
99	Myhym	5
99	KeruNatsema	5
99	lizardfightclub	5
99	Pootis11	5
99	ReyTheLegend	5
99	fffMike	5
99	LeeMcGee30	5
99	EcksDofficial	5
115	pintsizedrogue	4
115	Natofthese	4
115	301851	4
115	TheSecondLord	4
115	Dali1465	4
115	loveseeker	4
115	ChillenChiggen	4
115	thewindmillman	4
115	Fast_Turtle	4
115	aec9	4
115	fluddd	4
115	IAmTheWalrus910	4
115	gaming4Naming	4
115	Eczbek	4
115	VentiHilton	4
115	Powowowow	4
115	DkansK	4
115	MelodyGaysharks	4
115	diggydog67	4
134	lotarp	3
134	Ssor69	3
134	Malorn_Aetherius	3
134	Notta	3
134	MattieHD	3
134	NoraTheYandere	3
134	NotoriousNina	3
134	AlexStrange	3
134	DAD_1996	3
134	ApophisNova	3
134	bee_gorl	3
134	brycepants	3
134	YahooScreen9000	3
134	Inbefour	3
134	HellsSponge	3
134	Xclax101	3
134	Vorlice	3
134	sleepdrifter_	3
134	Ripzch	3
134	pk1297	3
134	MyNamaSheff	3
134	jnp_gaming	3
156	Astronicky	2
156	Paint	2
156	dabloons	2
156	Yatitay	2
156	Isaac70096	2
156	Incinere	2
156	livingdaydreams	2
156	ryan521	2
156	rarrq	2
156	CompoundMedic	2
156	Nicky_H225	2
156	ThePoliteG	2
156	Ravenbie	2
156	SoftSix	2
156	stopfive	2
156	intropass	2
156	SUSUGAM	2
156	SellyZ	2
156	FennYuzuna	2
156	swag_bro2004	2
156	Jackattack53	2
