rank	username	minecraft:picked_up/minecraft:heavy_weighted_pressure_plate
1	Hyp3rion_	2865
2	joethahobo	846
3	YungMaki	486
4	noam464	291
5	Jackattack53	258
6	Werbe	156
7	Lez_	139
8	Mahoose	135
9	thescout7	71
10	beeperbeeper5	31
11	fluddd	28
12	Akoot_	26
13	hm947	23
14	kekhon	20
15	thewindmillman	18
16	Fullut	17
17	Manaateee	16
17	Groundler	16
19	TheThomas69	15
19	RobotMinion101	15
19	Factoroni	15
19	KingMatthew506	15
19	PlasticOtari	15
24	Kakolbus	14
24	DanTheBuilderino	14
26	lunathelemon	13
26	lorpus	13
28	Winklepicker279	12
28	BlankityMcBlank	12
28	ConnorDanky_	12
31	eitanzaki	11
31	TheShyPig	11
31	censorsheep	11
34	Bandito_Roamer	10
34	500am	10
34	Arceus1975	10
34	FreakGenius	10
34	WyngGoy	10
34	EcksD	10
40	12Magner05	9
40	lillips	9
40	Blaiku	9
40	mihimihimihi	9
40	pixelviolin	9
40	AdmiralSmoke	9
46	pintsizedrogue	8
46	Nach0Bear	8
46	Inbefour	8
46	Biites	8
50	Prismyst	7
50	ThePoliteG	7
50	Mattesco	7
50	Spacewardharpy7	7
50	Steelynan	7
55	ImpavidArcher	6
55	Inchef	6
55	Onennon	6
55	PigDab	6
55	fkGrim	6
55	Kura2218	6
55	Kyrum2169	6
62	Archsam	5
62	Comma__	5
62	eviltunix	5
62	ROY4LE	5
62	MyNameIsJobo	5
62	Racengan	5
62	__tomato	5
62	Hermanni__	5
70	T045RTY	4
70	Crowman1	4
70	Di_infiri	4
70	Rumpletaezer	4
70	oscminus	4
70	ApophisNova	4
70	ogoa	4
70	Jaka_Saurus_715	4
70	_Karmaa	4
70	wwwwinnebagoooo	4
70	ReyTheLegend	4
70	MineMaster0012	4
70	Soplight	4
70	CattSoup	4
70	MyNamaSheff	4
70	Enderxz3	4
86	jimintyy	3
86	Huwulling	3
86	Ssor69	3
86	Malorn_Aetherius	3
86	DermeinUser	3
86	domagawha	3
86	TheSeismicDuck	3
86	Blu3beast	3
86	RedcatVII	3
86	PlzNoBM	3
86	Nargotah	3
86	FelixPSY375	3
86	AltnumberF4	3
99	jspwn	2
99	EkkoTraveler	2
99	ssleepless	2
99	ShedJr_	2
99	Historical_Sand	2
99	NanoShot	2
99	Sparky_KT	2
99	Cryptacity	2
99	_Nuf	2
99	Noah_Bez	2
99	benediktine1	2
99	Purplehere	2
99	Hoid_the_Roamer	2
99	selectrix	2
99	F_Uhre	2
99	Leyna3	2
99	Maenara	2
99	NYJ	2
99	balin55	2
99	HellsSponge	2
99	claivin	2
99	MustaLoordi	2
99	Fildyr	2
99	StarCookiees_	2
99	SvenskaHugo	2
99	obzii	2
99	EngagedGrub41	2
99	_AAZAR	2
99	TechnoNinja64	2
99	skrongus	2
129	Mr_Byzantine	1
129	PazinGaming	1
129	_darky1_	1
129	ECstardust	1
129	KingFaenor	1
129	Frozil20	1
129	Sleek_Storm_721	1
129	HollieDaNugget	1
129	Rox_The_Box	1
129	lazioglug	1
129	301851	1
129	FirsTimeGamingTV	1
129	Vizzoid	1
129	Frxnkz	1
129	TheSecondLord	1
129	bloodbiter	1
129	Megarboh	1
129	Austine6698	1
129	slkiey	1
129	set67	1
129	emrekn	1
129	SellyZ	1
129	Paintz	1
129	arcanemagic	1
129	Zaridey	1
129	Marbz_	1
129	yheece	1
129	SuperPooch06	1
129	Chromary	1
129	epiksk8erduck	1
129	aec9	1
129	PaperCanvas	1
129	Rasmanden	1
129	Lord_Jord	1
129	EveryonesUncle	1
129	luseis	1
129	Captain_Nasty	1
129	Quaintster	1
129	ReflexCode	1
129	Typadopoulos	1
129	SkateboardR6	1
129	Airem_Core	1
129	lordpipe	1
129	sp00ky_ghost977	1
129	Optiprimus	1
129	_Mythic____	1
129	Segotep999	1
129	Spenduh	1
129	lcvezra	1
129	_i_ERROR_i_	1
129	ProbsNotNova	1
129	Ir0npack	1
129	mawileite	1
129	ZoomieZoomie	1
129	Ezekson	1
129	Nicserso	1
129	MrMeisterProper	1
129	Jimb0nat0r	1
129	JayToe	1
129	00000000-0000-0000-0009-01ff0c3e5e4f	1
