rank	username	minecraft:picked_up/minecraft:crimson_trapdoor
1	Di_infiri	1597
2	thewindmillman	442
3	FreakGenius	291
4	PlasticOtari	216
5	Legendosh	163
6	12Magner05	145
7	ShedJr_	137
8	Winklepicker279	109
9	Marbz_	88
10	beeperbeeper5	80
11	Smoke____	69
12	noam464	58
13	Enderxz3	56
14	Mahoose	55
15	PigDab	51
16	Luigipunch989	44
17	kekhon	42
18	rarrq	37
19	livingdaydreams	30
19	Rebytre	30
21	Spacewardharpy7	26
22	MyNameIsDakar	24
23	eitanzaki	23
23	lorpus	23
25	RebelAndroid	22
26	Mr_Byzantine	20
27	NomadicRobin_	19
27	Steelynan	19
29	hm947	18
30	Awyrlas	16
30	EveryonesUncle	16
32	chipklip	15
32	Optiprimus	15
34	Chromary	13
34	lillips	13
36	Arceus1975	12
36	SammiWolfGirl	12
38	luseis	11
39	soundad	10
39	Lord_Jord	10
39	Ze_BaronKrigler	10
42	fluddd	9
42	mihimihimihi	9
42	YungMaki	9
45	Mythic1130	8
45	mobunni	8
47	diamondgolem35	7
48	SteveCraftBlocks	6
48	Fullut	6
48	Blaiku	6
51	pintsizedrogue	5
51	_Virify_	5
51	Snowflowe	5
51	brofrickcheaters	5
55	Frozil20	4
55	500am	4
55	Hyp3rion_	4
55	SvenskaHugo	4
59	zToasty69z	3
60	KarlKaek	2
60	Hpdinosaur	2
60	joethahobo	2
60	JitteryJared2	2
60	Werbe	2
60	weabis	2
60	ConnorDanky_	2
67	TheSecondLord	1
67	r123moore	1
67	Eraxa	1
67	djancak	1
67	MissCeleste7	1
67	anbbang	1
67	BiggieDawg	1
67	xolstoi	1
