rank	username	minecraft:picked_up/minecraft:bamboo_stairs
1	Synthoum	90
2	Mr_Sun15	53
3	FiguraDei	35
4	Mr_Froxy	29
5	Mr_Byzantine	27
6	CacheOut	26
7	pintsizedrogue	25
8	k_ce	20
9	Mattesco	17
10	_witch_craft_	15
11	Bambuino	12
12	Fullbit_	11
12	kalzor	11
12	Buuck_	11
15	Merv__	7
15	Hoid_the_Roamer	7
17	akap47	5
17	TheKingK_	5
17	Spaghettatron	5
20	Napoleonpancake	4
20	Werbe	4
20	Jimb0nat0r	4
23	lpinfinity	3
24	Niklas20114552	2
24	Lez_	2
24	DisgruntledKoala	2
24	bl1ss0	2
24	craaaash	2
29	gren_ben	1
29	cyuar	1
29	TheSecondLord	1
29	gamerlord1324	1
29	noam464	1
29	Jackattack53	1
29	BTL_craft	1
29	lordpipe	1
29	SvenskaHugo	1
