rank	username	minecraft:picked_up/minecraft:cut_copper
1	Manaateee	143
2	hanaryheatwave	140
3	JETrotter	94
4	beeperbeeper5	76
5	thewindmillman	73
6	TheSecondLord	71
7	UCP_TheKingK	50
8	pixelviolin	46
9	12Magner05	44
10	jessewegottacook	43
11	weabis	39
12	MineMaster0012	34
13	Nicserso	33
14	Mr_Byzantine	27
14	Steelynan	27
16	AdmiralSmoke	26
17	00000000-0000-0000-0009-01f570995a20	24
18	thebaddruid	22
19	Lez_	17
20	Mookle96	16
20	luseis	16
22	LeauVox4921	15
23	Mattesco	13
23	00000000-0000-0000-0009-01ff0c3e5e4f	13
25	Lutres_	10
26	k_ce	7
27	EMC_	6
27	Winklepicker279	6
27	Nycteus_	6
30	Moofyman	5
30	StinkyDiplomat	5
32	Jimb0nat0r	4
32	PlasticOtari	4
34	Kubelz	3
34	Lord_Jord	3
34	Soplight	3
34	calamariclam_I	3
38	_stets	2
38	Touched_Bread	2
40	500am	1
40	autisticcupcake	1
40	Kowcio_	1
