rank	username	minecraft:picked_up/minecraft:purple_stained_glass_pane
1	HellsSponge	678
2	burbankbuilder28	340
3	jnp_gaming	200
4	El_Jalapeno	166
5	lordpipe	113
6	TheShyPig	83
7	sebastiensaborio	75
8	Dreamdbr14	65
9	YungMaki	60
10	VentiHilton	48
11	jacxhadow	44
12	NomadicRobin_	32
13	TheEnderman548	30
14	Merv__	28
15	Di_infiri	26
16	heckface	16
16	titanlax	16
18	ImpavidArcher	15
19	pintsizedrogue	13
19	TheSecondLord	13
19	UncreativeArtist	13
22	ROY4LE	11
23	Rumpletaezer	10
23	oxfordschool	10
25	Onennon	7
25	HesDemonPants	7
27	Jovaphobic	6
27	Chromary	6
27	AnnieBathory	6
27	jcool7	6
31	noam464	5
31	MakeHistory157	5
33	livingdaydreams	4
34	lillips	3
34	Ezekson	3
36	FishyBoy3811	2
36	Spacewardharpy7	2
36	stahouo	2
36	TechnoNinja64	2
40	PhantomsGhost_	1
40	ColeSnyder	1
40	eitanzaki	1
40	beeperbeeper5	1
40	Fullut	1
40	thescout7	1
40	Hyp3rion_	1
40	masskedman	1
40	DarlaMeow	1
40	Blaiku	1
40	Kubeusz2010	1
