rank	username	minecraft:picked_up/minecraft:netherite_upgrade_smithing_template
1	ECstardust	29
1	Hyp3rion_	29
3	OreTheBear	13
4	KamFurnace	8
5	beeperbeeper5	7
6	Alteriity	5
7	powercas_gamer	4
7	LagVibes	4
9	CLG_Kata	3
9	_Huge_Male_	3
9	Secret_Canary	3
9	That_tech_head	3
9	skitzxo	3
14	k_ce	2
14	Niklas20114552	2
14	nstuartwilliams1	2
14	Krowuss	2
14	oscminus	2
14	Buuck_	2
14	StarCookiees_	2
14	Moss_2006	2
14	Legendosh	2
23	TooPure2	1
23	Juansinmiedo18	1
23	noam464	1
23	crashomon	1
23	Quaintster	1
23	Kowcio_	1
