rank	username	minecraft:picked_up/minecraft:spruce_planks
1	noam464	545508
2	Hyp3rion_	352220
3	Spacewardharpy7	131364
4	EcksD	46248
5	EveryonesUncle	12214
6	rarrq	10949
7	Ezekson	10006
8	mihimihimihi	9085
9	pintsizedrogue	8741
10	Jackattack53	8499
11	diamondgolem35	5520
12	Di_infiri	5435
13	Legendosh	5344
14	thewindmillman	5189
15	Lez_	4638
16	luseis	4418
17	Mattesco	4328
18	Blackberry1310	4145
19	xolstoi	4069
20	Kowcio_	4045
21	Skylord_Luke	3951
22	El_Jalapeno	3838
23	Mahoose	3802
24	kekhon	3720
25	500am	3660
26	beeperbeeper5	3641
27	HellsSponge	3561
28	m_be9	3517
29	q_wq	3501
30	Onennon	3475
31	burbankbuilder28	3257
32	Deathkob	3162
33	lcvezra	3081
34	fffMike	3065
35	Rumpletaezer	2963
36	_Dean_123	2848
37	PazinGaming	2844
38	Jimb0nat0r	2806
39	Barlycorn	2708
40	TheShyPig	2587
41	Xclax101	2532
42	TheSecondLord	2490
43	_Huge_Male_	2485
44	Kakolbus	2350
45	Spenduh	2251
46	Eraxa	2195
47	k_ce	2144
48	EMC_	2114
49	IamCL4SSY	2088
50	6king6colt6	2078
51	Snowflowe	2058
52	Inchef	1957
53	lordpipe	1946
54	Manaateee	1944
55	PigDab	1904
56	_Karmaa	1889
57	ImpavidArcher	1879
58	Frozil20	1868
59	AdmiralSmoke	1865
60	Druid95	1768
61	pixelviolin	1750
62	thescout7	1726
63	Winklepicker279	1700
64	xxPipperDipperxx	1630
65	PlasticOtari	1567
66	Chromary	1549
67	joethahobo	1534
68	SkateboardR6	1531
69	ROY4LE	1332
70	ConnorDanky_	1328
71	eitanzaki	1313
72	Bumpy419	1292
73	MattieHD	1280
74	SaintJosie	1271
74	Lord_Zacler	1271
76	KarlKaek	1268
77	Arceus1975	1266
78	ApophisNova	1260
79	FreakGenius	1255
80	MyNamaSheff	1222
81	fkGrim	1211
82	MyNameIsJobo	1209
83	Ze_BaronKrigler	1185
84	Zythose	1131
85	zToasty69z	1111
86	Natty	1103
87	Racengan	1098
88	oscminus	1091
88	claivin	1091
90	NieToksikpl	1067
91	Akoot_	1049
92	jnp_gaming	1040
93	AuroraSkies	1030
94	Merv__	1020
95	ECstardust	1019
96	Werbe	968
97	RatatJuice	963
98	TechnoNinja64	948
99	Rebytre	924
99	00000000-0000-0000-0009-01ff0c3e5e4f	924
101	Nicserso	921
102	Segotep999	911
103	Enderxz3	908
104	Tiberonus	875
104	UCP_TheKingK	875
106	RoskobiOne	870
107	MineMaster0012	866
108	cheerytomato	863
109	Huwulling	862
110	gaziter10	852
111	hm947	848
112	Meatlaugh	831
113	Touched_Bread	814
114	heysushii	789
115	Skippeh	785
116	Krowuss	751
117	TooManyDuck	734
118	YungMaki	729
119	SuperPooch06	707
120	SpacesickPrism	706
121	SammiWolfGirl	696
122	SmashingPump	695
123	Burge_r	692
124	Steelynan	687
125	RobotMinion101	680
126	xzvu	677
127	ooga47	675
128	Mr_Byzantine	674
129	Jovaphobic	673
130	Soplight	670
131	set67	665
132	Xalithia	650
133	2blox_	648
134	fallingemma	647
135	Slapface522	637
136	Z3braYTIL	627
137	Quotary	617
138	John6970	615
139	SUN_DREAM	612
140	Groovy_MoonBird	610
141	NotKaden_	601
142	alderban107	596
143	Swexti	595
144	MirielThePastor	581
145	Dakar_	570
146	H0UNDFRMH3LL	554
147	CliffEmAll	551
148	Kymarmalade	548
149	JESS_THE_RERE	546
150	xorompole	541
151	seramalen	540
152	the_russell1611	535
153	Comma__	531
154	The_Quack_Dealer	524
154	Blu3beast	524
156	ItsMrRamen	523
157	Cortexia	519
158	PhantomBionic	506
