rank	username	minecraft:picked_up/minecraft:stone_pressure_plate
1	gcaisawesome	11374
2	mihimihimihi	5329
3	Hyp3rion_	3536
4	thewindmillman	835
5	noam464	622
6	Werbe	430
7	Awyrlas	262
8	fffMike	194
9	YungMaki	191
10	Historical_Sand	175
10	censorsheep	175
12	HellsSponge	161
13	Vorlice	116
14	ProfessorBee	111
15	MyNameIsJobo	105
16	Soplight	84
17	eitanzaki	83
18	Tyrannosplart	82
19	EveryonesUncle	79
20	Pumpkin_P_Patch	73
21	Gus2005	61
21	sp00ky_ghost977	61
23	Mahoose	60
24	kekhon	55
24	Akoot_	55
24	Blaiku	55
27	Ezekson	52
28	bigstankyy	51
28	beeperbeeper5	51
28	TheSecondLord	51
31	Jackattack53	49
31	Skylord_Luke	49
33	pintsizedrogue	47
34	Snowflowe	46
35	Cowison	43
36	NomadicRobin_	41
37	Di_infiri	40
38	joethahobo	39
39	Quotary	38
40	Inchef	34
41	M_Patata	33
41	Onennon	33
41	MasterNueve	33
44	0nly_sn1per	32
44	oscminus	32
44	UrbanPlanningEx	32
47	cedric72	31
47	FreakGenius	31
47	lordpipe	31
50	Yamdalorian	29
51	Merv__	28
51	Racengan	28
53	CLG_Kata	27
54	Lez_	26
54	TheShyPig	26
56	claivin	25
57	ImpavidArcher	24
57	Krowuss	24
59	MightyWertu	23
60	ItsGrayWolf	22
60	pr33tu	22
60	thescout7	22
60	RebytreGT	22
60	ApophisNova	22
60	Blu3beast	22
60	MyNamaSheff	22
67	SmashingPump	21
67	slkiey	21
67	AlexxO_o	21
70	Gregward_Smith	20
70	12Magner05	20
70	KingMatthew506	20
73	Alteriity	19
73	TheThomas69	19
73	Lord_Jord	19
76	wezzzi	18
77	mwrty	17
77	Wowful	17
77	Deathkob	17
80	Xclax101	16
80	Spacewardharpy7	16
80	Skippeh	16
83	Hpdinosaur	15
83	CoffeeNoir	15
83	Fullut	15
86	Blackberry1310	14
86	burbankbuilder28	14
86	RobotMinion101	14
86	Kouridragon	14
86	luseis	14
86	Eraxa	14
86	TechnoNinja64	14
86	Teebone15	14
94	q_wq	13
94	MattieHD	13
94	Kakolbus	13
94	legal_tax_evader	13
94	fluddd	13
99	Mr_Byzantine	12
99	Sleepy_Time_	12
99	Megarboh	12
99	Bumpy419	12
99	Warlord324	12
99	Myntsys	12
99	Enderxz3	12
106	Ssor69	11
106	Doom_melon	11
106	blackeemperor	11
106	Hisiste	11
106	jcool7	11
111	nattybears	10
111	Aatronix	10
111	500am	10
111	F_Uhre	10
111	DarlaMeow	10
111	Barlycorn	10
111	BlankityMcBlank	10
118	MoistMicrowave	9
118	Vizzoid	9
118	ROY4LE	9
118	hcb238	9
118	Cyntrical	9
118	Spenduh	9
118	miramyu	9
118	PlasticOtari	9
126	EKUG	8
126	ssleepless	8
126	PaperCanvas	8
126	Kim_Jong_eel	8
126	audiocracked	8
126	wobn	8
126	emreknugrlu	8
126	wwwwinnebagoooo	8
126	ayamefag	8
126	carbo_bro	8
126	PortlyPete69	8
126	EcksD	8
126	smogfrog	8
126	MrMeisterProper	8
126	JayToe	8
141	_Virify_	7
141	PazinGaming	7
141	Frozil20	7
141	Zaridey	7
141	Zythose	7
141	Samificator	7
141	Cocoamallows	7
141	pixelviolin	7
141	CalebDHawk	7
141	ConnorDanky_	7
141	Nicserso	7
141	jnp_gaming	7
141	vandmanden	7
141	Sral7	7
155	Prismyst	6
155	ShedJr_	6
155	Smashic	6
155	set67	6
155	lorpus	6
155	Boipl	6
155	Fildyr	6
155	StarCookiees_	6
155	yatsuta	6
155	jaimshae	6
155	HesDemonPants	6
155	Zoeyfortnite	6
167	k_ce	5
167	ECstardust	5
167	diamondgolem35	5
167	Huwulling	5
167	Myszoaz	5
167	Saucepeh	5
167	Tiberonus	5
167	Jokerman369	5
167	DAD_1996	5
167	Cruncy_	5
167	PigDab	5
167	J4k__	5
167	Matorz	5
167	Factoroni	5
167	Druid95	5
167	ConnorTG5	5
167	Kowcio_	5
167	MilleGrug	5
167	little_dUki	5
186	Groovy_MoonBird	4
186	dudcreeper	4
186	TildaAndrea	4
186	EMC_	4
186	KarlKaek	4
186	Hyugo	4
186	ZaneABrain	4
186	Julmish	4
186	Sparky_KT	4
186	Guillemet	4
186	ketaminmann	4
186	XboxPanda	4
186	yheece	4
186	Chromary	4
186	Leyna3	4
186	natajimi	4
186	Zetsey	4
186	SammiWolfGirl	4
186	DennyKai	4
186	Rainaldus	4
186	Iamthejo	4
186	h2p_emrld	4
186	diggydog67	4
209	Bandito_Roamer	3
209	Apollo_993	3
209	Napoleonpancake	3
209	AuroraValkyrie	3
209	myaccountwasgone	3
209	ExtraDumb	3
209	T045RTY	3
209	Swexti	3
209	Mercadies	3
209	Malorn_Aetherius	3
209	Sleepy_Evelyn	3
209	Comma__	3
209	bloodbiter	3
209	m_be9	3
209	_Nuf	3
209	G1ldor	3
209	Motsaro	3
209	ZeroAbyssTTV	3
209	SuperPooch06	3
209	Rumpletaezer	3
209	WET_WET_WET	3
209	Arceus1975	3
209	JitteryJared2	3
209	Mattesco	3
209	lizardfightclub	3
209	Manaateee	3
209	The_slideV3	3
209	Quaintster	3
209	MAns_44	3
209	EfficientC52	3
209	Groundler	3
209	MovingFish7	3
209	PabloGonza02	3
209	AssFullaCum	3
209	djancak	3
209	xzvu	3
209	_TCARREIRA_	3
209	TheOuterCore	3
209	TheBananaKat	3
209	skitzxo	3
249	Jovaphobic	2
249	PhantomsGhost_	2
249	RoskobiOne	2
249	dabloons	2
249	teslawolf38	2
249	Sleek_Storm_721	2
249	I_Am_Mushkin	2
249	RebelAndroid	2
249	MSK__	2
249	301851	2
249	fr0stss	2
249	QuiCreans	2
249	rarrq	2
249	Valoth	2
249	titanlax	2
249	SDMNAEK	2
249	jacxhadow	2
249	redikul	2
249	Z3braYTIL	2
249	Mewar	2
249	eviltunix	2
249	Covalents	2
249	RIPB0ZO	2
249	SeverianOfUrth	2
249	prizm_	2
249	IronyMan69	2
249	CollinMH06	2
249	Giannism	2
249	_8man	2
249	CaptainDeadBread	2
249	Dragonlfw	2
249	ougstur	2
249	Elastiq	2
249	ReSynced	2
249	Lord_Zacler	2
249	DTwenty	2
249	Soap_Bender	2
249	Jaka_Saurus_715	2
249	NameGenerat0r	2
249	El_Jalapeno	2
249	SingedBread	2
249	lunkuku	2
249	WyngGoy	2
249	lilguppy	2
249	Kyrum2169	2
249	Segotep999	2
249	pk1297	2
249	ZeroKraken	2
249	Steelynan	2
