rank	username	minecraft:picked_up/minecraft:trident
1	thewindmillman	1334
2	Hyp3rion_	177
3	eitanzaki	126
4	Ezekson	73
5	Akoot_	71
6	kekhon	67
7	T045RTY	62
8	rarrq	50
9	noam464	47
10	ImpavidArcher	46
11	Blackberry1310	41
12	Mahoose	40
12	groofles	40
14	YungMaki	39
15	EcksD	38
16	Jackattack53	36
17	fluddd	34
18	Merv__	31
19	beeperbeeper5	30
19	xzvu	30
21	Werbe	28
22	Kowcio_	26
23	Di_infiri	25
24	Fullut	24
24	Blu3beast	24
26	HellsSponge	23
27	Frozil20	21
27	Skippeh	21
27	AdmiralSmoke	21
30	Apollo_993	20
30	Awyrlas	20
30	FreakGenius	20
33	WarHammer3	19
33	Chromary	19
33	_Bguette_	19
33	Blaiku	19
33	jcool7	19
38	Groovy_MoonBird	17
38	thescout7	17
38	Rebytre	17
38	TheShyPig	17
38	Soplight	17
38	ProbsNotNova	17
38	Eczbek	17
45	6king6colt6	16
45	NameGenerat0r	16
47	12Magner05	15
47	Arceus1975	15
47	Zythose	15
47	ApophisNova	15
47	MyNamaSheff	15
52	El_Jalapeno	14
52	Eraxa	14
52	Steelynan	14
55	Tyrannosplart	13
55	Druid95	13
55	obzii	13
55	Enderxz3	13
59	_Dean_123	12
59	Hiryu27	12
59	oscminus	12
59	claivin	12
59	Segotep999	12
59	ConnorDanky_	12
59	PlasticOtari	12
66	pintsizedrogue	11
66	itburb	11
66	MattieHD	11
66	Xalithia	11
70	SaucyDark	10
70	Huwulling	10
70	joethahobo	10
70	titanlax	10
70	Bumpy419	10
70	Spenduh	10
70	Sral7	10
77	wezzzi	9
77	Manaateee	9
77	DarlaMeow	9
77	BlankityMcBlank	9
77	TechnoNinja64	9
77	00000000-0000-0000-0009-01f073f37a91	9
83	Incinere	8
83	mwrty	8
83	lorpus	8
83	Fuad_R	8
83	MightyWertu	8
83	xolstoi	8
83	h2p_emrld	8
90	Ryan_GEMS	7
90	ARandomHedge	7
