rank	username	minecraft:picked_up/minecraft:polished_granite_stairs
1	AdmiralSmoke	524
2	beeperbeeper5	389
3	Meatlaugh	384
4	Stiar	331
5	Mr_Byzantine	310
6	Hoid_the_Roamer	299
7	Kakolbus	289
8	bearlystraight	223
9	Doom_melon	211
10	kekhon	166
11	Legendosh	164
12	m_be9	162
13	oscminus	160
14	Merv__	144
15	pappaberg	135
16	ProfessorDiaper	124
17	paranoid_plant	110
18	Winklepicker279	108
19	Lord_Jord	102
20	r123moore	101
21	Ezekson	92
22	BobDeBouwer1337	87
22	CalebDHawk	87
24	Werbe	81
25	Onennon	70
26	stellarjay	66
27	2Stout	64
28	seramalen	58
28	AlphaWolfPlaysMC	58
30	Maenara	54
31	Deerfoot	53
32	Steelynan	49
33	joethahobo	48
34	Xclax101	44
35	Soplight	43
36	Mahoose	42
37	SyK7	40
37	Frozil20	40
39	TheThomas69	37
40	KarlKaek	34
41	ImpavidArcher	33
42	luseis	30
43	Rasmanden	27
43	TechnoNinja64	27
45	NNikitas	24
46	Snowflowe	23
46	Kowcio_	23
48	PhantomsGhost_	22
48	Touched_Bread	22
48	91stCataclysm	22
51	starbits140	20
52	TheShyPig	17
52	Fuhrer_Teemo	17
54	ROY4LE	16
54	_Karmaa	16
56	ItsGrayWolf	15
57	YungMaki	14
58	bloodbiter	13
58	thescout7	13
60	weabis	12
61	Akoot_	11
62	Inbefour	10
62	Enderxz3	10
62	xolstoi	10
65	MyNameIsJobo	9
65	HellsSponge	9
65	lordpipe	9
68	dann_n	7
68	aec9	7
68	groofles	7
68	fkGrim	7
68	07shiny	7
73	ThePoliteG	5
73	NomadicRobin_	5
73	SingedBread	5
73	SvenskaHugo	5
77	rarrq	4
77	Cryptacity	4
77	CuzIm2Kev	4
77	VentiHilton	4
77	vandmanden	4
82	Lukeee33	3
82	Hpdinosaur	3
82	titanlax	3
82	Kkanot	3
82	out1s	3
82	fkndweeb	3
82	Tyrannosplart	3
82	Skippeh	3
90	MoistMicrowave	2
90	Lez_	2
90	mwrty	2
90	bpmm	2
90	godipose	2
90	DarlaMeow	2
90	Blaiku	2
90	monky_irl	2
90	skrongus	2
99	pintsizedrogue	1
99	TildaAndrea	1
99	Sabby65	1
99	Tolhart	1
99	CaracolCxnt	1
99	NoraTheYandere	1
99	Hanselhoof	1
99	LeauVox4921	1
99	Corbsman	1
99	Kynigito	1
99	Manaateee	1
99	Dakar_	1
99	Racengan	1
99	WyngGoy	1
99	Conrad139	1
99	pixelviolin	1
99	djancak	1
99	SpacesickPrism	1
