rank	username	minecraft:picked_up/minecraft:acacia_pressure_plate
1	500am	103
2	El_Jalapeno	24
3	xXTheWolfmanXx	22
3	kekhon	22
5	Meatlaugh	20
6	set67	12
7	KarlKaek	8
8	chipklip	6
8	Freak_Genius	6
10	2Stout	5
10	Smoke____	5
12	thgrocks	4
12	HellsSponge	4
12	Toriankel	4
12	tartanboy	4
16	eitanzaki	3
17	Snowflowe	2
17	TheSeismicDuck	2
17	xX_Stalin69_Xx	2
17	Lowjinx	2
17	Powowowow	2
22	Merv__	1
22	noam464	1
22	mariominejedi	1
22	Chuvacevedo	1
22	RobotMinion101	1
22	TheShyPig	1
22	Lord_Jord	1
22	RedcatVII	1
