rank	username	minecraft:picked_up/minecraft:red_wool
1	joethahobo	93571
2	noam464	89237
3	EcksD	7642
4	Freak_Genius	7081
5	beeperbeeper5	4019
6	mwrty	3802
7	PhantomsGhost_	2175
8	xxPipperDipperxx	2066
9	Spacewardharpy7	2020
10	Awyrlas	1947
11	oxfordschool	1718
12	EcksDofficial	1215
13	HellsSponge	1180
14	Onennon	1133
15	kekhon	1088
16	Di_infiri	1078
17	Smoke____	1016
18	Merv__	953
19	Fuhrer_Teemo	863
20	Inbefour	822
21	Ezekson	818
22	Xclax101	719
23	ImpavidArcher	704
24	The11thDoctor	680
25	emrekn	630
26	rarrq	621
27	Soplight	604
28	YungMaki	548
29	__tomato	523
30	paranoid_plant	501
31	stahouo	498
32	JEWISHBadenBeele	482
33	TechnoNinja64	468
34	EMC_	465
35	Eraxa	458
36	mariominejedi	449
37	Blaiku	427
38	thewindmillman	392
39	thescout7	380
40	sebastiensaborio	376
41	Blackberry1310	374
42	PeteO1995	364
43	Sky_light_KING	360
44	eitanzaki	356
45	EveryonesUncle	354
46	El_Jalapeno	339
47	PlzNoBM	336
48	Mahoose	329
49	m_be9	327
50	Akoot_	324
51	FishyBoy3811	321
52	ayamefag	308
53	500am	298
54	SaucyDark	296
55	Legendosh	263
56	Fullut	258
56	TheShyPig	258
58	Skylord_Luke	251
59	_Dean_123	241
60	Werbe	238
60	AssEatrAndLicker	238
62	seanitoo	226
63	SammiWolfGirl	222
64	teslawolf38	219
65	lordpipe	202
66	CruncyIsTaken	194
67	TheSecondLord	192
67	gcaisawesome	192
69	Deerfoot	182
70	Chromary	156
71	Bumpy419	153
72	dabloons	143
72	Groundler	143
74	Xalithia	140
74	Frozil12	140
76	Hermanni__	138
77	Rasmanden	132
78	KingMatthew506	130
79	Zaridey	129
80	TheTommyGun63	128
80	JackyKwacky	128
82	Rumpletaezer	121
83	NoChumpChange	116
84	Lord_Jord	113
85	Wooptey	110
86	jacxhadow	108
87	ApophisNova	102
87	MyNamaSheff	102
89	Mr_Byzantine	101
90	PlasticOtari	98
91	fkGrim	97
92	set67	95
93	heckface	94
93	The_slideV3	94
95	Windo_licker	93
95	MilleGrug	93
97	NameGenerat0r	92
98	Snowflowe	91
98	NomadicRobin_	91
98	BumbleBeever	91
98	WyngGoy	91
102	Airem_Core	90
102	Northernrabbit	90
104	MattieHD	89
105	himak1	88
106	MustardDrinker	86
107	ShedJr_	84
108	dopplexd	82
109	proxivitoid	81
109	ewpunk	81
111	MovingFish7	80
112	Eczbek	73
113	Inchef	71
114	SexcMf	70
115	XboxPanda	66
116	Jiminie	65
116	sufjanlover	65
118	Swexti	64
118	Deathkob	64
118	LostSoul75	64
121	The_Fulgurator	61
122	diamondgolem35	58
123	I_Am_Mushkin	56
123	LilyNova	56
125	MindyDooWho	55
125	SuperPooch06	55
127	Kowcio_	51
128	Comma__	50
128	AlexStrange	50
128	Kynigito	50
131	CoffeeNoir	49
132	Hoid_the_Roamer	48
133	andy_rex	46
133	RadarHz	46
135	Shin69	44
136	_Boipl_	40
136	claivin	40
136	SkateboardR6	40
136	MakeHistory157	40
140	Blu3beast	39
140	OfficerAnvil	39
142	fffMike	38
143	bigstankyy	36
144	gabriels543	34
144	PortlyPete69	34
146	Dogcorn69420	33
147	killmeiamtraitor	32
148	little_dUki	31
149	jnp_gaming	29
150	InfernalMound	28
150	Jackattack53	28
150	thgrocks	28
150	Dusk_95	28
150	Sral7	28
155	wirelesstree	27
155	marumochis	27
157	Tjhodskins19	26
157	GlitchyPlate810	26
159	the__Reaper4999	25
159	Optiprimus	25
161	MyNameIsDakar	24
161	Barlycorn	24
163	_Karmaa	23
163	lcvezra	23
165	RebelAndroid	22
165	intropass	22
167	Enderslayerxz3	21
167	561cool	21
169	Foof13	20
169	Russiancat1	20
171	Arceus1975	19
171	Nycteus_	19
171	NotMeowMix	19
171	Nagasaki_Riku	19
175	pintsizedrogue	17
175	Elprone266	17
175	titanlax	17
175	NormanFetus	17
179	Soap_Bender	16
179	Nekomin0	16
179	Yogscast_Manden	16
182	6king6colt6	15
182	RobotMinion101	15
182	Negriuke	15
185	theonlymagikarp	14
185	AnnieBathory	14
185	epiksk8erduck	14
185	Maenara	14
185	IvarEXE	14
190	zorin123	13
190	Motsaro	13
190	whoaluv	13
190	K_a__a_n	13
194	Cowison	12
195	NotTrixi	11
195	AJplaysMC_	11
197	Hpdinosaur	10
197	JasmineGK	10
199	ratglock	9
199	GingerNeutron	9
201	Hyp3rion_	8
201	LilLizardWizard	8
201	__Auspicious	8
201	VentiHilton	8
205	Mercadies	7
205	loveseeker	7
205	420BreadLizard	7
205	WYFYoyo	7
209	_NieToksikpl_	6
209	Valoth	6
209	jushykins	6
209	Winklepicker279	6
209	PigDab	6
209	MangoSalad316	6
209	GravitySaint	6
209	Kyrum2169	6
209	djancak	6
209	Seindi	6
209	obzii	6
209	laron58	6
209	Skippeh	6
222	hollowww	5
222	NotMeanttoChange	5
222	ImDisconnected_	5
222	Lil_Breadboy	5
222	brycepants	5
222	yulgur1	5
222	ebanana	5
222	censorsheep	5
222	LetsDoItLive	5
222	xof_on_microwave	5
232	bmac2718	4
232	M_Patata	4
